# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:37:33
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620601	0.00000000
-433.78287275	0.00000001
-433.74953949	0.00000003
-433.71620623	0.00000002
-433.68287297	0.00000010
-433.64953972	-0.00000008
-433.61620646	0.00000016
-433.58287320	-0.00000008
-433.54953994	-0.00000022
-433.51620668	-0.00000048
-433.48287342	-0.00000006
-433.44954016	-0.00000041
-433.41620691	-0.00000203
-433.38287365	-0.00000054
-433.34954039	-0.00000131
-433.31620713	-0.00000157
-433.28287387	-0.00000150
-433.24954061	-0.00000241
-433.21620736	0.00000065
-433.18287410	0.00000197
-433.14954084	0.00000152
-433.11620758	-0.00000104
-433.08287432	-0.00000104
-433.04954106	0.00000154
-433.01620781	0.00000057
-432.98287455	0.00000031
-432.94954129	0.00000357
-432.91620803	0.00000622
-432.88287477	-0.00000074
-432.84954151	0.00000731
-432.81620826	0.00000797
-432.78287500	0.00000424
-432.74954174	0.00001316
-432.71620848	0.00001587
-432.68287522	0.00001717
-432.64954196	0.00002735
-432.61620871	0.00001882
-432.58287545	0.00002744
-432.54954219	0.00003530
-432.51620893	0.00002250
-432.48287567	0.00003463
-432.44954241	0.00003236
-432.41620916	0.00003518
-432.38287590	0.00003737
-432.34954264	0.00004816
-432.31620938	0.00004080
-432.28287612	0.00003739
-432.24954286	0.00003815
-432.21620961	0.00004268
-432.18287635	0.00004392
-432.14954309	0.00002963
-432.11620983	0.00002330
-432.08287657	0.00001700
-432.04954331	0.00001182
-432.01621006	0.00000513
-431.98287680	-0.00000047
-431.94954354	-0.00001978
-431.91621028	-0.00003156
-431.88287702	-0.00004096
-431.84954376	-0.00004406
-431.81621051	-0.00005671
-431.78287725	-0.00004988
-431.74954399	-0.00008202
-431.71621073	-0.00006310
-431.68287747	-0.00006203
-431.64954421	-0.00005344
-431.61621096	-0.00007658
-431.58287770	-0.00007317
-431.54954444	-0.00006781
-431.51621118	-0.00008492
-431.48287792	-0.00007682
-431.44954466	-0.00004561
-431.41621141	-0.00006434
-431.38287815	-0.00005478
-431.34954489	-0.00006339
-431.31621163	-0.00001011
-431.28287837	-0.00004264
-431.24954511	-0.00007145
-431.21621186	0.00000364
-431.18287860	0.00001436
-431.14954534	0.00001458
-431.11621208	0.00001758
-431.08287882	0.00002970
-431.04954556	0.00009332
-431.01621231	0.00009808
-430.98287905	0.00010362
-430.94954579	0.00014697
-430.91621253	0.00014078
-430.88287927	0.00015282
-430.84954601	0.00016765
-430.81621276	0.00016280
-430.78287950	0.00024107
-430.74954624	0.00017888
-430.71621298	0.00026576
-430.68287972	0.00020503
-430.64954646	0.00026539
-430.61621321	0.00025418
-430.58287995	0.00019932
-430.54954669	0.00021048
-430.51621343	0.00017291
-430.48288017	0.00025557
-430.44954691	0.00023125
-430.41621366	0.00027192
-430.38288040	0.00020026
-430.34954714	0.00021882
-430.31621388	0.00023246
-430.28288062	0.00022596
-430.24954736	0.00018070
-430.21621411	0.00024734
-430.18288085	0.00024227
-430.14954759	0.00017870
-430.11621433	0.00019770
-430.08288107	0.00020895
-430.04954781	0.00022295
-430.01621456	0.00019793
-429.98288130	0.00019950
-429.94954804	0.00010457
-429.91621478	0.00011518
-429.88288152	0.00011778
-429.84954826	0.00013115
-429.81621501	0.00006340
-429.78288175	0.00008638
-429.74954849	0.00005793
-429.71621523	0.00007961
-429.68288197	0.00011209
-429.64954871	0.00016396
-429.61621545	0.00004676
-429.58288220	0.00011204
-429.54954894	0.00016411
-429.51621568	0.00008128
-429.48288242	0.00007938
-429.44954916	0.00004410
-429.41621590	0.00007730
-429.38288265	0.00004253
-429.34954939	0.00000224
-429.31621613	-0.00001365
-429.28288287	0.00001567
-429.24954961	-0.00000631
-429.21621635	-0.00004792
-429.18288310	-0.00013224
-429.14954984	-0.00006990
-429.11621658	-0.00004464
-429.08288332	-0.00010699
-429.04955006	-0.00002657
-429.01621680	-0.00016017
-428.98288355	-0.00011593
-428.94955029	-0.00005493
-428.91621703	-0.00010165
-428.88288377	-0.00012758
-428.84955051	-0.00006984
-428.81621725	-0.00007749
-428.78288400	-0.00008697
-428.74955074	-0.00005886
-428.71621748	-0.00002013
-428.68288422	-0.00002125
-428.64955096	0.00000777
-428.61621770	0.00003084
-428.58288445	0.00006528
-428.54955119	0.00001388
-428.51621793	-0.00001021
-428.48288467	-0.00000049
-428.44955141	0.00012926
-428.41621815	0.00004053
-428.38288490	0.00013675
-428.34955164	0.00012421
-428.31621838	0.00011320
-428.28288512	0.00014273
-428.24955186	0.00013303
-428.21621860	0.00022140
-428.18288535	0.00016134
-428.14955209	0.00023076
-428.11621883	0.00027888
-428.08288557	0.00023762
-428.04955231	0.00024213
-428.01621905	0.00022637
-427.98288580	0.00022397
-427.94955254	0.00030288
-427.91621928	0.00023853
-427.88288602	0.00023766
-427.84955276	0.00027657
-427.81621950	0.00034292
-427.78288625	0.00024282
-427.74955299	0.00024407
-427.71621973	0.00020545
-427.68288647	0.00022224
-427.64955321	0.00018846
-427.61621995	0.00018067
-427.58288670	0.00018016
-427.54955344	0.00021949
-427.51622018	0.00012646
-427.48288692	0.00021791
-427.44955366	0.00015526
-427.41622040	0.00011424
-427.38288715	0.00010380
-427.34955389	0.00004210
-427.31622063	0.00003728
-427.28288737	0.00004163
-427.24955411	0.00005915
-427.21622085	0.00000560
-427.18288760	0.00000831
-427.14955434	-0.00006651
-427.11622108	-0.00009125
-427.08288782	-0.00008766
-427.04955456	-0.00006821
-427.01622130	-0.00001912
-426.98288805	-0.00004053
-426.94955479	-0.00006963
-426.91622153	-0.00005107
-426.88288827	-0.00003232
-426.84955501	0.00003070
-426.81622175	0.00006131
-426.78288850	0.00015804
-426.74955524	0.00024271
-426.71622198	0.00022474
-426.68288872	0.00019091
-426.64955546	0.00029845
-426.61622220	0.00033756
-426.58288895	0.00039507
-426.54955569	0.00045512
-426.51622243	0.00050293
-426.48288917	0.00059857
-426.44955591	0.00070103
-426.41622265	0.00072437
-426.38288940	0.00076432
-426.34955614	0.00081911
-426.31622288	0.00090495
-426.28288962	0.00098298
-426.24955636	0.00107031
-426.21622310	0.00116665
-426.18288985	0.00124868
-426.14955659	0.00139708
-426.11622333	0.00142605
-426.08289007	0.00159139
-426.04955681	0.00163926
-426.01622355	0.00178643
-425.98289029	0.00186793
-425.94955704	0.00191959
-425.91622378	0.00207901
-425.88289052	0.00219430
-425.84955726	0.00219966
-425.81622400	0.00222689
-425.78289074	0.00222326
-425.74955749	0.00216964
-425.71622423	0.00208820
-425.68289097	0.00194509
-425.64955771	0.00167235
-425.61622445	0.00132339
-425.58289119	0.00097457
-425.54955794	0.00047000
-425.51622468	-0.00010228
-425.48289142	-0.00083071
-425.44955816	-0.00162976
-425.41622490	-0.00229622
-425.38289164	-0.00316733
-425.34955839	-0.00392549
-425.31622513	-0.00480205
-425.28289187	-0.00561876
-425.24955861	-0.00642181
-425.21622535	-0.00712678
-425.18289209	-0.00785599
-425.14955884	-0.00845218
-425.11622558	-0.00894817
-425.08289232	-0.00941168
-425.04955906	-0.00982765
-425.01622580	-0.00987945
-424.98289254	-0.00986068
-424.94955929	-0.00971318
-424.91622603	-0.00918772
-424.88289277	-0.00854701
-424.84955951	-0.00760159
-424.81622625	-0.00655226
-424.78289299	-0.00515099
-424.74955974	-0.00368837
-424.71622648	-0.00199470
-424.68289322	-0.00012616
-424.64955996	0.00182225
-424.61622670	0.00370345
-424.58289344	0.00560866
-424.54956019	0.00737736
-424.51622693	0.00889044
-424.48289367	0.01020544
-424.44956041	0.01104758
-424.41622715	0.01172664
-424.38289389	0.01191564
-424.34956064	0.01177092
-424.31622738	0.01119372
-424.28289412	0.01039129
-424.24956086	0.00930657
-424.21622760	0.00802469
-424.18289434	0.00667364
-424.14956109	0.00521274
-424.11622783	0.00383748
-424.08289457	0.00256401
-424.04956131	0.00139785
-424.01622805	0.00043809
-423.98289479	-0.00037453
-423.94956154	-0.00090769
-423.91622828	-0.00117887
-423.88289502	-0.00137187
-423.84956176	-0.00132069
-423.81622850	-0.00115894
-423.78289524	-0.00093191
-423.74956199	-0.00077082
-423.71622873	-0.00062642
-423.68289547	-0.00034261
-423.64956221	-0.00021847
-423.61622895	-0.00016290
-423.58289569	-0.00002301
-423.54956244	-0.00012063
-423.51622918	-0.00014855
-423.48289592	-0.00032498
-423.44956266	-0.00043176
-423.41622940	-0.00062209
-423.38289614	-0.00070886
-423.34956289	-0.00081179
-423.31622963	-0.00084125
-423.28289637	-0.00075682
-423.24956311	-0.00073053
-423.21622985	-0.00064261
-423.18289659	-0.00060993
-423.14956334	-0.00043151
-423.11623008	-0.00030076
-423.08289682	-0.00015521
-423.04956356	-0.00002624
-423.01623030	0.00018482
-422.98289704	0.00021725
-422.94956379	0.00042443
-422.91623053	0.00055319
-422.88289727	0.00056351
-422.84956401	0.00055641
-422.81623075	0.00064308
-422.78289749	0.00059690
-422.74956424	0.00068135
-422.71623098	0.00062087
-422.68289772	0.00061121
-422.64956446	0.00053480
-422.61623120	0.00048795
-422.58289794	0.00050695
-422.54956469	0.00048652
-422.51623143	0.00044976
-422.48289817	0.00041276
-422.44956491	0.00034907
-422.41623165	0.00035685
-422.38289839	0.00029890
-422.34956513	0.00018858
-422.31623188	0.00009624
-422.28289862	0.00002705
-422.24956536	-0.00004420
-422.21623210	-0.00010339
-422.18289884	-0.00022454
-422.14956558	-0.00031693
-422.11623233	-0.00041040
-422.08289907	-0.00041910
-422.04956581	-0.00062020
-422.01623255	-0.00060880
-421.98289929	-0.00067882
-421.94956603	-0.00079055
-421.91623278	-0.00073669
-421.88289952	-0.00071988
-421.84956626	-0.00065786
-421.81623300	-0.00050766
-421.78289974	-0.00030906
-421.74956648	-0.00014073
-421.71623323	0.00002840
-421.68289997	0.00025351
-421.64956671	0.00046582
-421.61623345	0.00070465
-421.58290019	0.00090849
-421.54956693	0.00114158
-421.51623368	0.00132304
-421.48290042	0.00150884
-421.44956716	0.00158345
-421.41623390	0.00172419
-421.38290064	0.00165981
-421.34956738	0.00171496
-421.31623413	0.00176312
-421.28290087	0.00163599
-421.24956761	0.00158070
-421.21623435	0.00150038
-421.18290109	0.00125421
-421.14956783	0.00118212
-421.11623458	0.00095787
-421.08290132	0.00078051
-421.04956806	0.00060307
-421.01623480	0.00030108
-420.98290154	0.00003788
-420.94956828	-0.00017377
-420.91623503	-0.00031880
-420.88290177	-0.00065696
-420.84956851	-0.00087015
-420.81623525	-0.00107614
-420.78290199	-0.00132060
-420.74956873	-0.00162682
-420.71623548	-0.00185745
-420.68290222	-0.00213321
-420.64956896	-0.00235895
-420.61623570	-0.00263074
-420.58290244	-0.00283591
-420.54956918	-0.00307658
-420.51623593	-0.00316094
-420.48290267	-0.00321067
