# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:37:33
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-22.20985383
0.00732602	-33.05056055
0.01465205	-27.78350449
0.02197807	-38.87502068
0.02930410	-29.80898121
0.03663012	-33.46843091
0.04395614	-29.85044875
0.05128217	-32.96690434
0.05860819	-32.78733106
0.06593421	-31.26380061
0.07326024	-35.43739483
0.08058626	-33.98904928
0.08791229	-36.56764630
0.09523831	-41.96080293
0.10256433	-31.19100991
0.10989036	-37.37651018
0.11721638	-28.18083492
0.12454240	-24.58451367
0.13186843	-25.26968709
0.13919445	-20.85138423
0.14652048	-18.91172257
0.15384650	-20.20746310
0.16117252	-19.59046703
0.16849855	-18.46019027
0.17582457	-18.10281024
0.18315060	-18.57653018
0.19047662	-18.20404409
0.19780264	-16.00276251
0.20512867	-16.12609130
0.21245469	-16.50720511
0.21978071	-14.25315437
0.22710674	-11.92878240
0.23443276	-12.65385170
0.24175879	-11.81948708
0.24908481	-9.10451175
0.25641083	-9.35831359
0.26373686	-8.95146243
0.27106288	-6.77395731
0.27838890	-6.83302076
0.28571493	-8.37455063
0.29304095	-8.16330590
0.30036698	-8.29298258
0.30769300	-9.50879195
0.31501902	-9.74741842
0.32234505	-9.22240523
0.32967107	-9.06115635
0.33699710	-9.73320056
0.34432312	-9.32830256
0.35164914	-8.23944727
0.35897517	-8.26185385
0.36630119	-7.60704246
0.37362721	-6.64941420
0.38095324	-5.95506596
0.38827926	-4.65804483
0.39560529	-3.65733640
0.40293131	-2.96361379
0.41025733	-2.49801365
0.41758336	-2.60881405
0.42490938	-2.98559035
0.43223540	-3.78128089
0.43956143	-4.44864890
0.44688745	-4.74370636
0.45421348	-4.71152837
0.46153950	-5.17498128
0.46886552	-5.58848051
0.47619155	-5.15621600
0.48351757	-5.33226361
0.49084360	-5.12641612
0.49816962	-4.69240951
0.50549564	-4.56214730
0.51282167	-3.47737050
0.52014769	-2.86220264
0.52747371	-2.26368977
0.53479974	-0.64348081
0.54212576	-0.43345731
0.54945179	-0.16009461
0.55677781	-0.71654026
0.56410383	-1.40840533
0.57142986	-1.72831434
0.57875588	-2.30327801
0.58608190	-3.37133889
0.59340793	-3.60200161
0.60073395	-4.15465719
0.60805998	-4.63380391
0.61538600	-4.40734752
0.62271202	-4.89044873
0.63003805	-4.32403320
0.63736407	-3.92054489
0.64469009	-3.88254479
0.65201612	-2.74420779
0.65934214	-1.88685143
0.66666817	-1.25160372
0.67399419	-0.19604993
0.68132021	0.00000000
0.68864624	-0.10153135
0.69597226	-0.86758344
0.70329829	-1.86782485
0.71062431	-2.43693623
0.71795033	-3.70510621
0.72527636	-4.29429973
0.73260238	-5.22302898
0.73992840	-5.79456940
0.74725443	-6.20474802
0.75458045	-6.91047053
0.76190648	-6.17120622
0.76923250	-6.24623224
0.77655852	-5.66242640
0.78388455	-5.04736521
0.79121057	-4.31504978
0.79853659	-3.25096657
0.80586262	-2.67077884
0.81318864	-1.93156345
0.82051467	-1.89638638
0.82784069	-2.61668849
0.83516671	-3.30590163
0.84249274	-4.34815817
0.84981876	-5.33026017
0.85714479	-6.11072642
0.86447081	-7.14796602
0.87179683	-7.38061673
0.87912286	-8.09030146
0.88644888	-8.58978821
0.89377490	-8.30042204
0.90110093	-8.41886050
0.90842695	-8.32743666
0.91575298	-7.50244832
0.92307900	-6.91427438
0.93040502	-5.88129416
0.93773105	-4.93529860
0.94505707	-4.46662392
0.95238309	-3.75908697
0.95970912	-4.59315036
0.96703514	-5.58614875
0.97436117	-6.36698278
0.98168719	-8.31499942
0.98901321	-9.52458849
0.99633924	-10.85722875
1.00366526	-11.36957657
1.01099129	-11.76904150
1.01831731	-12.52955709
1.02564333	-11.81516151
1.03296936	-11.88620708
1.04029538	-11.50657943
1.04762140	-10.86171752
1.05494743	-10.45706664
1.06227345	-9.32123691
1.06959948	-9.21945224
1.07692550	-8.68697081
1.08425152	-8.15822203
1.09157755	-8.80945986
1.09890357	-11.02759713
1.10622959	-10.79364893
1.11355562	-11.83420672
1.12088164	-12.75042917
1.12820767	-13.73573102
1.13553369	-13.79468103
1.14285971	-14.42851714
1.15018574	-15.02283182
1.15751176	-15.70864444
1.16483779	-16.69882551
1.17216381	-14.43407650
1.17948983	-14.54444213
1.18681586	-13.83139904
1.19414188	-13.18783412
1.20146790	-12.98035539
1.20879393	-13.82176443
1.21611995	-12.38175544
1.22344598	-12.55795219
1.23077200	-13.88415089
1.23809802	-14.44740123
1.24542405	-15.03804510
1.25275007	-16.02145165
1.26007609	-17.21729866
1.26740212	-17.22686845
1.27472814	-17.67165615
1.28205417	-17.48035205
1.28938019	-17.83362898
1.29670621	-17.57368916
1.30403224	-17.22778080
1.31135826	-17.57741722
1.31868429	-17.81797319
1.32601031	-17.30895383
1.33333633	-17.72864373
1.34066236	-17.41323845
1.34798838	-17.31181486
1.35531440	-16.66431613
1.36264043	-16.04605994
1.36996645	-17.09261403
1.37729248	-16.60395318
1.38461850	-17.79257962
1.39194452	-17.98210630
1.39927055	-18.79787918
1.40659657	-19.53566932
1.41392259	-20.55910134
1.42124862	-20.13173124
1.42857464	-20.63985429
1.43590067	-20.73391466
1.44322669	-21.19517184
1.45055271	-21.56012877
1.45787874	-21.70064151
1.46520476	-21.03649268
1.47253079	-20.84462492
1.47985681	-20.85117464
1.48718283	-19.49509645
1.49450886	-18.73847937
1.50183488	-18.45857443
1.50916090	-18.32259927
1.51648693	-18.46011463
1.52381295	-19.03690792
1.53113898	-20.45442730
1.53846500	-21.00702172
1.54579102	-21.63128187
1.55311705	-22.88241684
1.56044307	-24.01505550
1.56776909	-24.85255139
1.57509512	-25.67138260
1.58242114	-26.83776556
1.58974717	-26.93876859
1.59707319	-26.27115001
1.60439921	-25.93836203
1.61172524	-24.43623802
1.61905126	-22.65222538
1.62637728	-21.55651870
1.63370331	-20.81706157
1.64102933	-21.08332088
1.64835536	-21.49304189
1.65568138	-22.62305243
1.66300740	-26.51141010
1.67033343	-30.48923390
1.67765945	-28.43994814
1.68498548	-27.94621261
1.69231150	-29.19491450
1.69963752	-30.12488634
1.70696355	-30.21228803
1.71428957	-33.58609928
1.72161559	-34.08221065
1.72894162	-29.87581878
1.73626764	-28.84793792
1.74359367	-27.47758723
1.75091969	-25.80695656
1.75824571	-24.32225489
1.76557174	-23.97335309
1.77289776	-24.41285346
1.78022378	-24.97551983
1.78754981	-26.19306933
1.79487583	-29.24720035
1.80220186	-30.83057163
1.80952788	-32.14592138
1.81685390	-34.10597232
1.82417993	-35.55863927
1.83150595	-35.52195663
1.83883198	-35.39918910
1.84615800	-34.69800353
1.85348402	-34.25863728
1.86081005	-32.96415361
1.86813607	-33.24194072
1.87546209	-31.08383263
1.88278812	-29.51925967
1.89011414	-29.26519307
1.89744017	-28.95787827
1.90476619	-29.70929572
1.91209221	-30.99859969
1.91941824	-34.22154888
1.92674426	-36.05302560
1.93407028	-37.50706711
1.94139631	-38.27214481
1.94872233	-38.03129261
1.95604836	-38.04107269
1.96337438	-38.08820506
1.97070040	-37.76648985
1.97802643	-37.32547209
1.98535245	-37.18562490
1.99267848	-36.54682261
2.00000450	-35.37473342
2.00733052	-35.23420720
2.01465655	-36.12871242
2.02198257	-35.83699740
2.02930859	-35.30250358
2.03663462	-36.46971222
2.04396064	-37.63478300
2.05128667	-38.28813291
2.05861269	-41.28940152
2.06593871	-44.00435475
2.07326474	-42.92325243
2.08059076	-43.25155966
2.08791678	-43.54385423
2.09524281	-43.26753652
2.10256883	-42.56561509
2.10989486	-42.42038214
2.11722088	-42.23167276
2.12454690	-41.38966305
2.13187293	-41.30069695
2.13919895	-42.90877852
2.14652498	-43.83491096
2.15385100	-43.82670544
2.16117702	-46.68955853
2.16850305	-51.41087518
2.17582907	-48.17133963
2.18315509	-47.46792189
2.19048112	-48.20538807
2.19780714	-50.85023581
2.20513317	-49.01454267
2.21245919	-50.41600159
2.21978521	-51.88268072
2.22711124	-51.27929508
2.23443726	-49.18358720
2.24176328	-50.54562505
2.24908931	-54.07551553
2.25641533	-58.63554395
2.26374136	-67.67441236
2.27106738	-61.84590198
2.27839340	-56.21983652
2.28571943	-52.25023719
2.29304545	-54.39197947
2.30037148	-52.88806153
2.30769750	-48.76244225
2.31502352	-48.03756078
2.32234955	-49.71127338
2.32967557	-50.55372816
2.33700159	-52.10464667
2.34432762	-57.84678436
2.35165364	-63.92948858
2.35897967	-56.42801087
2.36630569	-57.32936452
2.37363171	-58.64864628
2.38095774	-57.96661723
2.38828376	-55.20937638
2.39560978	-59.28435643
2.40293581	-53.64399041
2.41026183	-50.31733820
2.41758786	-49.05052877
2.42491388	-49.89912878
2.43223990	-49.48441452
2.43956593	-48.90901779
2.44689195	-50.87280470
2.45421798	-51.51664405
2.46154400	-53.02536447
