# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:58:42
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620597	0.00000000
-433.78287264	-0.00000001
-433.74953930	-0.00000004
-433.71620597	-0.00000008
-433.68287263	-0.00000009
-433.64953930	-0.00000026
-433.61620596	-0.00000032
-433.58287263	-0.00000073
-433.54953930	-0.00000071
-433.51620596	-0.00000069
-433.48287263	-0.00000018
-433.44953929	0.00000007
-433.41620596	0.00000018
-433.38287262	-0.00000011
-433.34953929	-0.00000043
-433.31620595	-0.00000026
-433.28287262	0.00000159
-433.24953929	0.00000086
-433.21620595	0.00000229
-433.18287262	0.00000349
-433.14953928	0.00000286
-433.11620595	0.00000482
-433.08287261	0.00000201
-433.04953928	0.00000675
-433.01620594	0.00000503
-432.98287261	0.00000084
-432.94953927	0.00000613
-432.91620594	0.00000782
-432.88287261	0.00000906
-432.84953927	0.00000950
-432.81620594	0.00001317
-432.78287260	0.00001431
-432.74953927	0.00001582
-432.71620593	0.00001352
-432.68287260	0.00000679
-432.64953926	0.00001082
-432.61620593	0.00001231
-432.58287259	0.00001052
-432.54953926	0.00001382
-432.51620593	0.00001504
-432.48287259	0.00002378
-432.44953926	0.00002104
-432.41620592	0.00000532
-432.38287259	0.00001091
-432.34953925	0.00002385
-432.31620592	0.00001978
-432.28287258	0.00000357
-432.24953925	0.00000937
-432.21620592	0.00000755
-432.18287258	0.00001502
-432.14953925	0.00001192
-432.11620591	0.00000893
-432.08287258	0.00002128
-432.04953924	0.00000090
-432.01620591	0.00001374
-431.98287257	-0.00000245
-431.94953924	0.00001956
-431.91620590	0.00001360
-431.88287257	0.00000498
-431.84953924	-0.00000305
-431.81620590	0.00001111
-431.78287257	-0.00000412
-431.74953923	0.00000319
-431.71620590	0.00002186
-431.68287256	0.00002361
-431.64953923	0.00001881
-431.61620589	0.00000029
-431.58287256	0.00000343
-431.54953922	0.00003386
-431.51620589	0.00000152
-431.48287256	0.00004094
-431.44953922	0.00005911
-431.41620589	0.00001638
-431.38287255	0.00000428
-431.34953922	0.00001577
-431.31620588	0.00002409
-431.28287255	0.00000673
-431.24953921	0.00002269
-431.21620588	0.00001457
-431.18287255	-0.00000073
-431.14953921	0.00001663
-431.11620588	-0.00002005
-431.08287254	-0.00000166
-431.04953921	0.00002845
-431.01620587	0.00002631
-430.98287254	0.00005675
-430.94953920	0.00004329
-430.91620587	0.00004787
-430.88287253	0.00006027
-430.84953920	0.00002570
-430.81620587	0.00004182
-430.78287253	0.00005988
-430.74953920	0.00006233
-430.71620586	0.00008218
-430.68287253	0.00006385
-430.64953919	0.00006948
-430.61620586	0.00009574
-430.58287252	0.00007875
-430.54953919	0.00003531
-430.51620586	0.00008130
-430.48287252	0.00010633
-430.44953919	0.00012039
-430.41620585	0.00009391
-430.38287252	0.00007390
-430.34953918	0.00008103
-430.31620585	0.00015819
-430.28287251	0.00008893
-430.24953918	0.00011144
-430.21620584	0.00008739
-430.18287251	0.00008095
-430.14953918	0.00007115
-430.11620584	0.00012839
-430.08287251	0.00010336
-430.04953917	0.00014930
-430.01620584	0.00010510
-429.98287250	0.00011797
-429.94953917	0.00016987
-429.91620583	0.00008563
-429.88287250	0.00011883
-429.84953916	0.00016601
-429.81620583	0.00018049
-429.78287250	0.00020603
-429.74953916	0.00018954
-429.71620583	0.00015934
-429.68287249	0.00015996
-429.64953916	0.00019669
-429.61620582	0.00019211
-429.58287249	0.00018550
-429.54953915	0.00021186
-429.51620582	0.00026450
-429.48287249	0.00020640
-429.44953915	0.00025090
-429.41620582	0.00025338
-429.38287248	0.00020496
-429.34953915	0.00027743
-429.31620581	0.00023489
-429.28287248	0.00020787
-429.24953914	0.00023038
-429.21620581	0.00014891
-429.18287247	0.00019712
-429.14953914	0.00018280
-429.11620581	0.00014939
-429.08287247	0.00014240
-429.04953914	0.00019631
-429.01620580	0.00015434
-428.98287247	0.00016570
-428.94953913	0.00018882
-428.91620580	0.00013885
-428.88287246	0.00010286
