# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:58:42
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-21.23927697
0.00732601	-25.68863836
0.01465201	-29.87687266
0.02197802	-29.50822703
0.02930403	-37.71342365
0.03663004	-41.32264301
0.04395604	-32.57716461
0.05128205	-35.65427575
0.05860806	-33.38950111
0.06593406	-38.10203141
0.07326007	-34.15734977
0.08058608	-39.07039155
0.08791208	-35.75201742
0.09523809	-38.68913161
0.10256410	-37.55297568
0.10989011	-39.06477707
0.11721611	-42.64576136
0.12454212	-33.74501952
0.13186813	-35.75043032
0.13919413	-34.66624563
0.14652014	-33.17552593
0.15384615	-34.10568408
0.16117216	-34.27396794
0.16849816	-28.28597396
0.17582417	-23.09752349
0.18315018	-23.49979719
0.19047618	-25.46623773
0.19780219	-23.73610890
0.20512820	-24.67885328
0.21245420	-26.27794025
0.21978021	-22.95274351
0.22710622	-17.95091729
0.23443223	-16.18029598
0.24175823	-16.41400633
0.24908424	-17.40442822
0.25641025	-20.51519349
0.26373625	-21.61163465
0.27106226	-20.61073027
0.27838827	-18.55496471
0.28571428	-16.77204867
0.29304028	-11.52684523
0.30036629	-11.31396731
0.30769230	-14.60455070
0.31501830	-16.00708174
0.32234431	-15.81075744
0.32967032	-15.17108919
0.33699633	-14.18665592
0.34432233	-10.39904589
0.35164834	-6.46552688
0.35897435	-7.39917159
0.36630035	-10.46634957
0.37362636	-11.88418761
0.38095237	-13.49503645
0.38827837	-12.95379537
0.39560438	-11.07025650
0.40293039	-8.32598280
0.41025640	-4.99619150
0.41758240	-5.46700516
0.42490841	-8.34236644
0.43223442	-10.23340190
0.43956042	-11.08131549
0.44688643	-10.69589198
0.45421244	-8.03921684
0.46153845	-5.45846067
0.46886445	-2.11369379
0.47619046	-2.17560436
0.48351647	-5.48904031
0.49084247	-7.59714541
0.49816848	-8.52464477
0.50549449	-8.76807802
0.51282049	-6.82172627
0.52014650	-4.41354051
0.52747251	-1.59174597
0.53479852	-1.88524733
0.54212452	-5.28382098
0.54945053	-6.87071065
0.55677654	-8.34152084
0.56410254	-7.57247410
0.57142855	-5.44561240
0.57875456	-2.27373639
0.58608057	0.00000000
0.59340657	-0.76145163
0.60073258	-3.87836858
0.60805859	-6.14870174
0.61538459	-6.68217093
0.62271060	-6.92913401
0.63003661	-4.98586088
0.63736261	-2.41604280
0.64468862	-0.53313904
0.65201463	-1.53028003
0.65934064	-4.40251839
0.66666664	-6.51624445
0.67399265	-6.85784756
0.68131866	-6.65577494
0.68864466	-4.79755890
0.69597067	-2.18272670
0.70329668	-0.15148024
0.71062269	-1.46186884
0.71794869	-4.67069361
0.72527470	-6.19570211
0.73260071	-7.20066147
0.73992671	-6.78515781
0.74725272	-5.41134244
0.75457873	-3.22233167
0.76190473	-1.10389722
0.76923074	-3.05839605
0.77655675	-5.59914554
0.78388276	-7.14860623
0.79120876	-7.54300969
0.79853477	-6.64022040
0.80586078	-4.99035235
0.81318678	-2.17867340
0.82051279	-1.14706034
0.82783880	-3.58198771
0.83516481	-5.74954599
0.84249081	-7.43509525
0.84981682	-7.71375492
0.85714283	-6.89254456
0.86446883	-5.36751202
0.87179484	-2.62651752
0.87912085	-2.49174203
0.88644686	-5.12723686
0.89377286	-7.03800399
0.90109887	-8.42382284
0.90842488	-8.62836460
0.91575088	-7.23735184
0.92307689	-5.33942314
0.93040290	-2.80493672
0.93772890	-3.00725944
0.94505491	-5.56474935
0.95238092	-7.13826265
0.95970693	-8.70281248
0.96703293	-8.97751565
0.97435894	-7.67421385
0.98168495	-6.48199096
0.98901095	-4.97017648
0.99633696	-6.36626895
1.00366297	-8.79379633
1.01098898	-10.22745457
1.01831498	-11.42458488
1.02564099	-10.22048001
1.03296700	-8.94392219
1.04029300	-6.38737423
1.04761901	-5.23225096
1.05494502	-6.97615392
1.06227102	-8.80398605
1.06959703	-10.80942358
1.07692304	-11.24448437
1.08424905	-10.74101400
1.09157505	-10.11754057
1.09890106	-10.16242834
1.10622707	-8.67286242
1.11355307	-10.60704742
1.12087908	-12.35953502
1.12820509	-13.37617099
1.13553110	-12.85744539
1.14285710	-12.15322391
1.15018311	-10.09400024
1.15750912	-9.65629214
1.16483512	-11.88753465
1.17216113	-11.47488341
1.17948714	-12.86474860
1.18681314	-13.39198925
1.19413915	-13.10669590
1.20146516	-12.19821580
1.20879117	-11.70234311
1.21611717	-10.60608943
1.22344318	-12.57349550
1.23076919	-15.73279604
1.23809519	-16.78244002
1.24542120	-16.68167910
1.25274721	-16.00557097
1.26007322	-14.22119522
1.26739922	-12.38699665
1.27472523	-12.61015473
1.28205124	-14.46252402
1.28937724	-16.05849430
1.29670325	-16.93624057
1.30402926	-16.40810233
1.31135527	-15.70527873
1.31868127	-14.46004608
1.32600728	-14.15649426
1.33333329	-16.53497341
1.34065929	-18.75550875
1.34798530	-20.67662882
1.35531131	-20.88743393
1.36263731	-19.89838879
1.36996332	-18.76485323
1.37728933	-16.78703318
1.38461534	-17.60651293
1.39194134	-19.24401397
1.39926735	-20.60749153
1.40659336	-22.09736727
1.41391936	-22.91970021
1.42124537	-20.11950324
1.42857138	-18.56730682
1.43589739	-18.77107001
1.44322339	-20.81006677
1.45054940	-23.21056101
1.45787541	-24.91322371
1.46520141	-25.22358249
1.47252742	-24.79675493
1.47985343	-23.81149428
1.48717943	-22.75349067
1.49450544	-23.84237390
1.50183145	-25.62245000
1.50915746	-26.33321822
1.51648346	-26.35133664
1.52380947	-25.40573376
1.53113548	-24.42355000
1.53846148	-23.29279298
1.54578749	-24.29437414
1.55311350	-26.87347357
1.56043951	-29.18273984
1.56776551	-30.80380580
1.57509152	-31.55017757
1.58241753	-31.81353699
1.58974353	-30.89917492
1.59706954	-31.38937489
1.60439555	-33.98726269
1.61172155	-34.73440735
1.61904756	-34.21956382
1.62637357	-33.67251937
1.63369958	-32.08884900
1.64102558	-31.22628506
1.64835159	-31.20745342
1.65567760	-32.68259435
1.66300360	-37.02281181
1.67032961	-41.93271319
1.67765562	-40.11126123
1.68498163	-36.78651026
1.69230763	-36.29645321
1.69963364	-36.61520303
1.70695965	-38.44153851
1.71428565	-41.61572945
1.72161166	-50.94457649
1.72893767	-43.84918688
1.73626367	-42.39083845
1.74358968	-40.25876485
1.75091569	-39.58647252
1.75824170	-39.65470352
1.76556770	-40.84015403
1.77289371	-41.59506456
1.78021972	-41.06325684
1.78754572	-39.74221088
1.79487173	-40.60352373
1.80219774	-41.42581900
1.80952375	-41.94769394
1.81684975	-43.86131500
1.82417576	-46.13049356
1.83150177	-46.80714415
1.83882777	-46.13982031
1.84615378	-45.76198029
1.85347979	-45.62242802
1.86080580	-45.55348020
1.86813180	-46.63257687
1.87545781	-46.32436922
1.88278382	-44.77604700
1.89010982	-44.56442417
1.89743583	-44.39901400
1.90476184	-44.83683395
1.91208784	-46.05808435
1.91941385	-47.87591138
1.92673986	-48.45379961
1.93406587	-49.85246335
1.94139187	-51.11313323
1.94871788	-51.53843422
1.95604389	-51.36477715
1.96336989	-51.23389290
1.97069590	-50.48217145
1.97802191	-50.19686967
1.98534792	-49.60077872
1.99267392	-49.48989361
1.99999993	-49.09579358
2.00732594	-49.47903266
2.01465194	-51.08545036
2.02197795	-51.70201140
2.02930396	-51.31255416
2.03662996	-53.05780231
2.04395597	-54.35333094
2.05128198	-55.39897563
2.05860799	-58.67850324
2.06593399	-61.75051869
2.07326000	-59.09140152
2.08058601	-58.24613676
2.08791201	-58.71558792
2.09523802	-57.93801772
2.10256403	-58.77239208
2.10989004	-58.53676078
2.11721604	-59.06429404
2.12454205	-59.00207904
2.13186806	-61.25611255
2.13919406	-66.56877488
2.14652007	-68.33814920
2.15384608	-70.89421518
2.16117208	-66.46348468
2.16849809	-65.47945243
2.17582410	-68.82657374
2.18315011	-66.28030183
2.19047611	-63.06885720
2.19780212	-61.99507353
2.20512813	-62.06957903
2.21245413	-62.64899534
2.21978014	-62.86997028
2.22710615	-64.38879676
2.23443216	-65.54923668
2.24175816	-63.94327081
