# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:09:49
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620601	0.00000000
-433.78287275	-0.00000000
-433.74953949	-0.00000005
-433.71620623	-0.00000006
-433.68287297	-0.00000005
-433.64953972	-0.00000009
-433.61620646	-0.00000020
-433.58287320	-0.00000018
-433.54953994	-0.00000055
-433.51620668	-0.00000055
-433.48287342	-0.00000061
-433.44954016	-0.00000015
-433.41620691	-0.00000030
-433.38287365	-0.00000087
-433.34954039	-0.00000039
-433.31620713	-0.00000085
-433.28287387	-0.00000152
-433.24954061	-0.00000150
-433.21620736	-0.00000010
-433.18287410	0.00000052
-433.14954084	0.00000164
-433.11620758	0.00000237
-433.08287432	0.00000251
-433.04954106	0.00000827
-433.01620781	0.00000596
-432.98287455	0.00000416
-432.94954129	0.00000591
-432.91620803	0.00000360
-432.88287477	0.00000488
-432.84954151	0.00000805
-432.81620826	0.00001150
-432.78287500	0.00000661
-432.74954174	0.00001669
-432.71620848	0.00001558
-432.68287522	0.00001130
-432.64954196	0.00000957
-432.61620871	0.00002056
-432.58287545	0.00001851
-432.54954219	0.00002598
-432.51620893	0.00002124
-432.48287567	0.00002317
-432.44954241	0.00003554
-432.41620916	0.00003937
-432.38287590	0.00003180
-432.34954264	0.00003324
-432.31620938	0.00001788
-432.28287612	0.00005270
-432.24954286	0.00004275
-432.21620961	0.00002881
-432.18287635	0.00003748
-432.14954309	0.00003458
-432.11620983	0.00004071
-432.08287657	0.00004111
-432.04954331	0.00003517
-432.01621006	0.00005585
-431.98287680	0.00005720
-431.94954354	0.00004424
-431.91621028	0.00003839
-431.88287702	0.00004866
-431.84954376	0.00004795
-431.81621051	0.00003573
-431.78287725	0.00002619
-431.74954399	0.00004924
-431.71621073	0.00005853
-431.68287747	0.00006474
-431.64954421	0.00005099
-431.61621096	0.00005700
-431.58287770	0.00003320
-431.54954444	0.00005898
-431.51621118	0.00003364
-431.48287792	0.00006993
-431.44954466	0.00005309
-431.41621141	0.00005054
-431.38287815	0.00004499
-431.34954489	0.00006867
-431.31621163	0.00007872
-431.28287837	0.00005099
-431.24954511	0.00008331
-431.21621186	0.00008395
-431.18287860	0.00006380
-431.14954534	0.00009718
-431.11621208	0.00006090
-431.08287882	0.00006158
-431.04954556	0.00006696
-431.01621231	0.00008932
-430.98287905	0.00010278
-430.94954579	0.00007245
-430.91621253	0.00011314
-430.88287927	0.00011778
-430.84954601	0.00006757
-430.81621276	0.00010409
-430.78287950	0.00012784
-430.74954624	0.00009436
-430.71621298	0.00009095
-430.68287972	0.00011027
-430.64954646	0.00013707
-430.61621321	0.00007368
-430.58287995	0.00011336
-430.54954669	0.00009136
-430.51621343	0.00014801
-430.48288017	0.00010482
-430.44954691	0.00007665
-430.41621366	0.00008609
-430.38288040	0.00011088
-430.34954714	0.00013144
-430.31621388	0.00010612
-430.28288062	0.00011625
-430.24954736	0.00009904
-430.21621411	0.00015098
-430.18288085	0.00009422
-430.14954759	0.00006687
-430.11621433	0.00005140
-430.08288107	0.00011370
-430.04954781	0.00010752
-430.01621456	0.00001778
-429.98288130	0.00007231
-429.94954804	0.00003352
-429.91621478	0.00002344
-429.88288152	0.00007510
-429.84954826	0.00005386
-429.81621501	-0.00000642
-429.78288175	0.00008207
-429.74954849	0.00004897
-429.71621523	-0.00000228
-429.68288197	0.00001362
-429.64954871	0.00004459
-429.61621545	-0.00002227
-429.58288220	0.00001620
-429.54954894	0.00007018
-429.51621568	0.00005783
-429.48288242	0.00005416
-429.44954916	-0.00003584
-429.41621590	0.00002584
-429.38288265	0.00006082
-429.34954939	0.00006706
-429.31621613	0.00006316
-429.28288287	0.00007768
-429.24954961	0.00003909
-429.21621635	0.00004018
-429.18288310	0.00009563
-429.14954984	0.00008852
-429.11621658	0.00007484
-429.08288332	0.00005877
-429.04955006	0.00008044
-429.01621680	0.00009871
-428.98288355	0.00001917
-428.94955029	0.00006057
-428.91621703	0.00003869
-428.88288377	0.00011325
-428.84955051	0.00010010
-428.81621725	0.00013615
-428.78288400	0.00006579
-428.74955074	0.00003121
-428.71621748	0.00009199
-428.68288422	0.00007947
-428.64955096	0.00003381
-428.61621770	0.00003070
-428.58288445	0.00002778
-428.54955119	0.00008673
-428.51621793	0.00000735
-428.48288467	0.00009849
-428.44955141	0.00004698
-428.41621815	0.00012420
-428.38288490	0.00019210
-428.34955164	0.00015468
-428.31621838	0.00012975
-428.28288512	0.00005929
-428.24955186	0.00007665
-428.21621860	0.00010075
-428.18288535	0.00009580
-428.14955209	0.00006398
-428.11621883	0.00011518
-428.08288557	0.00005523
-428.04955231	0.00002307
-428.01621905	0.00013073
-427.98288580	0.00009234
-427.94955254	0.00011546
-427.91621928	0.00011970
-427.88288602	0.00014866
-427.84955276	0.00010634
-427.81621950	0.00012502
-427.78288625	0.00012396
-427.74955299	0.00008118
-427.71621973	0.00008734
-427.68288647	0.00010746
-427.64955321	0.00010117
-427.61621995	0.00015238
-427.58288670	0.00012741
-427.54955344	0.00013406
-427.51622018	0.00012799
-427.48288692	0.00007516
-427.44955366	0.00010144
-427.41622040	0.00007629
-427.38288715	0.00004116
-427.34955389	0.00014907
-427.31622063	0.00015675
-427.28288737	0.00014651
-427.24955411	0.00010904
-427.21622085	0.00003212
-427.18288760	0.00003634
-427.14955434	0.00003646
-427.11622108	0.00010779
-427.08288782	0.00008019
-427.04955456	0.00004947
-427.01622130	0.00006080
-426.98288805	0.00003236
-426.94955479	0.00006206
-426.91622153	0.00000734
-426.88288827	0.00009062
-426.84955501	0.00008560
-426.81622175	0.00002418
-426.78288850	0.00001700
-426.74955524	0.00001446
-426.71622198	0.00010815
-426.68288872	0.00009040
-426.64955546	0.00010865
-426.61622220	0.00012977
-426.58288895	0.00012727
-426.54955569	0.00017483
-426.51622243	0.00015000
-426.48288917	0.00019462
-426.44955591	0.00018211
-426.41622265	0.00018018
-426.38288940	0.00011020
-426.34955614	0.00022188
-426.31622288	0.00019140
-426.28288962	0.00018345
-426.24955636	0.00023130
-426.21622310	0.00016444
-426.18288985	0.00019358
-426.14955659	0.00024776
-426.11622333	0.00028270
-426.08289007	0.00023227
-426.04955681	0.00027670
-426.01622355	0.00026938
-425.98289029	0.00023037
-425.94955704	0.00026821
-425.91622378	0.00036299
-425.88289052	0.00030228
-425.84955726	0.00028920
-425.81622400	0.00026955
-425.78289074	0.00030509
-425.74955749	0.00031005
-425.71622423	0.00030782
-425.68289097	0.00033257
-425.64955771	0.00031014
-425.61622445	0.00038985
-425.58289119	0.00031490
-425.54955794	0.00039826
-425.51622468	0.00033560
-425.48289142	0.00030699
-425.44955816	0.00040243
-425.41622490	0.00043336
-425.38289164	0.00035696
-425.34955839	0.00027802
-425.31622513	0.00034528
-425.28289187	0.00030122
-425.24955861	0.00030227
-425.21622535	0.00029638
-425.18289209	0.00036537
-425.14955884	0.00033272
-425.11622558	0.00030680
-425.08289232	0.00028175
-425.04955906	0.00027482
-425.01622580	0.00022436
-424.98289254	0.00028008
-424.94955929	0.00024619
-424.91622603	0.00025209
-424.88289277	0.00022101
-424.84955951	0.00024603
-424.81622625	0.00020911
-424.78289299	0.00020654
-424.74955974	0.00024862
-424.71622648	0.00021544
-424.68289322	0.00018042
-424.64955996	0.00015181
-424.61622670	0.00020060
-424.58289344	0.00022886
-424.54956019	0.00019323
-424.51622693	0.00018447
-424.48289367	0.00017447
-424.44956041	0.00019771
-424.41622715	0.00024925
-424.38289389	0.00021263
-424.34956064	0.00023121
-424.31622738	0.00022744
-424.28289412	0.00019337
-424.24956086	0.00018449
-424.21622760	0.00022268
-424.18289434	0.00025905
-424.14956109	0.00022847
-424.11622783	0.00017486
-424.08289457	0.00023808
-424.04956131	0.00023778
-424.01622805	0.00027777
-423.98289479	0.00031791
