# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:09:49
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.77854100
0.00732602	-23.86101506
0.01465205	-28.69383989
0.02197807	-28.71248199
0.02930410	-33.63762092
0.03663012	-36.36711859
0.04395614	-30.18960896
0.05128217	-34.54320837
0.05860819	-31.56030139
0.06593421	-35.96041633
0.07326024	-35.61323972
0.08058626	-42.41323447
0.08791229	-39.13084176
0.09523831	-33.65504948
0.10256433	-30.05425018
0.10989036	-33.26399145
0.11721638	-29.50597734
0.12454240	-25.00817098
0.13186843	-27.39426787
0.13919445	-21.61767430
0.14652048	-20.75172198
0.15384650	-22.08831651
0.16117252	-20.78307108
0.16849855	-17.91750183
0.17582457	-16.07623190
0.18315060	-15.62891785
0.19047662	-14.67080089
0.19780264	-12.66855012
0.20512867	-13.01022803
0.21245469	-13.81973691
0.21978071	-11.26006838
0.22710674	-8.48738511
0.23443276	-9.61326381
0.24175879	-10.28000973
0.24908481	-8.84315418
0.25641083	-10.44046169
0.26373686	-10.50015823
0.27106288	-7.67569535
0.27838890	-7.19224148
0.28571493	-8.78775479
0.29304095	-8.30339487
0.30036698	-7.98161784
0.30769300	-8.05472018
0.31501902	-6.99874123
0.32234505	-4.86164564
0.32967107	-4.53685763
0.33699710	-6.13039066
0.34432312	-6.20066838
0.35164914	-5.37943006
0.35897517	-5.13767538
0.36630119	-4.03441409
0.37362721	-3.37769534
0.38095324	-4.36721616
0.38827926	-4.70498005
0.39560529	-4.90070847
0.40293131	-4.39558653
0.41025733	-3.34249607
0.41758336	-2.56627032
0.42490938	-2.77458769
0.43223540	-3.57456264
0.43956143	-3.79580135
0.44688745	-3.25251604
0.45421348	-1.69318974
0.46153950	-1.00373735
0.46886552	-1.19416274
0.47619155	-1.59238253
0.48351757	-2.51253640
0.49084360	-2.55337185
0.49816962	-1.85498401
0.50549564	-1.31460520
0.51282167	-0.86261601
0.52014769	-1.73091007
0.52747371	-3.02377195
0.53479974	-2.37884391
0.54212576	-2.41381447
0.54945179	-1.38027814
0.55677781	-2.23578492
0.56410383	-1.71241083
0.57142986	-1.45805679
0.57875588	-1.63103626
0.58608190	-1.73801408
0.59340793	-0.50393420
0.60073395	0.00000000
0.60805998	-0.40547753
0.61538600	-1.03521194
0.62271202	-2.29453761
0.63003805	-1.93978158
0.63736407	-1.35190717
0.64469009	-1.02457827
0.65201612	-0.53506969
0.65934214	-1.32051400
0.66666817	-2.38799979
0.67399419	-2.23973372
0.68132021	-1.89906958
0.68864624	-0.87187939
0.69597226	-0.57126414
0.70329829	-1.28371923
0.71062431	-1.79328697
0.71795033	-2.72955768
0.72527636	-2.22464137
0.73260238	-1.96142565
0.73992840	-1.47230930
0.74725443	-2.49096337
0.75458045	-4.72383457
0.76190648	-3.82468084
0.76923250	-4.08274211
0.77655852	-3.15669021
0.78388455	-2.43616090
0.79121057	-2.52088473
0.79853659	-3.24103157
0.80586262	-4.14585704
0.81318864	-4.12537090
0.82051467	-3.50475407
0.82784069	-3.05137689
0.83516671	-2.71187258
0.84249274	-3.62625458
0.84981876	-4.48920364
0.85714479	-4.84045978
0.86447081	-4.81213901
0.87179683	-3.80014348
0.87912286	-3.77728615
0.88644888	-4.73015737
0.89377490	-5.40646860
0.90110093	-6.15255032
0.90842695	-6.10344974
0.91575298	-5.02600577
0.92307900	-4.48028989
0.93040502	-4.68441526
0.93773105	-5.53448120
0.94505707	-6.28807598
0.95238309	-5.88717352
0.95970912	-5.83342380
0.96703514	-5.69028896
0.97436117	-5.87053886
0.98168719	-7.89451486
0.98901321	-9.53685464
0.99633924	-9.68834383
