# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:15:34
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620601	0.00000000
-433.78287275	-0.00000001
-433.74953949	-0.00000005
-433.71620623	-0.00000002
-433.68287297	0.00000004
-433.64953972	0.00000000
-433.61620646	-0.00000036
-433.58287320	-0.00000013
-433.54953994	-0.00000049
-433.51620668	-0.00000045
-433.48287342	0.00000055
-433.44954016	0.00000008
-433.41620691	0.00000030
-433.38287365	0.00000028
-433.34954039	0.00000038
-433.31620713	-0.00000126
-433.28287387	-0.00000041
-433.24954061	0.00000042
-433.21620736	0.00000002
-433.18287410	0.00000094
-433.14954084	0.00000103
-433.11620758	0.00000243
-433.08287432	-0.00000188
-433.04954106	0.00000166
-433.01620781	0.00000417
-432.98287455	0.00000567
-432.94954129	0.00000391
-432.91620803	0.00000303
-432.88287477	0.00000818
-432.84954151	0.00000802
-432.81620826	0.00000842
-432.78287500	0.00001123
-432.74954174	0.00001746
-432.71620848	0.00001353
-432.68287522	0.00002593
-432.64954196	0.00001709
-432.61620871	0.00002433
-432.58287545	0.00002099
-432.54954219	0.00001079
-432.51620893	0.00002046
-432.48287567	0.00003029
-432.44954241	0.00001500
-432.41620916	0.00002491
-432.38287590	0.00002433
-432.34954264	0.00003128
-432.31620938	0.00004375
-432.28287612	0.00003624
-432.24954286	0.00005096
-432.21620961	0.00003705
-432.18287635	0.00003997
-432.14954309	0.00002330
-432.11620983	0.00004667
-432.08287657	0.00004930
-432.04954331	0.00004897
-432.01621006	0.00005567
-431.98287680	0.00003877
-431.94954354	0.00003895
-431.91621028	0.00006193
-431.88287702	0.00005739
-431.84954376	0.00004347
-431.81621051	0.00005718
-431.78287725	0.00005695
-431.74954399	0.00005421
-431.71621073	0.00006704
-431.68287747	0.00004451
-431.64954421	0.00003638
-431.61621096	0.00004335
-431.58287770	0.00006461
-431.54954444	0.00003912
-431.51621118	0.00006588
-431.48287792	0.00007828
-431.44954466	0.00006028
-431.41621141	0.00005177
-431.38287815	0.00007549
-431.34954489	0.00005489
-431.31621163	0.00008052
-431.28287837	0.00010040
-431.24954511	0.00008658
-431.21621186	0.00005685
-431.18287860	0.00007317
-431.14954534	0.00007165
-431.11621208	0.00008858
-431.08287882	0.00011648
-431.04954556	0.00008357
-431.01621231	0.00010678
-430.98287905	0.00004868
-430.94954579	0.00009081
-430.91621253	0.00012176
-430.88287927	0.00011970
-430.84954601	0.00009923
-430.81621276	0.00010160
-430.78287950	0.00010279
-430.74954624	0.00012778
-430.71621298	0.00002797
-430.68287972	0.00008713
-430.64954646	0.00012296
-430.61621321	0.00009448
-430.58287995	0.00015821
-430.54954669	0.00009396
-430.51621343	0.00011371
-430.48288017	0.00011486
-430.44954691	0.00009615
-430.41621366	0.00002223
-430.38288040	0.00011133
-430.34954714	0.00010290
-430.31621388	0.00008560
-430.28288062	0.00007172
-430.24954736	0.00010326
-430.21621411	0.00012218
-430.18288085	0.00005300
-430.14954759	0.00006295
-430.11621433	0.00011992
-430.08288107	0.00003791
-430.04954781	0.00009328
-430.01621456	0.00003139
-429.98288130	0.00008717
-429.94954804	0.00010757
-429.91621478	0.00004957
-429.88288152	0.00009595
-429.84954826	0.00002802
-429.81621501	0.00008574
-429.78288175	0.00004656
-429.74954849	0.00005791
-429.71621523	0.00009298
-429.68288197	0.00008017
-429.64954871	0.00011817
-429.61621545	0.00008370
-429.58288220	0.00005861
-429.54954894	0.00006116
-429.51621568	0.00007476
-429.48288242	0.00009636
-429.44954916	0.00002317
-429.41621590	0.00011479
-429.38288265	0.00006899
-429.34954939	-0.00004496
-429.31621613	0.00014129
-429.28288287	0.00007447
-429.24954961	0.00013566
-429.21621635	0.00004069
-429.18288310	0.00012632
-429.14954984	0.00009011
-429.11621658	0.00008059
-429.08288332	0.00011779
-429.04955006	0.00008515
-429.01621680	0.00013533
-428.98288355	0.00000947
-428.94955029	0.00005772
-428.91621703	0.00008899
-428.88288377	0.00011169
-428.84955051	0.00005637
-428.81621725	0.00004718
-428.78288400	0.00004295
-428.74955074	0.00014276
-428.71621748	0.00011685
-428.68288422	0.00008120
-428.64955096	0.00010216
-428.61621770	0.00010986
-428.58288445	0.00004429
-428.54955119	0.00002040
-428.51621793	0.00005108
-428.48288467	0.00013251
-428.44955141	0.00008362
-428.41621815	0.00012650
-428.38288490	0.00004534
-428.34955164	0.00009796
-428.31621838	0.00008968
-428.28288512	0.00007795
-428.24955186	0.00011891
-428.21621860	0.00012215
-428.18288535	0.00015941
-428.14955209	0.00007744
-428.11621883	0.00015385
-428.08288557	0.00013093
-428.04955231	0.00013613
-428.01621905	0.00007970
-427.98288580	0.00010294
-427.94955254	0.00013903
-427.91621928	0.00010910
-427.88288602	0.00008208
-427.84955276	0.00011600
-427.81621950	0.00017699
-427.78288625	0.00014669
-427.74955299	0.00012985
-427.71621973	0.00011601
-427.68288647	0.00010791
-427.64955321	0.00009464
-427.61621995	0.00015331
-427.58288670	0.00009856
-427.54955344	0.00013973
-427.51622018	0.00019108
-427.48288692	0.00010575
-427.44955366	0.00009186
-427.41622040	0.00009750
-427.38288715	0.00014868
-427.34955389	0.00010811
-427.31622063	0.00011335
-427.28288737	0.00015366
-427.24955411	0.00000950
-427.21622085	0.00004285
-427.18288760	0.00004356
-427.14955434	0.00003670
-427.11622108	0.00003547
-427.08288782	-0.00000211
-427.04955456	0.00005006
-427.01622130	0.00002703
-426.98288805	0.00004618
-426.94955479	0.00009564
-426.91622153	0.00007379
-426.88288827	0.00007547
-426.84955501	0.00006549
-426.81622175	-0.00000947
-426.78288850	0.00013777
-426.74955524	0.00007973
-426.71622198	0.00004560
-426.68288872	0.00013452
-426.64955546	0.00009499
-426.61622220	0.00002706
-426.58288895	0.00004106
-426.54955569	0.00012839
-426.51622243	0.00013005
-426.48288917	0.00012203
-426.44955591	0.00010652
-426.41622265	0.00016128
-426.38288940	0.00022311
-426.34955614	0.00012502
-426.31622288	0.00015165
-426.28288962	0.00026890
-426.24955636	0.00023341
-426.21622310	0.00024363
-426.18288985	0.00022509
-426.14955659	0.00029754
-426.11622333	0.00021656
-426.08289007	0.00026494
-426.04955681	0.00026753
-426.01622355	0.00026526
-425.98289029	0.00031683
-425.94955704	0.00029069
-425.91622378	0.00028535
-425.88289052	0.00030083
-425.84955726	0.00038904
-425.81622400	0.00029802
-425.78289074	0.00033538
-425.74955749	0.00031286
-425.71622423	0.00034429
-425.68289097	0.00035550
-425.64955771	0.00034993
-425.61622445	0.00041237
-425.58289119	0.00038428
-425.54955794	0.00038074
-425.51622468	0.00035619
-425.48289142	0.00040960
-425.44955816	0.00036644
-425.41622490	0.00042193
-425.38289164	0.00045259
-425.34955839	0.00040433
-425.31622513	0.00033739
-425.28289187	0.00035090
-425.24955861	0.00029033
-425.21622535	0.00032508
-425.18289209	0.00030229
-425.14955884	0.00038556
-425.11622558	0.00033204
-425.08289232	0.00034401
-425.04955906	0.00032471
-425.01622580	0.00028471
-424.98289254	0.00030646
-424.94955929	0.00020961
-424.91622603	0.00027898
-424.88289277	0.00020109
-424.84955951	0.00022334
-424.81622625	0.00025192
-424.78289299	0.00019431
-424.74955974	0.00019247
-424.71622648	0.00014733
-424.68289322	0.00019154
-424.64955996	0.00023905
-424.61622670	0.00021705
-424.58289344	0.00020385
-424.54956019	0.00022309
-424.51622693	0.00017944
-424.48289367	0.00022772
-424.44956041	0.00027722
-424.41622715	0.00017138
-424.38289389	0.00018912
-424.34956064	0.00019338
-424.31622738	0.00018718
-424.28289412	0.00022978
-424.24956086	0.00026581
-424.21622760	0.00026546
-424.18289434	0.00028086
-424.14956109	0.00022326
-424.11622783	0.00028537
-424.08289457	0.00022891
-424.04956131	0.00030891
-424.01622805	0.00030588
-423.98289479	0.00030173
-423.94956154	0.00038422
-423.91622828	0.00037594
-423.88289502	0.00035671
-423.84956176	0.00036098
-423.81622850	0.00039204
-423.78289524	0.00035088
-423.74956199	0.00038901
-423.71622873	0.00042201
-423.68289547	0.00048823
-423.64956221	0.00046605
-423.61622895	0.00043544
-423.58289569	0.00044545
-423.54956244	0.00043275
-423.51622918	0.00048530
-423.48289592	0.00048957
-423.44956266	0.00056878
-423.41622940	0.00063553
-423.38289614	0.00058310
-423.34956289	0.00063039
-423.31622963	0.00061982
-423.28289637	0.00065806
-423.24956311	0.00063355
-423.21622985	0.00066840
-423.18289659	0.00064921
-423.14956334	0.00065239
-423.11623008	0.00059063
-423.08289682	0.00059261
-423.04956356	0.00066682
-423.01623030	0.00060497
-422.98289704	0.00065739
-422.94956379	0.00063234
-422.91623053	0.00063658
-422.88289727	0.00063110
-422.84956401	0.00062460
-422.81623075	0.00063108
-422.78289749	0.00063385
-422.74956424	0.00062390
-422.71623098	0.00056501
-422.68289772	0.00063993
-422.64956446	0.00059456
-422.61623120	0.00060039
-422.58289794	0.00056487
-422.54956469	0.00058740
-422.51623143	0.00059457
-422.48289817	0.00064527
-422.44956491	0.00054531
-422.41623165	0.00053777
-422.38289839	0.00052792
-422.34956513	0.00051959
-422.31623188	0.00057660
-422.28289862	0.00052692
-422.24956536	0.00063160
-422.21623210	0.00050479
-422.18289884	0.00053170
-422.14956558	0.00059174
-422.11623233	0.00063112
-422.08289907	0.00051833
-422.04956581	0.00062248
-422.01623255	0.00066317
-421.98289929	0.00065706
-421.94956603	0.00066255
-421.91623278	0.00064211
-421.88289952	0.00066837
-421.84956626	0.00067237
-421.81623300	0.00072201
-421.78289974	0.00074406
-421.74956648	0.00081546
-421.71623323	0.00084555
-421.68289997	0.00076026
-421.64956671	0.00089215
-421.61623345	0.00095342
-421.58290019	0.00096083
-421.54956693	0.00103993
-421.51623368	0.00112948
-421.48290042	0.00119270
-421.44956716	0.00122862
-421.41623390	0.00122650
-421.38290064	0.00125879
-421.34956738	0.00137886
-421.31623413	0.00144992
-421.28290087	0.00148630
-421.24956761	0.00159768
-421.21623435	0.00153257
-421.18290109	0.00165581
-421.14956783	0.00166390
-421.11623458	0.00175586
-421.08290132	0.00175733
-421.04956806	0.00185593
-421.01623480	0.00183783
-420.98290154	0.00182107
-420.94956828	0.00178302
-420.91623503	0.00168038
-420.88290177	0.00158119
-420.84956851	0.00143091
-420.81623525	0.00129185
-420.78290199	0.00097370
-420.74956873	0.00077265
-420.71623548	0.00039549
-420.68290222	0.00003846
-420.64956896	-0.00034867
-420.61623570	-0.00081494
-420.58290244	-0.00126288
-420.54956918	-0.00177629
-420.51623593	-0.00225501
-420.48290267	-0.00288114
-420.44956941	-0.00332185
-420.41623615	-0.00388773
-420.38290289	-0.00425837
-420.34956963	-0.00471824
-420.31623638	-0.00499404
-420.28290312	-0.00543478
-420.24956986	-0.00556240
-420.21623660	-0.00562042
-420.18290334	-0.00572866
