# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T15:15:34
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.84634384
0.00732602	-23.89906152
0.01465205	-28.63587762
0.02197807	-28.74091003
0.02930410	-33.26952524
0.03663012	-36.06574331
0.04395614	-30.04969308
0.05128217	-34.37005935
0.05860819	-31.48393365
0.06593421	-36.00442230
0.07326024	-35.47634023
0.08058626	-42.05014233
0.08791229	-38.83992713
0.09523831	-33.65454567
0.10256433	-30.00300408
0.10989036	-33.22255832
0.11721638	-29.52107865
0.12454240	-24.98587831
0.13186843	-27.34396349
0.13919445	-21.61532977
0.14652048	-20.70780157
0.15384650	-22.07053292
0.16117252	-20.78560298
0.16849855	-17.92396682
0.17582457	-16.07778968
0.18315060	-15.61852679
0.19047662	-14.66858898
0.19780264	-12.67571034
0.20512867	-13.01691330
0.21245469	-13.82718189
0.21978071	-11.26412701
0.22710674	-8.48942994
0.23443276	-9.60773971
0.24175879	-10.27505739
0.24908481	-8.84330853
0.25641083	-10.43922868
0.26373686	-10.51280674
0.27106288	-7.68531611
0.27838890	-7.19208151
0.28571493	-8.78623376
0.29304095	-8.31039672
0.30036698	-7.99417515
0.30769300	-8.07116144
0.31501902	-7.01133613
0.32234505	-4.86510049
0.32967107	-4.53148000
0.33699710	-6.13325279
0.34432312	-6.20957120
0.35164914	-5.39104996
0.35897517	-5.14841453
0.36630119	-4.04214870
0.37362721	-3.37169280
0.38095324	-4.35591306
0.38827926	-4.70882765
0.39560529	-4.91622562
0.40293131	-4.41752804
0.41025733	-3.35563978
0.41758336	-2.57424643
0.42490938	-2.77581590
0.43223540	-3.58631666
0.43956143	-3.80498507
0.44688745	-3.26314774
0.45421348	-1.70016913
0.46153950	-1.01743800
0.46886552	-1.18515127
0.47619155	-1.60152392
0.48351757	-2.51295228
0.49084360	-2.58539425
0.49816962	-1.86644231
0.50549564	-1.34098891
0.51282167	-0.85136267
0.52014769	-1.74702552
0.52747371	-3.00283452
0.53479974	-2.40050487
0.54212576	-2.36646149
0.54945179	-1.23856700
0.55677781	-1.32023146
0.56410383	-1.35170756
0.57142986	-1.41135023
0.57875588	-1.60834302
0.58608190	-1.74236946
0.59340793	-0.51642082
0.60073395	0.00000000
0.60805998	-0.40415415
0.61538600	-1.03090554
0.62271202	-2.30048454
0.63003805	-1.95717338
0.63736407	-1.38271046
0.64469009	-1.04027562
0.65201612	-0.54710112
0.65934214	-1.32457586
0.66666817	-2.40845010
0.67399419	-2.26489141
0.68132021	-1.93397554
0.68864624	-0.89369020
0.69597226	-0.58314623
0.70329829	-1.28293599
0.71062431	-1.80674837
0.71795033	-2.74070262
0.72527636	-2.25391536
0.73260238	-1.95875599
0.73992840	-1.46109185
0.74725443	-2.24449904
0.75458045	-4.10273090
0.76190648	-3.77299756
0.76923250	-4.06130646
0.77655852	-3.19643466
0.78388455	-2.43970668
0.79121057	-2.53651127
0.79853659	-3.24166916
0.80586262	-4.17754832
0.81318864	-4.14786016
0.82051467	-3.54728719
0.82784069	-3.07268912
0.83516671	-2.72602017
0.84249274	-3.63026548
0.84981876	-4.51523742
0.85714479	-4.86673838
0.86447081	-4.85241971
0.87179683	-3.83351210
0.87912286	-3.79601058
0.88644888	-4.73586825
0.89377490	-5.42853109
0.90110093	-6.17878665
0.90842695	-6.14057798
0.91575298	-5.03784982
0.92307900	-4.48816381
0.93040502	-4.69036834
0.93773105	-5.54485823
0.94505707	-6.31284927
0.95238309	-5.91654305
0.95970912	-5.86700077
0.96703514	-5.67385910
0.97436117	-5.82414223
0.98168719	-7.78457668
0.98901321	-9.08797599
0.99633924	-9.60094895
1.00366526	-8.77994786
1.01099129	-8.09002346
1.01831731	-8.59304099
1.02564333	-8.66989518
1.03296936	-9.67213051
1.04029538	-9.56450751
1.04762140	-9.05003697
1.05494743	-8.32678205
1.06227345	-7.86405810
1.06959948	-9.29648205
1.07692550	-10.61607867
1.08425152	-11.03000587
1.09157755	-12.00408548
1.09890357	-14.70729922
1.10622959	-11.95933776
1.11355562	-12.54919814
1.12088164	-13.32547856
1.12820767	-13.66895689
1.13553369	-12.71957796
1.14285971	-12.12885816
1.15018574	-11.99002747
1.15751176	-13.75371958
1.16483779	-17.11821800
1.17216381	-13.72824133
1.17948983	-13.52027862
1.18681586	-12.78178758
1.19414188	-12.00536556
1.20146790	-13.10684202
1.20879393	-16.34988796
1.21611995	-15.84963196
1.22344598	-16.44898216
1.23077200	-17.51311050
1.23809802	-16.57691337
1.24542405	-16.13880678
1.25275007	-17.18979262
1.26007609	-18.11144133
1.26740212	-17.66560791
1.27472814	-16.79828584
1.28205417	-15.63058066
1.28938019	-15.60507696
1.29670621	-16.14041438
1.30403224	-16.48391688
1.31135826	-17.36395207
1.31868429	-17.75939649
1.32601031	-17.24313258
1.33333633	-18.02167859
1.34066236	-19.25956348
1.34798838	-20.91171225
1.35531440	-21.50071021
1.36264043	-20.82764713
1.36996645	-20.99435061
1.37729248	-19.56115384
1.38461850	-20.05867412
1.39194452	-20.27026734
1.39927055	-20.57603199
1.40659657	-21.25952277
1.41392259	-22.17652092
1.42124862	-19.43013223
1.42857464	-19.82386200
1.43590067	-20.52133477
1.44322669	-21.72130234
1.45055271	-22.38190313
1.45787874	-22.84833047
1.46520476	-22.22424303
1.47253079	-22.88636780
1.47985681	-24.51219229
1.48718283	-24.71364065
1.49450886	-24.58834051
1.50183488	-24.01491434
1.50916090	-22.95147770
1.51648693	-22.16858479
1.52381295	-22.12436854
1.53113898	-23.26557704
1.53846500	-23.22633930
1.54579102	-22.99588364
1.55311705	-23.23130339
1.56044307	-23.99809971
1.56776909	-24.97183736
1.57509512	-26.47703270
1.58242114	-28.16755579
1.58974717	-28.96676053
1.59707319	-28.77825618
1.60439921	-29.81404919
1.61172524	-28.83630542
1.61905126	-28.22458542
1.62637728	-28.24956125
1.63370331	-27.61262114
1.64102933	-27.57459503
1.64835536	-26.87125055
1.65568138	-27.83654246
1.66300740	-33.02108702
1.67033343	-40.59240144
1.67765945	-33.73325389
1.68498548	-30.14754655
1.69231150	-30.70472966
1.69963752	-31.12344281
1.70696355	-32.35899152
1.71428957	-36.89854929
1.72161559	-41.22746346
1.72894162	-33.39301797
1.73626764	-32.22933822
1.74359367	-31.41377970
1.75091969	-31.02112463
1.75824571	-30.56658831
1.76557174	-31.03199242
1.77289776	-30.82999148
1.78022378	-30.56908653
1.78754981	-30.71937918
1.79487583	-33.96124437
1.80220186	-35.10169700
1.80952788	-34.86106061
1.81685390	-36.03944882
1.82417993	-36.69524180
1.83150595	-36.75533850
1.83883198	-37.07987569
1.84615800	-36.98372286
1.85348402	-36.87974949
1.86081005	-35.63159469
1.86813607	-38.09495386
1.87546209	-35.23682965
1.88278812	-33.87834198
1.89011414	-35.11379059
1.89744017	-35.22274969
1.90476619	-36.17974996
1.91209221	-36.83815133
1.91941824	-40.89295094
1.92674426	-41.76892166
1.93407028	-42.22502520
1.94139631	-42.42466189
1.94872233	-41.07552648
1.95604836	-39.98250263
1.96337438	-39.85016056
1.97070040	-39.47082444
1.97802643	-39.40050009
1.98535245	-39.28770105
1.99267848	-38.70903179
2.00000450	-37.20066066
2.00733052	-37.78871839
2.01465655	-40.13080432
2.02198257	-41.19133764
2.02930859	-41.44671869
2.03663462	-43.29036694
2.04396064	-45.24402319
2.05128667	-44.80326708
2.05861269	-47.87664940
2.06593871	-50.80516687
2.07326474	-48.52253305
2.08059076	-47.59523693
2.08791678	-46.63785431
2.09524281	-45.44349885
2.10256883	-44.47821163
2.10989486	-44.09312242
2.11722088	-43.87574178
2.12454690	-42.84682296
2.13187293	-43.30188876
2.13919895	-46.28868431
2.14652498	-49.25816135
2.15385100	-49.93780648
2.16117702	-54.70226067
2.16850305	-84.56277391
2.17582907	-60.01545745
2.18315509	-56.81837144
2.19048112	-56.60692016
2.19780714	-61.74724341
2.20513317	-54.82056345
2.21245919	-55.09148942
2.21978521	-57.55220832
2.22711124	-55.88229649
2.23443726	-52.14685223
2.24176328	-54.42730918
2.24908931	-60.44587573
2.25641533	-68.86674241
2.26374136	-61.32782802
2.27106738	-57.87547420
