# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T16:14:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620597	0.00000000
-433.78287264	-0.00000003
-433.74953930	-0.00000014
-433.71620597	-0.00000024
-433.68287263	-0.00000027
-433.64953930	-0.00000060
-433.61620596	-0.00000063
-433.58287263	-0.00000041
-433.54953930	-0.00000081
-433.51620596	-0.00000018
-433.48287263	-0.00000072
-433.44953929	-0.00000018
-433.41620596	0.00000050
-433.38287262	-0.00000111
-433.34953929	0.00000122
-433.31620595	-0.00000038
-433.28287262	0.00000154
-433.24953929	0.00000245
-433.21620595	0.00000315
-433.18287262	0.00000110
-433.14953928	0.00000556
-433.11620595	0.00000616
-433.08287261	0.00000676
-433.04953928	0.00001088
-433.01620594	0.00001155
-432.98287261	0.00001008
-432.94953927	0.00001628
-432.91620594	0.00001669
-432.88287261	0.00002026
-432.84953927	0.00002081
-432.81620594	0.00002018
-432.78287260	0.00002159
-432.74953927	0.00002333
-432.71620593	0.00002547
-432.68287260	0.00002523
-432.64953926	0.00002474
-432.61620593	0.00001280
-432.58287259	0.00001218
-432.54953926	0.00000484
-432.51620593	0.00001070
-432.48287259	0.00000557
-432.44953926	-0.00001114
-432.41620592	0.00000298
-432.38287259	-0.00001625
-432.34953925	-0.00002375
-432.31620592	-0.00003013
-432.28287258	-0.00002366
-432.24953925	-0.00003753
-432.21620592	-0.00004337
-432.18287258	-0.00006187
-432.14953925	-0.00006555
-432.11620591	-0.00008926
-432.08287258	-0.00008044
-432.04953924	-0.00006585
-432.01620591	-0.00009672
-431.98287257	-0.00009993
-431.94953924	-0.00010047
-431.91620590	-0.00011130
-431.88287257	-0.00010863
-431.84953924	-0.00011324
-431.81620590	-0.00016292
-431.78287257	-0.00016216
-431.74953923	-0.00013308
-431.71620590	-0.00015796
-431.68287256	-0.00016432
-431.64953923	-0.00013608
-431.61620589	-0.00015163
-431.58287256	-0.00014275
-431.54953922	-0.00015661
-431.51620589	-0.00015456
-431.48287256	-0.00014561
-431.44953922	-0.00014302
-431.41620589	-0.00013956
-431.38287255	-0.00013720
-431.34953922	-0.00012854
-431.31620588	-0.00016184
-431.28287255	-0.00015851
-431.24953921	-0.00010984
-431.21620588	-0.00010371
-431.18287255	-0.00013244
-431.14953921	-0.00013543
-431.11620588	-0.00009113
-431.08287254	-0.00010707
-431.04953921	-0.00010280
-431.01620587	-0.00008976
-430.98287254	-0.00008683
-430.94953920	-0.00007243
-430.91620587	-0.00005974
-430.88287253	-0.00002267
-430.84953920	-0.00002711
-430.81620587	-0.00005845
-430.78287253	-0.00004296
-430.74953920	-0.00001522
-430.71620586	-0.00002551
-430.68287253	-0.00000728
-430.64953919	-0.00006935
-430.61620586	-0.00000731
-430.58287252	-0.00000394
-430.54953919	-0.00002346
-430.51620586	-0.00006014
-430.48287252	-0.00002148
-430.44953919	-0.00002479
-430.41620585	-0.00006413
-430.38287252	-0.00009169
-430.34953918	-0.00007992
-430.31620585	-0.00011263
-430.28287251	-0.00008311
-430.24953918	-0.00009636
-430.21620584	-0.00017676
-430.18287251	-0.00016391
-430.14953918	-0.00015480
-430.11620584	-0.00013333
-430.08287251	-0.00017362
-430.04953917	-0.00023628
-430.01620584	-0.00027677
-429.98287250	-0.00028891
-429.94953917	-0.00035210
-429.91620583	-0.00033751
-429.88287250	-0.00037799
-429.84953916	-0.00033526
-429.81620583	-0.00043061
-429.78287250	-0.00040580
-429.74953916	-0.00043942
-429.71620583	-0.00046338
-429.68287249	-0.00044702
-429.64953916	-0.00042616
-429.61620582	-0.00045246
-429.58287249	-0.00047645
-429.54953915	-0.00039755
-429.51620582	-0.00033603
-429.48287249	-0.00032500
-429.44953915	-0.00025994
-429.41620582	-0.00022147
-429.38287248	-0.00017351
-429.34953915	-0.00020013
-429.31620581	-0.00014778
-429.28287248	-0.00009153
-429.24953914	-0.00006642
-429.21620581	-0.00002892
-429.18287247	0.00006649
-429.14953914	0.00012770
-429.11620581	0.00022706
-429.08287247	0.00021564
-429.04953914	0.00029484
-429.01620580	0.00036477
-428.98287247	0.00045856
-428.94953913	0.00055935
-428.91620580	0.00060762
-428.88287246	0.00084136
-428.84953913	0.00096612
-428.81620580	0.00102839
-428.78287246	0.00112832
-428.74953913	0.00123700
-428.71620579	0.00142412
-428.68287246	0.00164014
-428.64953912	0.00172978
-428.61620579	0.00197506
-428.58287245	0.00214175
-428.54953912	0.00227578
-428.51620578	0.00239929
-428.48287245	0.00252329
-428.44953912	0.00265284
-428.41620578	0.00279043
-428.38287245	0.00280943
-428.34953911	0.00277855
-428.31620578	0.00268329
-428.28287244	0.00242931
-428.24953911	0.00211654
-428.21620577	0.00161103
-428.18287244	0.00093918
-428.14953910	0.00022674
-428.11620577	-0.00067891
-428.08287244	-0.00170914
-428.04953910	-0.00293933
-428.01620577	-0.00416089
-427.98287243	-0.00544492
-427.94953910	-0.00681602
-427.91620576	-0.00808025
-427.88287243	-0.00942043
-427.84953909	-0.01068973
-427.81620576	-0.01178605
-427.78287243	-0.01285389
-427.74953909	-0.01378226
-427.71620576	-0.01464806
-427.68287242	-0.01539930
-427.64953909	-0.01578261
-427.61620575	-0.01600592
-427.58287242	-0.01604137
-427.54953908	-0.01575410
-427.51620575	-0.01503562
-427.48287241	-0.01415213
-427.44953908	-0.01281780
-427.41620575	-0.01132526
-427.38287241	-0.00946726
-427.34953908	-0.00726862
-427.31620574	-0.00482755
-427.28287241	-0.00214945
-427.24953907	0.00061688
-427.21620574	0.00349204
-427.18287240	0.00628788
-427.14953907	0.00910580
-427.11620573	0.01161148
-427.08287240	0.01382302
-427.04953907	0.01555140
-427.01620573	0.01678907
-426.98287240	0.01741667
-426.94953906	0.01754068
-426.91620573	0.01712874
-426.88287239	0.01618473
-426.84953906	0.01483707
-426.81620572	0.01313842
-426.78287239	0.01122378
-426.74953906	0.00909733
-426.71620572	0.00699666
-426.68287239	0.00482436
-426.64953905	0.00297914
-426.61620572	0.00124820
-426.58287238	-0.00025616
-426.54953905	-0.00119830
-426.51620571	-0.00177365
-426.48287238	-0.00231879
-426.44953904	-0.00227476
-426.41620571	-0.00214478
-426.38287238	-0.00188226
-426.34953904	-0.00156189
-426.31620571	-0.00114447
-426.28287237	-0.00073016
