# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T16:18:56
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-433.81620597	0.00000000
-433.78287264	-0.00000004
-433.74953930	-0.00000012
-433.71620597	-0.00000030
-433.68287263	-0.00000033
-433.64953930	-0.00000049
-433.61620596	-0.00000073
-433.58287263	-0.00000053
-433.54953930	-0.00000109
-433.51620596	-0.00000102
-433.48287263	-0.00000090
-433.44953929	-0.00000090
-433.41620596	0.00000044
-433.38287262	0.00000044
-433.34953929	0.00000036
-433.31620595	0.00000083
-433.28287262	0.00000264
-433.24953929	0.00000092
-433.21620595	0.00000435
-433.18287262	0.00000499
-433.14953928	0.00000810
-433.11620595	0.00000671
-433.08287261	0.00000833
-433.04953928	0.00001393
-433.01620594	0.00001160
-432.98287261	0.00001670
-432.94953927	0.00001190
-432.91620594	0.00002004
-432.88287261	0.00001950
-432.84953927	0.00002105
-432.81620594	0.00001687
-432.78287260	0.00002126
-432.74953927	0.00001937
-432.71620593	0.00001928
-432.68287260	0.00002027
-432.64953926	0.00001466
-432.61620593	0.00002836
-432.58287259	0.00001161
-432.54953926	0.00001415
-432.51620593	0.00000446
-432.48287259	-0.00001433
-432.44953926	-0.00000813
-432.41620592	-0.00001312
-432.38287259	-0.00001373
-432.34953925	-0.00001488
-432.31620592	-0.00002772
-432.28287258	-0.00002700
-432.24953925	-0.00003915
-432.21620592	-0.00004132
-432.18287258	-0.00005227
-432.14953925	-0.00005651
-432.11620591	-0.00007862
-432.08287258	-0.00007604
-432.04953924	-0.00010216
-432.01620591	-0.00010434
-431.98287257	-0.00010262
-431.94953924	-0.00012449
-431.91620590	-0.00012712
-431.88287257	-0.00012243
-431.84953924	-0.00013271
-431.81620590	-0.00015408
-431.78287257	-0.00016210
-431.74953923	-0.00014524
-431.71620590	-0.00015896
-431.68287256	-0.00013911
-431.64953923	-0.00013370
-431.61620589	-0.00017601
-431.58287256	-0.00014599
-431.54953922	-0.00016106
-431.51620589	-0.00018324
-431.48287256	-0.00014073
-431.44953922	-0.00017872
-431.41620589	-0.00015532
-431.38287255	-0.00016639
-431.34953922	-0.00013755
-431.31620588	-0.00013763
-431.28287255	-0.00011456
-431.24953921	-0.00011947
-431.21620588	-0.00013273
-431.18287255	-0.00011278
-431.14953921	-0.00010068
-431.11620588	-0.00008086
-431.08287254	-0.00009072
-431.04953921	-0.00003699
-431.01620587	-0.00011641
-430.98287254	-0.00008877
-430.94953920	-0.00005666
-430.91620587	-0.00002838
-430.88287253	-0.00005104
-430.84953920	-0.00007939
-430.81620587	-0.00002108
-430.78287253	-0.00002473
-430.74953920	0.00000913
-430.71620586	-0.00001009
-430.68287253	0.00000373
-430.64953919	-0.00001087
-430.61620586	0.00000906
-430.58287252	0.00001841
-430.54953919	-0.00002059
-430.51620586	0.00001826
-430.48287252	-0.00001343
-430.44953919	-0.00000404
-430.41620585	0.00002701
-430.38287252	-0.00003380
-430.34953918	-0.00000855
-430.31620585	-0.00005169
-430.28287251	-0.00010964
-430.24953918	-0.00009592
-430.21620584	-0.00011230
-430.18287251	-0.00012520
-430.14953918	-0.00013846
-430.11620584	-0.00016299
-430.08287251	-0.00016989
-430.04953917	-0.00019986
-430.01620584	-0.00017971
-429.98287250	-0.00023890
-429.94953917	-0.00027469
-429.91620583	-0.00025755
-429.88287250	-0.00025098
-429.84953916	-0.00031464
-429.81620583	-0.00025369
-429.78287250	-0.00031198
-429.74953916	-0.00038865
-429.71620583	-0.00031784
-429.68287249	-0.00040488
-429.64953916	-0.00039758
-429.61620582	-0.00035329
-429.58287249	-0.00036763
-429.54953915	-0.00034468
-429.51620582	-0.00025823
-429.48287249	-0.00029738
-429.44953915	-0.00028295
-429.41620582	-0.00030076
-429.38287248	-0.00025727
-429.34953915	-0.00016593
-429.31620581	-0.00016330
-429.28287248	-0.00012500
-429.24953914	-0.00006195
-429.21620581	-0.00001598
-429.18287247	0.00003098
-429.14953914	0.00016785
-429.11620581	0.00010614
-429.08287247	0.00020370
-429.04953914	0.00037823
-429.01620580	0.00043022
-428.98287247	0.00049128
-428.94953913	0.00060015
-428.91620580	0.00070457
-428.88287246	0.00075361
-428.84953913	0.00097346
-428.81620580	0.00102675
-428.78287246	0.00115051
-428.74953913	0.00133771
-428.71620579	0.00146061
-428.68287246	0.00162792
-428.64953912	0.00172120
-428.61620579	0.00196340
-428.58287245	0.00215452
-428.54953912	0.00233764
-428.51620578	0.00247003
-428.48287245	0.00259939
-428.44953912	0.00272308
-428.41620578	0.00280783
-428.38287245	0.00284419
-428.34953911	0.00282297
-428.31620578	0.00267921
-428.28287244	0.00248752
-428.24953911	0.00219889
-428.21620577	0.00171439
-428.18287244	0.00105295
-428.14953910	0.00025121
-428.11620577	-0.00064880
-428.08287244	-0.00169350
-428.04953910	-0.00286194
-428.01620577	-0.00411283
-427.98287243	-0.00546541
-427.94953910	-0.00683329
-427.91620576	-0.00820398
-427.88287243	-0.00949358
-427.84953909	-0.01063512
-427.81620576	-0.01190869
-427.78287243	-0.01288126
-427.74953909	-0.01388524
-427.71620576	-0.01468843
-427.68287242	-0.01533857
-427.64953909	-0.01584309
-427.61620575	-0.01603750
-427.58287242	-0.01608595
-427.54953908	-0.01569573
-427.51620575	-0.01504437
-427.48287241	-0.01411943
-427.44953908	-0.01285916
-427.41620575	-0.01115819
-427.38287241	-0.00930600
-427.34953908	-0.00725795
-427.31620574	-0.00480035
-427.28287241	-0.00207588
-427.24953907	0.00066102
-427.21620574	0.00357902
-427.18287240	0.00645146
-427.14953907	0.00922888
-427.11620573	0.01179855
-427.08287240	0.01389617
-427.04953907	0.01570077
-427.01620573	0.01695244
-426.98287240	0.01756575
-426.94953906	0.01770860
-426.91620573	0.01728880
-426.88287239	0.01627823
-426.84953906	0.01488025
-426.81620572	0.01322234
-426.78287239	0.01125288
-426.74953906	0.00913571
-426.71620572	0.00695691
-426.68287239	0.00484276
-426.64953905	0.00297526
-426.61620572	0.00130689
-426.58287238	-0.00016170
-426.54953905	-0.00117794
-426.51620571	-0.00187644
-426.48287238	-0.00222021
-426.44953904	-0.00224722
-426.41620571	-0.00214241
-426.38287238	-0.00183848
-426.34953904	-0.00142192
-426.31620571	-0.00108497
-426.28287237	-0.00068685
-426.24953904	-0.00039655
-426.21620570	-0.00008995
-426.18287237	0.00012993
-426.14953903	0.00021005
-426.11620570	0.00021504
-426.08287237	0.00006198
-426.04953903	-0.00011674
-426.01620570	-0.00031711
-425.98287236	-0.00052848
-425.94953903	-0.00064757
-425.91620569	-0.00076732
-425.88287236	-0.00077918
-425.84953902	-0.00081803
-425.81620569	-0.00083942
-425.78287235	-0.00076799
-425.74953902	-0.00068475
-425.71620569	-0.00052577
-425.68287235	-0.00042978
-425.64953902	-0.00029848
-425.61620568	-0.00004323
-425.58287235	0.00014429
-425.54953901	0.00027916
-425.51620568	0.00039449
-425.48287234	0.00039104
-425.44953901	0.00044321
-425.41620567	0.00055160
-425.38287234	0.00054471
-425.34953901	0.00060300
-425.31620567	0.00048334
-425.28287234	0.00048979
-425.24953900	0.00033476
-425.21620567	0.00034566
-425.18287233	0.00027013
-425.14953900	0.00019378
-425.11620566	0.00008151
-425.08287233	0.00002978
-425.04953900	-0.00000702
-425.01620566	-0.00014780
-424.98287233	-0.00024142
-424.94953899	-0.00032160
-424.91620566	-0.00038686
-424.88287232	-0.00057297
-424.84953899	-0.00060483
-424.81620565	-0.00074013
-424.78287232	-0.00085805
-424.74953898	-0.00089098
-424.71620565	-0.00098407
-424.68287232	-0.00111478
-424.64953898	-0.00114885
-424.61620565	-0.00120717
-424.58287231	-0.00123589
-424.54953898	-0.00125955
-424.51620564	-0.00124750
-424.48287231	-0.00119960
-424.44953897	-0.00111659
-424.41620564	-0.00100863
-424.38287231	-0.00080374
-424.34953897	-0.00054449
-424.31620564	-0.00024194
-424.28287230	-0.00001085
-424.24953897	0.00026465
-424.21620563	0.00057102
-424.18287230	0.00088445
-424.14953896	0.00117876
-424.11620563	0.00141970
-424.08287229	0.00170522
-424.04953896	0.00177628
-424.01620563	0.00202154
-423.98287229	0.00203874
-423.94953896	0.00202877
-423.91620562	0.00197269
-423.88287229	0.00192716
-423.84953895	0.00173516
-423.81620562	0.00162983
-423.78287228	0.00131524
-423.74953895	0.00100471
-423.71620561	0.00065737
-423.68287228	0.00030051
-423.64953895	-0.00009379
-423.61620561	-0.00046629
-423.58287228	-0.00081625
-423.54953894	-0.00125847
-423.51620561	-0.00165574
-423.48287227	-0.00198585
-423.44953894	-0.00233069
-423.41620560	-0.00264214
-423.38287227	-0.00301059
-423.34953894	-0.00326342
-423.31620560	-0.00366479
-423.28287227	-0.00390473
-423.24953893	-0.00421224
-423.21620560	-0.00461199
-423.18287226	-0.00483459
-423.14953893	-0.00514504
-423.11620559	-0.00533770
-423.08287226	-0.00550078
-423.04953892	-0.00552286
-423.01620559	-0.00543280
-422.98287226	-0.00526099
-422.94953892	-0.00492863
-422.91620559	-0.00450090
-422.88287225	-0.00400789
-422.84953892	-0.00337686
-422.81620558	-0.00273444
-422.78287225	-0.00190839
-422.74953891	-0.00104464
-422.71620558	-0.00023464
-422.68287224	0.00053840
-422.64953891	0.00123278
-422.61620558	0.00177412
-422.58287224	0.00235117
-422.54953891	0.00275223
-422.51620557	0.00294486
-422.48287224	0.00301964
-422.44953890	0.00280171
-422.41620557	0.00271182
-422.38287223	0.00239464
-422.34953890	0.00206337
-422.31620557	0.00171575
-422.28287223	0.00131640
-422.24953890	0.00097376
-422.21620556	0.00062570
-422.18287223	0.00030398
-422.14953889	0.00007443
-422.11620556	-0.00010019
-422.08287222	-0.00029801
-422.04953889	-0.00044030
-422.01620555	-0.00053393
-421.98287222	-0.00060157
-421.94953889	-0.00064716
-421.91620555	-0.00063379
-421.88287222	-0.00065660
-421.84953888	-0.00063488
-421.81620555	-0.00062413
-421.78287221	-0.00059492
-421.74953888	-0.00059648
-421.71620554	-0.00045701
-421.68287221	-0.00041524
-421.64953888	-0.00044513
-421.61620554	-0.00031956
-421.58287221	-0.00021387
-421.54953887	-0.00015948
-421.51620554	-0.00009296
-421.48287220	-0.00000983
-421.44953887	0.00006712
-421.41620553	0.00014405
-421.38287220	0.00014671
-421.34953886	0.00018931
-421.31620553	0.00025053
-421.28287220	0.00022989
-421.24953886	0.00032391
-421.21620553	0.00038184
-421.18287219	0.00031527
-421.14953886	0.00027578
-421.11620552	0.00027226
-421.08287219	0.00026427
-421.04953885	0.00015478
-421.01620552	0.00015221
-420.98287218	0.00008068
-420.94953885	0.00002768
-420.91620552	0.00004410
-420.88287218	0.00004078
-420.84953885	0.00005963
-420.81620551	0.00003192
-420.78287218	0.00000368
-420.74953884	0.00001540
-420.71620551	0.00008717
-420.68287217	0.00001230
-420.64953884	0.00002828
-420.61620551	0.00008520
-420.58287217	0.00005177
-420.54953884	0.00000401
-420.51620550	0.00011283
-420.48287217	0.00013821
-420.44953883	0.00021624
-420.41620550	0.00026444
-420.38287216	0.00033226
-420.34953883	0.00035216
-420.31620549	0.00047085
-420.28287216	0.00053897
-420.24953883	0.00055704
-420.21620549	0.00061816
-420.18287216	0.00065560
-420.14953882	0.00071191
-420.11620549	0.00076504
-420.08287215	0.00082546
-420.04953882	0.00089121
-420.01620548	0.00102361
-419.98287215	0.00104530
-419.94953882	0.00112212
-419.91620548	0.00119323
-419.88287215	0.00126519
-419.84953881	0.00140091
-419.81620548	0.00141921
-419.78287214	0.00154056
-419.74953881	0.00163266
-419.71620547	0.00177462
-419.68287214	0.00191750
-419.64953880	0.00205065
-419.61620547	0.00207673
-419.58287214	0.00218726
-419.54953880	0.00235025
-419.51620547	0.00240347
-419.48287213	0.00255868
-419.44953880	0.00267799
-419.41620546	0.00287126
-419.38287213	0.00294011
-419.34953879	0.00312167
-419.31620546	0.00319400
-419.28287212	0.00329023
-419.24953879	0.00340265
-419.21620546	0.00334459
-419.18287212	0.00322246
-419.14953879	0.00318410
-419.11620545	0.00292683
-419.08287212	0.00250324
-419.04953878	0.00208279
-419.01620545	0.00154370
-418.98287211	0.00084538
-418.94953878	0.00003924
-418.91620545	-0.00069849
-418.88287211	-0.00146162
-418.84953878	-0.00212226
-418.81620544	-0.00270074
-418.78287211	-0.00319520
-418.74953877	-0.00337022
-418.71620544	-0.00356332
-418.68287210	-0.00350646
-418.64953877	-0.00354163
-418.61620543	-0.00350792
