# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T16:18:56
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-24.22716664
0.00732601	-31.86795492
0.01465201	-24.33986103
0.02197802	-26.71933068
0.02930403	-25.08722420
0.03663004	-24.83218491
0.04395604	-25.23845311
0.05128205	-26.19472474
0.05860806	-25.13274899
0.06593406	-25.36068269
0.07326007	-32.38615614
0.08058608	-22.64454045
0.08791208	-29.63509784
0.09523809	-21.81180904
0.10256410	-18.53117517
0.10989011	-24.49248175
0.11721611	-17.06722395
0.12454212	-16.06097429
0.13186813	-18.07032999
0.13919413	-14.59024479
0.14652014	-12.95609377
0.15384615	-14.51503990
0.16117216	-13.09649485
0.16849816	-11.17073048
0.17582417	-10.83699509
0.18315018	-11.67079718
0.19047618	-11.04983291
0.19780219	-7.90639514
0.20512820	-8.18825491
0.21245420	-10.22233019
0.21978021	-7.29772598
0.22710622	-5.61414113
0.23443223	-7.76793487
0.24175823	-7.65464771
0.24908424	-5.14768316
0.25641025	-7.10352717
0.26373625	-7.68639460
0.27106226	-5.88777814
0.27838827	-6.12222439
0.28571428	-7.49484944
0.29304028	-6.54780373
0.30036629	-5.29740166
0.30769230	-6.24585308
0.31501830	-6.03763684
0.32234431	-4.82822451
0.32967032	-4.25395222
0.33699633	-5.34847268
0.34432233	-4.45835607
0.35164834	-3.61922014
0.35897435	-4.33508277
0.36630035	-3.89377272
0.37362636	-3.41955762
0.38095237	-3.67403113
0.38827837	-3.32393555
0.39560438	-2.95970955
0.40293039	-3.08984423
0.41025640	-3.09151178
0.41758240	-2.72786923
0.42490841	-2.45527314
0.43223442	-2.50751093
0.43956042	-2.21687586
0.44688643	-1.79836387
0.45421244	-1.22000967
0.46153845	-1.26582787
0.46886445	-1.23159751
0.47619046	-0.76829267
0.48351647	-0.94230522
0.49084247	-1.04300488
0.49816848	-1.00869714
0.50549449	-1.33342706
0.51282049	-1.02514503
0.52014650	-1.39223428
0.52747251	-1.67881944
0.53479852	-0.92752274
0.54212452	-1.35143216
0.54945053	-0.94054458
0.55677654	-0.93109061
0.56410254	-0.99036892
0.57142855	-0.25277014
0.57875456	-0.19044653
0.58608057	-0.58993354
0.59340657	0.00000000
0.60073258	-0.41996803
0.60805859	-0.51329749
0.61538459	-0.25667716
0.62271060	-0.94407378
0.63003661	-0.40181165
0.63736261	-0.72742990
0.64468862	-1.06184591
0.65201463	-0.68374432
0.65934064	-0.81872877
0.66666664	-0.88689966
0.67399265	-0.64244714
0.68131866	-0.73934856
0.68864466	-0.55571411
0.69597067	-0.65257687
0.70329668	-0.73493656
0.71062269	-0.44872903
0.71794869	-0.88127188
0.72527470	-0.83027297
0.73260071	-1.21317452
0.73992671	-1.50396581
0.74725272	-1.71685624
0.75457873	-2.40723581
0.76190473	-1.97324882
0.76923074	-2.36926556
0.77655675	-2.33811834
0.78388276	-2.29643758
0.79120876	-2.43728931
0.79853477	-2.21396739
0.80586078	-2.51596714
0.81318678	-2.34810337
0.82051279	-2.42729990
0.82783880	-2.77061654
0.83516481	-2.63914506
0.84249081	-2.85268506
0.84981682	-2.96398702
0.85714283	-3.09150545
0.86446883	-3.53790426
0.87179484	-3.43320015
0.87912085	-3.90609551
0.88644686	-4.29866660
0.89377286	-4.14126330
0.90109887	-4.48139766
