# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -433.90000000 ps, Average over 3000 waveforms. Timestamp: 2024-05-07T16:14:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-23.89978858
0.00732601	-31.94793678
0.01465201	-24.30177740
0.02197802	-26.72211542
0.02930403	-25.08595699
0.03663004	-24.84442874
0.04395604	-25.27140523
0.05128205	-26.21225551
0.05860806	-25.18319408
0.06593406	-25.38290934
0.07326007	-32.41502687
0.08058608	-22.65454848
0.08791208	-29.63851506
0.09523809	-21.82648441
0.10256410	-18.53888927
0.10989011	-24.52458732
0.11721611	-17.07850307
0.12454212	-16.08070318
0.13186813	-18.08203221
0.13919413	-14.60529654
0.14652014	-12.97172311
0.15384615	-14.52746086
0.16117216	-13.10978043
0.16849816	-11.18018300
0.17582417	-10.84924174
0.18315018	-11.68330944
0.19047618	-11.06111403
0.19780219	-7.91739458
0.20512820	-8.19720929
0.21245420	-10.23508653
0.21978021	-7.30641221
0.22710622	-5.62324003
0.23443223	-7.77638014
0.24175823	-7.66705366
0.24908424	-5.15712745
0.25641025	-7.11339283
0.26373625	-7.69537037
0.27106226	-5.89451425
0.27838827	-6.13066907
0.28571428	-7.50184690
0.29304028	-6.55500115
0.30036629	-5.30546062
0.30769230	-6.25286163
0.31501830	-6.04607005
0.32234431	-4.83329285
0.32967032	-4.25988656
0.33699633	-5.35536896
0.34432233	-4.46356110
0.35164834	-3.62528501
0.35897435	-4.34077112
0.36630035	-3.89972482
0.37362636	-3.42557442
0.38095237	-3.68027035
0.38827837	-3.32955569
0.39560438	-2.96343015
0.40293039	-3.09333340
0.41025640	-3.09415060
0.41758240	-2.73050285
0.42490841	-2.45887070
0.43223442	-2.51007895
0.43956042	-2.22099276
0.44688643	-1.80214507
0.45421244	-1.22469046
0.46153845	-1.26864262
0.46886445	-1.23458701
0.47619046	-0.77196718
0.48351647	-0.94455204
0.49084247	-1.04666852
0.49816848	-1.01019622
0.50549449	-1.33626360
0.51282049	-1.02730543
0.52014650	-1.39418214
0.52747251	-1.68312221
0.53479852	-0.92653756
0.54212452	-1.36420472
0.54945053	-0.95781405
0.55677654	-1.04931091
0.56410254	-1.03305261
0.57142855	-0.26622809
0.57875456	-0.19311686
0.58608057	-0.59583195
0.59340657	0.00000000
0.60073258	-0.42243530
0.60805859	-0.51343660
0.61538459	-0.25726810
0.62271060	-0.94601793
0.63003661	-0.39939942
