# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -621.60000000 ps, Average over 2000 waveforms. Timestamp: 2023-06-15T11:47:19
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-621.54976695	0.00000000
-621.51643368	0.00000001
-621.48310042	0.00000003
-621.44976715	0.00000010
-621.41643388	0.00000017
-621.38310061	0.00000010
-621.34976735	0.00000004
-621.31643408	0.00000024
-621.28310081	0.00000052
-621.24976754	-0.00000015
-621.21643428	0.00000069
-621.18310101	-0.00000026
-621.14976774	0.00000009
-621.11643447	-0.00000079
-621.08310121	-0.00000086
-621.04976794	0.00000193
-621.01643467	-0.00000067
-620.98310140	-0.00000078
-620.94976814	-0.00000199
-620.91643487	-0.00000281
-620.88310160	-0.00000292
-620.84976833	-0.00000432
-620.81643507	-0.00000289
-620.78310180	-0.00000820
-620.74976853	-0.00000668
-620.71643526	-0.00000296
-620.68310200	-0.00000095
-620.64976873	0.00000188
-620.61643546	-0.00000045
-620.58310219	0.00000308
-620.54976893	0.00000581
-620.51643566	0.00001347
-620.48310239	0.00001418
-620.44976912	0.00002009
-620.41643586	0.00002034
-620.38310259	0.00002930
-620.34976932	0.00003354
-620.31643605	0.00004594
-620.28310279	0.00004383
-620.24976952	0.00006097
-620.21643625	0.00006944
-620.18310298	0.00009756
-620.14976972	0.00010107
-620.11643645	0.00010561
-620.08310318	0.00011941
-620.04976991	0.00013255
-620.01643665	0.00015828
-619.98310338	0.00017272
-619.94977011	0.00019103
-619.91643684	0.00020130
-619.88310358	0.00019413
-619.84977031	0.00022663
-619.81643704	0.00023125
-619.78310377	0.00023650
-619.74977051	0.00024631
-619.71643724	0.00026317
-619.68310397	0.00029284
-619.64977070	0.00031760
-619.61643744	0.00032310
-619.58310417	0.00031251
-619.54977090	0.00031802
-619.51643763	0.00033202
-619.48310437	0.00032406
-619.44977110	0.00029970
-619.41643783	0.00028933
-619.38310457	0.00026519
-619.34977130	0.00021060
-619.31643803	0.00021668
-619.28310476	0.00017423
-619.24977150	0.00012943
-619.21643823	0.00013577
-619.18310496	0.00008763
-619.14977169	0.00005569
-619.11643843	0.00004219
-619.08310516	-0.00003013
-619.04977189	-0.00004002
-619.01643862	-0.00008386
-618.98310536	-0.00006996
-618.94977209	-0.00006080
-618.91643882	-0.00012537
-618.88310555	-0.00013312
-618.84977229	-0.00015077
-618.81643902	-0.00017444
-618.78310575	-0.00018458
-618.74977248	-0.00020078
-618.71643922	-0.00017449
-618.68310595	-0.00017583
-618.64977268	-0.00014636
-618.61643941	-0.00017112
-618.58310615	-0.00017082
-618.54977288	-0.00012401
-618.51643961	-0.00017864
-618.48310634	-0.00020265
-618.44977308	-0.00017485
-618.41643981	-0.00017490
-618.38310654	-0.00019911
-618.34977327	-0.00016064
-618.31644001	-0.00017834
-618.28310674	-0.00018520
-618.24977347	-0.00009371
-618.21644020	-0.00011793
-618.18310694	-0.00011701
-618.14977367	-0.00001875
-618.11644040	-0.00004097
-618.08310713	-0.00002285
-618.04977387	0.00001752
-618.01644060	0.00008812
-617.98310733	0.00005844
-617.94977406	0.00015997
-617.91644080	0.00019584
-617.88310753	0.00018720
-617.84977426	0.00020122
-617.81644099	0.00026107
-617.78310773	0.00029738
-617.74977446	0.00030442
-617.71644119	0.00032631
-617.68310792	0.00035547
-617.64977466	0.00040885
-617.61644139	0.00045314
-617.58310812	0.00041777
-617.54977485	0.00035757
-617.51644159	0.00037964
-617.48310832	0.00043431
-617.44977505	0.00040979
-617.41644178	0.00042994
-617.38310852	0.00038884
-617.34977525	0.00035163
-617.31644198	0.00034367
-617.28310871	0.00032323
-617.24977545	0.00030363
-617.21644218	0.00024731
-617.18310891	0.00022914
-617.14977564	0.00022199
-617.11644238	0.00021413
-617.08310911	0.00016144
-617.04977584	0.00014120
-617.01644257	0.00008850
-616.98310931	0.00007511
-616.94977604	0.00005601
-616.91644277	-0.00007624
-616.88310950	-0.00006886
-616.84977624	-0.00013293
-616.81644297	-0.00012425
-616.78310970	-0.00013549
-616.74977643	-0.00012937
-616.71644317	-0.00016887
-616.68310990	-0.00020184
-616.64977663	-0.00022515
-616.61644336	-0.00027698
-616.58311010	-0.00027016
-616.54977683	-0.00025158
-616.51644356	-0.00027810
-616.48311029	-0.00027968
-616.44977703	-0.00032540
-616.41644376	-0.00035196
-616.38311049	-0.00036722
-616.34977722	-0.00034927
-616.31644396	-0.00040147
-616.28311069	-0.00036573
-616.24977742	-0.00036573
-616.21644415	-0.00032554
-616.18311089	-0.00031383
-616.14977762	-0.00028020
-616.11644435	-0.00021982
-616.08311108	-0.00024192
-616.04977782	-0.00017279
-616.01644455	-0.00007259
-615.98311128	-0.00012341
-615.94977801	0.00000614
-615.91644475	0.00006286
-615.88311148	0.00004026
-615.84977821	0.00016449
-615.81644494	0.00024757
-615.78311168	0.00030264
-615.74977841	0.00041603
-615.71644514	0.00052432
-615.68311187	0.00058948
-615.64977861	0.00078765
-615.61644534	0.00092479
-615.58311207	0.00101660
-615.54977880	0.00128394
-615.51644554	0.00144701
-615.48311227	0.00172433
-615.44977900	0.00195184
-615.41644573	0.00223830
-615.38311247	0.00242437
-615.34977920	0.00278359
-615.31644593	0.00305074
-615.28311266	0.00338385
-615.24977940	0.00369882
-615.21644613	0.00403521
-615.18311286	0.00428474
-615.14977959	0.00452857
-615.11644633	0.00481348
-615.08311306	0.00490920
-615.04977979	0.00484002
-615.01644652	0.00463710
-614.98311326	0.00408907
-614.94977999	0.00319916
-614.91644672	0.00196580
-614.88311345	0.00007749
-614.84978019	-0.00227133
-614.81644692	-0.00528623
-614.78311365	-0.00886901
-614.74978038	-0.01296775
-614.71644712	-0.01743570
-614.68311385	-0.02205104
-614.64978058	-0.02649614
-614.61644731	-0.03023052
-614.58311405	-0.03312696
