# Menlo Systems GmbH ScanControl, SI 380 mu meter
# Program Version 1.7.0+git.a90605a3
# Start: -621.60000000 ps, Average over 2000 waveforms. Timestamp: 2023-06-15T11:47:19
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.68499454
0.00732602	-13.36444150
0.01465204	-16.18364724
0.02197807	-14.96417552
0.02930409	-16.80888541
0.03663011	-16.20360466
0.04395613	-17.54193975
0.05128215	-17.22953215
0.05860817	-17.18103466
0.06593420	-17.64177384
0.07326022	-17.26470033
0.08058624	-17.10784295
0.08791226	-16.81980137
0.09523828	-16.05752992
0.10256431	-14.90736981
0.10989033	-15.69201554
0.11721635	-13.58277726
0.12454237	-13.07785374
0.13186839	-14.15992910
0.13919441	-13.59823315
0.14652044	-14.00257696
0.15384646	-15.11297580
0.16117248	-14.73267447
0.16849850	-14.22079869
0.17582452	-13.95265567
0.18315054	-14.25706630
0.19047657	-13.50868281
0.19780259	-11.57664755
0.20512861	-11.34519089
0.21245463	-10.84032996
0.21978065	-8.81113886
0.22710668	-7.68450619
0.23443270	-8.09099303
0.24175872	-8.26046570
0.24908474	-8.46319084
0.25641076	-10.03732242
0.26373678	-10.40451455
0.27106281	-10.45113072
0.27838883	-10.81974671
0.28571485	-11.45554851
0.29304087	-10.77311811
0.30036689	-10.23670833
0.30769292	-9.94656439
0.31501894	-9.24589114
0.32234496	-7.95575527
0.32967098	-6.50969261
0.33699700	-6.15933490
0.34432302	-5.46143369
0.35164905	-5.03713328
0.35897507	-6.03603439
0.36630109	-6.84305603
0.37362711	-7.38122762
0.38095313	-8.26908035
0.38827916	-8.46576029
0.39560518	-8.68484457
0.40293120	-8.88660896
0.41025722	-8.66399306
0.41758324	-8.26025881
0.42490926	-7.53808851
0.43223529	-6.69925789
0.43956131	-5.64337554
0.44688733	-4.36824493
0.45421335	-3.12007234
0.46153937	-2.92081964
0.46886539	-3.27937673
0.47619142	-3.71876375
0.48351744	-4.72031909
0.49084346	-5.56196258
0.49816948	-6.07883459
0.50549550	-6.84384272
0.51282153	-6.72089167
0.52014755	-6.85858902
0.52747357	-6.80254605
0.53479959	-5.87287719
0.54212561	-5.39495192
0.54945163	-4.32877511
0.55677766	-3.66418494
0.56410368	-2.15650508
0.57142970	-0.86664849
0.57875572	-0.59662114
0.58608174	-1.48777893
0.59340777	-2.13391947
0.60073379	-3.16089579
0.60805981	-4.15091936
0.61538583	-4.48552351
0.62271185	-5.31084799
0.63003787	-5.35277223
0.63736390	-5.30612528
0.64468992	-5.37784666
0.65201594	-4.50007431
0.65934196	-3.87853056
0.66666798	-2.94277129
0.67399401	-1.66701622
0.68132003	-0.83537362
0.68864605	-0.06363553
0.69597207	-0.22600416
0.70329809	-1.02391431
0.71062411	-1.80820729
0.71795014	-2.96252935
0.72527616	-3.58665602
0.73260218	-4.35796948
0.73992820	-4.83389906
0.74725422	-5.16995537
0.75458025	-5.69322458
0.76190627	-4.73252794
0.76923229	-4.39335340
0.77655831	-3.30465155
0.78388433	-2.33645190
0.79121035	-1.22341324
0.79853638	-0.13789197
0.80586240	0.00000000
0.81318842	-0.29177735
0.82051444	-1.17621010
0.82784046	-2.35218886
0.83516648	-3.04317068
0.84249251	-3.89140521
0.84981853	-4.46824207
0.85714455	-4.58414387
0.86447057	-4.93423575
0.87179659	-4.66663763
0.87912262	-4.35447147
0.88644864	-3.94452352
0.89377466	-2.93067440
0.90110068	-2.09039597
0.90842670	-1.05048565
0.91575272	-0.14404501
0.92307875	-0.25991118
0.93040477	-0.71344079
0.93773079	-1.53894451
0.94505681	-2.74533334
0.95238283	-3.26929051
0.95970886	-4.16754424
0.96703488	-4.74024317
0.97436090	-4.93755658
0.98168692	-5.64904160
0.98901294	-5.45642751
0.99633896	-5.26436943
1.00366499	-4.49943456
1.01099101	-3.44303301
