# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -624.70000000 ps, Average over 2000 waveforms. Timestamp: 2023-06-15T11:55:53
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-624.74976698	0.00000000
-624.71643365	0.00000004
-624.68310032	0.00000013
-624.64976698	0.00000028
-624.61643365	0.00000040
-624.58310031	0.00000063
-624.54976698	0.00000093
-624.51643365	0.00000106
-624.48310031	0.00000134
-624.44976698	0.00000114
-624.41643364	0.00000086
-624.38310031	0.00000100
-624.34976698	0.00000054
-624.31643364	-0.00000025
-624.28310031	0.00000014
-624.24976697	-0.00000311
-624.21643364	-0.00000393
-624.18310031	-0.00000420
-624.14976697	-0.00000655
-624.11643364	-0.00000847
-624.08310030	-0.00000888
-624.04976697	-0.00001193
-624.01643364	-0.00001131
-623.98310030	-0.00001333
-623.94976697	-0.00001533
-623.91643363	-0.00001196
-623.88310030	-0.00001238
-623.84976696	-0.00001289
-623.81643363	-0.00001408
-623.78310030	-0.00000931
-623.74976696	-0.00000671
-623.71643363	-0.00000054
-623.68310029	0.00000274
-623.64976696	0.00000230
-623.61643363	0.00001015
-623.58310029	0.00001476
-623.54976696	0.00002150
-623.51643362	0.00003403
-623.48310029	0.00003431
-623.44976696	0.00005319
-623.41643362	0.00005653
-623.38310029	0.00006794
-623.34976695	0.00007727
-623.31643362	0.00010199
-623.28310029	0.00012094
-623.24976695	0.00012049
-623.21643362	0.00012772
-623.18310028	0.00015240
-623.14976695	0.00017691
-623.11643362	0.00018069
-623.08310028	0.00020071
-623.04976695	0.00020550
-623.01643361	0.00022366
-622.98310028	0.00023532
-622.94976694	0.00025830
-622.91643361	0.00026733
-622.88310028	0.00028354
-622.84976694	0.00029071
-622.81643361	0.00032601
-622.78310027	0.00030217
-622.74976694	0.00030607
-622.71643361	0.00029159
-622.68310027	0.00029444
-622.64976694	0.00029891
-622.61643360	0.00028939
-622.58310027	0.00027029
-622.54976694	0.00024508
-622.51643360	0.00021821
-622.48310027	0.00021525
-622.44976693	0.00016184
-622.41643360	0.00014080
-622.38310027	0.00006632
-622.34976693	0.00002156
-622.31643360	-0.00000262
-622.28310026	-0.00004332
-622.24976693	-0.00009145
-622.21643360	-0.00011380
-622.18310026	-0.00016012
-622.14976693	-0.00021541
-622.11643359	-0.00023179
-622.08310026	-0.00028039
-622.04976692	-0.00030254
-622.01643359	-0.00037229
-621.98310026	-0.00036084
-621.94976692	-0.00039895
-621.91643359	-0.00041295
-621.88310025	-0.00041628
-621.84976692	-0.00044199
-621.81643359	-0.00046662
-621.78310025	-0.00053397
-621.74976692	-0.00049010
-621.71643358	-0.00051896
-621.68310025	-0.00049564
-621.64976692	-0.00054084
-621.61643358	-0.00051566
-621.58310025	-0.00049708
-621.54976691	-0.00052528
-621.51643358	-0.00049262
-621.48310025	-0.00050661
-621.44976691	-0.00047111
-621.41643358	-0.00049829
-621.38310024	-0.00045085
-621.34976691	-0.00041092
-621.31643358	-0.00037789
-621.28310024	-0.00036989
-621.24976691	-0.00031310
-621.21643357	-0.00026603
-621.18310024	-0.00020420
-621.14976690	-0.00020095
-621.11643357	-0.00016941
-621.08310024	-0.00012201
-621.04976690	-0.00011231
-621.01643357	-0.00006675
-620.98310023	-0.00002719
-620.94976690	-0.00000043
-620.91643357	0.00002690
-620.88310023	0.00000277
-620.84976690	-0.00001022
-620.81643356	0.00004323
-620.78310023	0.00008637
-620.74976690	0.00001544
-620.71643356	0.00008069
-620.68310023	0.00007379
-620.64976689	0.00001488
-620.61643356	0.00006377
-620.58310023	0.00007257
-620.54976689	0.00013742
-620.51643356	0.00013275
-620.48310022	0.00013102
-620.44976689	0.00011169
-620.41643356	0.00006968
-620.38310022	0.00006863
-620.34976689	0.00007261
-620.31643355	0.00005922
-620.28310022	0.00002035
-620.24976688	-0.00000337
-620.21643355	0.00001142
-620.18310022	-0.00000560
-620.14976688	-0.00001224
-620.11643355	-0.00003013
-620.08310021	-0.00010803
-620.04976688	-0.00009623
-620.01643355	-0.00016195
