# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -624.70000000 ps, Average over 2000 waveforms. Timestamp: 2023-06-15T11:55:53
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-18.77343066
0.00732601	-11.31209143
0.01465201	-13.93428892
0.02197802	-12.42134351
0.02930403	-14.01481918
0.03663004	-13.09891499
0.04395604	-14.13593514
0.05128205	-13.71386565
0.05860806	-13.60825205
0.06593406	-14.22936123
0.07326007	-13.98135422
0.08058608	-14.09694750
0.08791209	-14.10441388
0.09523809	-13.44259889
0.10256410	-12.90067189
0.10989011	-13.76602853
0.11721611	-12.36302328
0.12454212	-11.81074513
0.13186813	-12.43321206
0.13919414	-11.51621729
0.14652014	-11.24520810
0.15384615	-11.96657244
0.16117216	-11.22280539
0.16849816	-10.35791486
0.17582417	-10.01640171
0.18315018	-10.42238554
0.19047619	-9.75605482
0.19780219	-8.31443707
0.20512820	-8.75582168
0.21245421	-8.86561091
0.21978021	-7.75531177
0.22710622	-7.29901788
0.23443223	-7.62947503
0.24175824	-7.35346887
0.24908424	-6.76666451
0.25641025	-7.53530707
0.26373626	-7.31041273
0.27106227	-6.80269396
0.27838827	-6.83728850
0.28571428	-7.32653745
0.29304029	-6.61329091
0.30036629	-6.31078309
0.30769230	-6.39150047
0.31501831	-6.24793526
0.32234432	-5.71156716
0.32967032	-5.21732016
0.33699633	-5.65124705
0.34432234	-5.36143978
0.35164834	-4.77474360
0.35897435	-4.99614050
0.36630036	-4.93794220
0.37362637	-4.64391375
0.38095237	-4.85638269
0.38827838	-4.56117735
0.39560439	-4.48065769
0.40293039	-4.59398930
0.41025640	-4.47769297
0.41758241	-4.36360963
0.42490842	-4.15124209
0.43223442	-4.00388774
0.43956043	-3.82246550
0.44688644	-3.50131198
0.45421244	-3.05026009
0.46153845	-3.04086640
0.46886446	-2.90646809
0.47619047	-2.49638469
0.48351647	-2.51340621
0.49084248	-2.53330764
0.49816849	-2.39595270
0.50549449	-2.71551301
0.51282050	-2.39660661
0.52014651	-2.49832896
0.52747252	-2.65398691
0.53479852	-2.11501231
0.54212453	-2.27640132
0.54945054	-2.05560544
0.55677654	-2.65296387
0.56410255	-1.84620358
0.57142856	-1.13696099
0.57875457	-0.79191075
0.58608057	-1.00044896
0.59340658	-0.63513362
0.60073259	-0.69291925
0.60805859	-0.87112498
0.61538460	-0.59947968
0.62271061	-1.07402759
0.63003662	-0.93999283
0.63736262	-0.98185320
0.64468863	-1.31305977
0.65201464	-0.92904813
0.65934064	-1.03170544
0.66666665	-0.97031485
0.67399266	-0.73233369
0.68131867	-0.77856433
0.68864467	-0.45598509
0.69597068	-0.32452478
0.70329669	-0.23352128
0.71062269	-0.01694260
0.71794870	-0.19208599
0.72527471	-0.08231375
0.73260072	-0.32128604
0.73992672	-0.49309165
0.74725273	-0.88179076
0.75457874	-1.69779132
0.76190474	-0.84645767
0.76923075	-1.09973526
0.77655676	-0.75382960
0.78388277	-0.77938218
0.79120877	-0.66152824
0.79853478	-0.37536119
0.80586079	-0.43941506
0.81318680	-0.18456120
0.82051280	-0.10328510
0.82783881	-0.22749336
0.83516482	-0.01542081
0.84249082	-0.16964063
0.84981683	-0.28005273
0.85714284	-0.16781492
0.86446885	-0.52047526
0.87179485	-0.47184464
0.87912086	-0.61313867
0.88644687	-0.86475800
0.89377287	-0.71591157
0.90109888	-0.88466241
0.90842489	-0.82651964
0.91575090	-0.58802762
0.92307690	-0.63641038
0.93040291	-0.36283058
0.93772892	-0.14370428
0.94505492	-0.32457265
0.95238093	0.00000000
0.95970694	-0.27358284
0.96703295	-0.46224314
0.97435895	-0.51772202
0.98168496	-1.34510629
0.98901097	-1.61147832
0.99633697	-1.78535797
1.00366298	-1.71792099
1.01098899	-1.58622572
1.01831500	-2.01246333
1.02564100	-1.29917507
1.03296701	-1.62733744
1.04029302	-1.17187582
1.04761902	-1.00321767
1.05494503	-1.16521383
1.06227104	-0.73644215
1.06959705	-1.12296801
1.07692305	-1.07621846
1.08424906	-1.41557053
1.09157507	-2.50664909
1.09890107	-5.97985065
1.10622708	-2.67096021
1.11355309	-3.39206217
1.12087910	-2.42953636
1.12820510	-2.34094555
1.13553111	-2.19751196
1.14285712	-2.29767887
1.15018312	-2.70553116
1.15750913	-3.62089555
1.16483514	-6.52260875
1.17216115	-2.08759993
1.17948715	-1.66264152
1.18681316	-1.25550781
1.19413917	-1.49722883
1.20146517	-1.72052111
1.20879118	-3.21506212
1.21611719	-2.46204765
1.22344320	-2.80937604
1.23076920	-4.00165340
1.23809521	-3.11683542
1.24542122	-3.29410923
1.25274722	-3.06663526
1.26007323	-3.22923959
1.26739924	-2.93085406
1.27472525	-2.80506967
1.28205125	-2.75734601
1.28937726	-2.44401278
1.29670327	-2.65927037
1.30402928	-2.50451667
1.31135528	-2.64146471
1.31868129	-3.10396614
1.32600730	-2.99910801
1.33333330	-3.62230231
1.34065931	-3.52080603
1.34798532	-4.05909938
1.35531133	-4.33082063
1.36263733	-4.21329879
1.36996334	-4.86159131
1.37728935	-4.19958205
1.38461535	-4.64357484
1.39194136	-4.15680928
1.39926737	-4.24716747
1.40659338	-5.39294784
1.41391938	-7.05266864
1.42124539	-3.96667273
1.42857140	-3.83261077
1.43589740	-3.64115140
1.44322341	-4.13303740
1.45054942	-4.26735780
1.45787543	-4.76819889
1.46520143	-5.26219564
1.47252744	-5.46556985
1.47985345	-6.05198145
1.48717945	-5.81351612
1.49450546	-5.98026009
1.50183147	-5.73789442
1.50915748	-5.49614524
1.51648348	-5.40452362
1.52380949	-5.14927705
1.53113550	-5.24988820
1.53846150	-5.20887074
1.54578751	-5.49868910
1.55311352	-5.70067534
1.56043953	-6.27391745
1.56776553	-6.52163184
1.57509154	-7.29338705
1.58241755	-7.44956250
1.58974355	-8.09744557
1.59706956	-8.61487249
1.60439557	-10.07292312
1.61172158	-8.48956797
1.61904758	-8.20695878
1.62637359	-8.03741177
1.63369960	-8.10611640
1.64102560	-8.03208963
1.64835161	-8.57132936
1.65567762	-10.03976606
1.66300363	-15.04924311
1.67032963	-18.45440968
1.67765564	-12.28232543
1.68498165	-9.50917856
1.69230765	-9.55312112
1.69963366	-10.15716491
1.70695967	-10.97427636
1.71428568	-15.93808682
1.72161168	-16.48608418
1.72893769	-11.02112107
