 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 

90.0	6.00417e-10	-8.696903333333333e-06	1.7739483333333335e-06	8.870749166666667e-06	168.428
90.01	6.00483713e-10	-9.147353333333333e-06	1.8250149999999999e-06	9.306685833333334e-06	168.7215
90.02	6.005504259999999e-10	-8.88216e-06	1.7718491666666668e-06	9.031635833333334e-06	168.5655
90.03	6.00617139e-10	-8.242805e-06	1.6729724999999999e-06	8.426045833333335e-06	168.63049999999998
90.04	6.00683852e-10	-8.712659166666667e-06	1.8241616666666665e-06	8.938581666666665e-06	168.18699999999998
90.05	6.00750565e-10	-8.712813333333333e-06	1.9105408333333333e-06	8.920732500000001e-06	167.749
90.06	6.00817278e-10	-8.121026666666666e-06	1.7980825e-06	8.349438333333334e-06	167.42600000000002
90.07	6.008839909999999e-10	-8.753014999999998e-06	1.8313783333333331e-06	8.950767499999998e-06	168.191
90.08	6.00950704e-10	-8.164885e-06	1.8339391666666667e-06	8.355340833333333e-06	167.386
90.09	6.01017417e-10	-8.427441666666667e-06	1.6985058333333333e-06	8.5631825e-06	168.592
90.1	6.010841299999999e-10	-8.705364166666666e-06	2.0327808333333334e-06	8.947274166666665e-06	166.7445
90.11	6.01150843e-10	-8.653829999999999e-06	1.910231666666667e-06	8.864541666666666e-06	167.4865
90.12	6.01217556e-10	-8.486346666666666e-06	1.8567600000000001e-06	8.688367499999999e-06	167.72
90.13	6.01284269e-10	-8.707768333333334e-06	1.56626e-06	8.842189166666666e-06	169.741
90.14	6.01350982e-10	-8.413703333333333e-06	1.797305e-06	8.591044166666667e-06	167.822
90.15	6.01417695e-10	-8.569156666666667e-06	1.733201666666667e-06	8.7396675e-06	168.69549999999998
90.16	6.01484408e-10	-8.8040825e-06	1.6461208333333334e-06	8.938505000000001e-06	169.28900000000002
90.17	6.01551121e-10	-8.620611666666666e-06	1.6115858333333334e-06	8.775832499999999e-06	169.4615
90.18	6.01617834e-10	-8.483243333333333e-06	1.7709958333333336e-06	8.660659999999999e-06	168.159
90.19	6.01684547e-10	-8.651424166666667e-06	1.6754574999999999e-06	8.821311666666668e-06	169.06300000000002
90.2	6.017512599999999e-10	-8.635358333333332e-06	1.652797083333333e-06	8.823253333333334e-06	169.14
90.21	6.018179729999999e-10	-8.424569166666666e-06	1.9183791666666663e-06	8.654374166666667e-06	167.22650000000002
90.22	6.018846859999999e-10	-8.5434675e-06	1.7865958333333333e-06	8.723524166666668e-06	168.282
90.23	6.01951399e-10	-9.033965e-06	1.5765041666666667e-06	9.145569166666666e-06	170.104
90.24	6.020181119999999e-10	-8.390488333333332e-06	1.8406900000000002e-06	8.587006666666665e-06	167.5425
90.25	6.020848249999999e-10	-8.754178333333333e-06	1.92063e-06	8.963184166666667e-06	167.708
90.26	6.02151538e-10	-9.021081666666667e-06	2.0184208333333334e-06	9.271061666666666e-06	167.3955
90.27	6.022182509999999e-10	-9.187865833333333e-06	2.1316541666666664e-06	9.44949e-06	167.008
90.28	6.02284964e-10	-8.6024525e-06	1.6031266666666667e-06	8.749833333333334e-06	169.66549999999998
90.29	6.02351677e-10	-8.579940833333335e-06	1.6797266666666668e-06	8.763105833333332e-06	168.8305
90.3	6.024183899999999e-10	-8.951154166666667e-06	1.7979274999999998e-06	9.108082499999999e-06	168.6145
90.31	6.02485103e-10	-8.7814975e-06	1.7378558333333332e-06	8.932374166666667e-06	168.7915
90.32	6.025518159999999e-10	-8.364654166666667e-06	1.92063e-06	8.587629166666666e-06	167.0535
90.33	6.02618529e-10	-9.2508075e-06	1.9688275e-06	9.464546666666666e-06	167.9765
90.34	6.02685242e-10	-9.075408333333335e-06	1.991489166666667e-06	9.279139166666667e-06	167.47050000000002
90.35	6.027519549999999e-10	-8.574123333333334e-06	1.8136841666666664e-06	8.786076666666666e-06	168.10350000000003
90.36	6.02818668e-10	-8.9711e-06	1.762771666666667e-06	9.1086275e-06	168.9545
90.37	6.02885381e-10	-8.854760833333334e-06	1.9228041666666667e-06	9.090539166666667e-06	167.64800000000002
90.38	6.02952094e-10	-8.873544166666666e-06	2.0292083333333333e-06	9.080841666666666e-06	167.124
90.39	6.03018807e-10	-8.726860833333333e-06	1.5300158333333334e-06	8.84995e-06	170.02349999999998
90.4	6.0308552e-10	-8.581653333333334e-06	1.580385e-06	8.760545e-06	169.549
90.41	6.03152233e-10	-9.225815000000002e-06	1.5224891666666665e-06	9.359921666666667e-06	170.61499999999998
90.42	6.03218946e-10	-8.847235000000001e-06	1.8014975e-06	9.00618e-06	168.593
90.43	6.03285659e-10	-8.756508333333333e-06	1.8731341666666668e-06	8.963729166666666e-06	167.822
90.44	6.03352372e-10	-8.948518333333335e-06	1.97038e-06	9.122440833333335e-06	167.5785
90.45	6.03419085e-10	-8.795858333333333e-06	1.785355e-06	8.9724975e-06	168.516
90.46	6.03485798e-10	-8.527709166666668e-06	1.7546208333333333e-06	8.694029166666668e-06	168.25400000000002
90.47	6.03552511e-10	-8.8374575e-06	1.8798841666666665e-06	9.0236425e-06	167.891
90.48	6.036192239999999e-10	-9.409909999999998e-06	1.7439883333333334e-06	9.579482499999999e-06	169.48799999999997
90.49	6.03685937e-10	-8.988485833333334e-06	1.919390833333333e-06	9.187480833333333e-06	167.982
90.5	6.037526499999999e-10	-8.596860833333332e-06	1.92358e-06	8.843431666666667e-06	167.4725
90.51	6.03819363e-10	-8.712658333333332e-06	1.9189225e-06	8.941066666666666e-06	167.57399999999998
90.52	6.038860759999999e-10	-7.995605e-06	1.319226e-06	8.130879166666666e-06	170.846
90.53	6.039527889999999e-10	-8.744321666666666e-06	1.9415874999999997e-06	8.960778333333332e-06	167.4185
90.54	6.04019502e-10	-8.381729166666667e-06	1.8253265000000001e-06	8.582429166666667e-06	167.64249999999998
90.55	6.040862149999999e-10	-8.907538333333334e-06	1.8815149999999999e-06	9.110022499999999e-06	168.0335
90.56	6.04152928e-10	-8.551772500000001e-06	1.6130608333333333e-06	8.720109166666666e-06	169.31349999999998
90.57	6.042196409999999e-10	-8.747117500000001e-06	1.8243149999999998e-06	8.926706666666666e-06	168.0745
90.58	6.042863539999999e-10	-8.012058333333334e-06	1.6562091666666667e-06	8.220526666666666e-06	168.3655
90.59	6.04353067e-10	-8.98538e-06	1.860715e-06	9.1848375e-06	168.28799999999998
90.6	6.044197799999999e-10	-8.743546666666667e-06	2.2539683333333335e-06	9.029463333333334e-06	165.439
90.61	6.04486493e-10	-8.364651666666667e-06	1.8920691666666668e-06	8.555110000000001e-06	167.2805
90.62	6.04553206e-10	-8.642731666666667e-06	1.6836875000000003e-06	8.784293333333332e-06	168.8445
90.63	6.046199189999999e-10	-8.291623333333333e-06	2.1500516666666668e-06	8.571331666666666e-06	165.42600000000002
90.64	6.04686632e-10	-8.354175833333333e-06	1.9657241666666665e-06	8.609048333333335e-06	166.829
90.65	6.04753345e-10	-8.942851666666666e-06	1.8830683333333335e-06	9.151000833333334e-06	168.0435
90.66	6.04820058e-10	-8.515294166666666e-06	1.8321541666666666e-06	8.743236666666668e-06	167.9055
90.67	6.04886771e-10	-8.4872e-06	1.6132924999999998e-06	8.628915833333332e-06	169.215
90.68	6.04953484e-10	-8.308309999999999e-06	1.49470325e-06	8.46097e-06	169.795
90.69	6.05020197e-10	-8.749677499999999e-06	1.9065833333333332e-06	8.966289166666667e-06	167.74800000000002
90.7	6.0508691e-10	-9.003618333333335e-06	1.6652155833333336e-06	9.164660833333334e-06	169.64000000000001
90.71	6.05153623e-10	-8.870285e-06	1.8199700000000002e-06	9.088755833333333e-06	168.40650000000002
90.72	6.05220336e-10	-8.677266666666666e-06	1.6916020833333332e-06	8.932605833333335e-06	168.8725
90.73	6.05287049e-10	-8.609280833333334e-06	1.9404983333333334e-06	8.82403e-06	167.31550000000001
90.74	6.05353762e-10	-8.500155833333333e-06	1.9733291666666665e-06	8.688829166666666e-06	166.751
90.75	6.05420475e-10	-8.5100175e-06	1.5871358333333332e-06	8.646923333333333e-06	169.359
90.76	6.05487188e-10	-8.384051666666667e-06	2.0132183333333333e-06	8.643350000000001e-06	166.61
90.77	6.05553901e-10	-8.365273333333334e-06	1.8700275e-06	8.575676666666666e-06	167.31949999999998
90.78	6.056206139999999e-10	-9.252593333333332e-06	1.7964525e-06	9.384065e-06	168.99699999999999
90.79	6.05687327e-10	-8.628530000000001e-06	1.694085e-06	8.802452500000001e-06	168.8945
90.8	6.057540399999999e-10	-8.659806666666666e-06	1.7488e-06	8.849330833333333e-06	168.63049999999998
90.81	6.058207529999999e-10	-8.596164166666666e-06	1.5879116666666669e-06	8.7164625e-06	169.5515
90.82	6.058874659999999e-10	-7.970393333333333e-06	1.9027033333333334e-06	8.199733333333334e-06	166.5065
90.83	6.059541789999999e-10	-8.355960833333333e-06	1.7397191666666667e-06	8.530041666666668e-06	168.27999999999997
90.84	6.06020892e-10	-8.7209625e-06	1.9659558333333334e-06	8.920420833333334e-06	167.2035
90.85	6.060876049999999e-10	-8.337568333333334e-06	1.8278091666666667e-06	8.5059825e-06	167.686
90.86	6.061543179999999e-10	-8.521267499999999e-06	1.6732849999999997e-06	8.671526666666666e-06	168.78449999999998
90.87	6.06221031e-10	-8.223015833333333e-06	1.8358800000000002e-06	8.470514999999999e-06	167.46849999999998
90.88	6.062877439999999e-10	-8.626821666666667e-06	1.6236908333333332e-06	8.776686666666666e-06	169.2645
90.89	6.06354457e-10	-8.7737375e-06	1.8251691666666667e-06	8.928569166666666e-06	168.266
90.9	6.0642117e-10	-8.850883333333334e-06	1.6899708333333332e-06	8.987786666666665e-06	169.105
90.91	6.064878829999999e-10	-8.488598333333331e-06	1.7418941666666668e-06	8.643429166666667e-06	168.3105
