Time (s) 	 Position (mm) 	 Delay (ps) 	 X 	 Y 	 R 	 theta 

5.5174	108.5	723.83605	7.05724e-05	9.53682e-07	4.67303e-05	0.96
5.9815	108.51	723.9027629999999	-6.67575e-06	0.0	6.67575e-06	180.0
6.4135	108.52	723.9694759999999	-9.5368e-06	-1.43052e-06	9.05996e-06	-170.22
6.861	108.53	724.0361889999999	-1.1921e-05	-9.53682e-07	1.14442e-05	-176.82
7.2781	108.54	724.102902	-1.23978e-05	-9.53682e-07	1.23978e-05	-176.988
7.7084	108.55	724.1696149999999	-1.33515e-05	0.0	1.28747e-05	180.0
8.1257	108.56	724.236328	-1.04905e-05	0.0	9.5368e-06	180.0
8.5575	108.57	724.3030409999999	-9.05996e-06	-9.53682e-07	9.05996e-06	-175.914
8.9723	108.58	724.369754	-8.10629e-06	0.0	7.62945e-06	177.51
9.421	108.59	724.436467	-6.19891e-06	-9.53682e-07	5.72208e-06	-173.988
9.8516	108.6	724.5031799999999	-3.33787e-06	-4.76841e-07	2.86104e-06	-172.878
10.2835	108.61	724.569893	1.90736e-06	-4.76841e-07	2.3842e-06	0.0
10.7007	108.62	724.636606	4.29156e-06	-9.53682e-07	4.7684e-06	-8.13
11.1155	108.63	724.703319	5.72208e-06	0.0	6.19891e-06	0.0
11.5477	108.64	724.7700319999999	1.04905e-05	4.76841e-07	1.04905e-05	1.788
11.9631	108.65	724.836745	1.28747e-05	4.76841e-07	1.28747e-05	1.434
12.3958	108.66	724.9034579999999	1.62126e-05	9.53682e-07	1.62126e-05	2.292
12.8276	108.67	724.9701709999999	1.71663e-05	4.76841e-07	1.76431e-05	2.16
13.2589	108.68	725.036884	1.66894e-05	0.0	1.71663e-05	0.0
13.6752	108.69	725.1035969999999	1.95504e-05	0.0	1.90736e-05	0.99
14.0909	108.7	725.17031	1.81199e-05	0.0	1.81199e-05	1.044
14.5221	108.71	725.2370229999999	1.62126e-05	0.0	1.66894e-05	1.104
14.9547	108.72	725.303736	1.28747e-05	4.76841e-07	1.28747e-05	3.012
15.369	108.73	725.370449	8.10629e-06	-4.76841e-07	8.10629e-06	0.0
15.7852	108.74	725.437162	3.33787e-06	-9.53682e-07	3.33787e-06	-10.308
16.2173	108.75	725.503875	-2.86104e-06	-4.76841e-07	2.86104e-06	180.0
16.6497	108.76	725.570588	-1.00136e-05	0.0	1.00136e-05	178.152
17.0649	108.77	725.637301	-1.85968e-05	-4.76841e-07	1.85968e-05	-178.026
17.4965	108.78	725.7040139999999	-2.81335e-05	-1.43052e-06	2.76567e-05	-177.306
17.9453	108.79	725.770727	-3.52862e-05	-1.43052e-06	3.52862e-05	-178.38
18.3923	108.8	725.8374399999999	-4.48229e-05	-1.90736e-06	4.48229e-05	-177.882
18.8076	108.81	725.904153	-5.43597e-05	-2.3842e-06	5.43597e-05	-177.558
19.2407	108.82	725.9708659999999	-6.24661e-05	-2.3842e-06	6.19893e-05	-177.846
19.6722	108.83	726.0375789999999	-6.81882e-05	-2.3842e-06	6.81882e-05	-178.326
20.1365	108.84	726.104292	-7.20029e-05	-1.90736e-06	7.29566e-05	-178.428
20.5995	108.85	726.1710049999999	-7.72481e-05	-2.3842e-06	7.62944e-05	-178.506
21.031	108.86	726.237718	-7.91554e-05	-2.86104e-06	7.91554e-05	-178.326
21.4631	108.87	726.304431	-7.96323e-05	-2.3842e-06	7.86786e-05	-178.548
21.911	108.88	726.371144	-7.48639e-05	-1.90736e-06	7.39102e-05	-178.722
22.3274	108.89	726.437857	-6.81882e-05	-2.3842e-06	6.72345e-05	-178.296
22.7752	108.9	726.50457	-6.05586e-05	-2.3842e-06	6.00817e-05	-178.104
23.1898	108.91	726.5712829999999	-4.95913e-05	-1.43052e-06	4.76839e-05	-178.8
23.6222	108.92	726.6379959999999	-3.38557e-05	-1.43052e-06	3.2902e-05	-178.266
24.0696	108.93	726.704709	-1.66894e-05	-9.53682e-07	1.4782e-05	-177.396
24.501	108.94	726.7714219999999	2.86104e-06	0.0	3.81473e-06	0.0
24.9343	108.95	726.838135	2.43188e-05	9.53682e-07	2.57493e-05	1.452
25.3503	108.96	726.9048479999999	5.00681e-05	1.43052e-06	5.14986e-05	2.202
25.781	108.97	726.971561	7.58176e-05	1.90736e-06	7.72481e-05	1.47
26.2283	108.98	727.038274	0.000101567	2.86104e-06	0.00010252	1.842
26.6767	108.99	727.1049869999999	0.000125409	3.81473e-06	0.000127316	1.638
27.0922	109.0	727.1717	0.000150681	4.29156e-06	0.000152112	1.752
27.5563	109.01	727.238413	0.000174523	5.24524e-06	0.000175954	1.722
27.9722	109.02	727.305126	0.000195504	5.72208e-06	0.000196458	1.746
28.4047	109.03	727.3718389999999	0.00021124	5.24524e-06	0.00021267	1.608
28.8357	109.04	727.438552	0.000226022	6.67575e-06	0.000226975	1.764
29.2683	109.05	727.5052649999999	0.000233651	6.19891e-06	0.000235082	1.62
29.6841	109.06	727.571978	0.000237466	6.19891e-06	0.000237943	1.518
30.0992	109.07	727.6386909999999	0.000235082	6.19891e-06	0.000234605	1.542
30.5148	109.08	727.7054039999999	0.000224114	6.19891e-06	0.000223638	1.626
30.931	109.09	727.772117	0.000206471	5.72208e-06	0.000205995	1.578
31.3472	109.1	727.8388299999999	0.000184537	5.24524e-06	0.00018406	1.662
31.7941	109.11	727.905543	0.000155927	3.81473e-06	0.000154496	1.488
32.2266	109.12	727.972256	0.000116349	2.3842e-06	0.000114918	1.164
32.6588	109.13	728.038969	7.24797e-05	1.43052e-06	7.00955e-05	1.368
