# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -665.00000000 ps, Average over 5000 waveforms. Timestamp: 2024-04-09T10:58:40
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-665.01620028	0.00000000
-664.98286706	0.00000225
-664.94953385	0.00000708
-664.91620063	0.00001211
-664.88286741	0.00001584
-664.84953420	0.00001745
-664.81620098	0.00001652
-664.78286777	0.00001464
-664.74953455	0.00001072
-664.71620134	0.00000447
-664.68286812	0.00000140
-664.64953491	-0.00001004
-664.61620169	-0.00002074
-664.58286848	-0.00003826
-664.54953526	-0.00006156
-664.51620205	-0.00009285
-664.48286883	-0.00013744
-664.44953561	-0.00018539
-664.41620240	-0.00024877
-664.38286918	-0.00030870
-664.34953597	-0.00037579
-664.31620275	-0.00042789
-664.28286954	-0.00046760
-664.24953632	-0.00048303
-664.21620311	-0.00047111
-664.18286989	-0.00042604
-664.14953668	-0.00034135
-664.11620346	-0.00024994
-664.08287025	-0.00010854
-664.04953703	0.00003329
-664.01620381	0.00015657
-663.98287060	0.00026918
-663.94953738	0.00034916
-663.91620417	0.00037719
-663.88287095	0.00032407
-663.84953774	0.00020524
-663.81620452	-0.00000969
-663.78287131	-0.00026806
-663.74953809	-0.00058100
-663.71620488	-0.00095337
-663.68287166	-0.00135218
-663.64953844	-0.00171090
-663.61620523	-0.00205513
-663.58287201	-0.00229963
-663.54953880	-0.00247300
-663.51620558	-0.00252894
-663.48287237	-0.00248559
-663.44953915	-0.00227375
-663.41620594	-0.00202602
-663.38287272	-0.00165960
-663.34953951	-0.00125724
-663.31620629	-0.00078195
-663.28287308	-0.00037855
-663.24953986	-0.00000705
-663.21620664	0.00021683
-663.18287343	0.00043065
-663.14954021	0.00041505
-663.11620700	0.00032098
-663.08287378	0.00009140
-663.04954057	-0.00028553
-663.01620735	-0.00073516
-662.98287414	-0.00133000
-662.94954092	-0.00191090
-662.91620771	-0.00250150
-662.88287449	-0.00314101
-662.84954128	-0.00367710
-662.81620806	-0.00419054
-662.78287484	-0.00459864
