# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -665.00000000 ps, Average over 5000 waveforms. Timestamp: 2024-04-09T10:48:41
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-665.01620027	0.00000000
-664.98286716	0.00000109
-664.94953404	0.00000444
-664.91620093	0.00000929
-664.88286782	0.00001363
-664.84953471	0.00001471
-664.81620159	0.00000973
-664.78286848	-0.00000326
-664.74953537	-0.00002636
-664.71620225	-0.00005848
-664.68286914	-0.00009982
-664.64953603	-0.00014795
-664.61620292	-0.00019716
-664.58286980	-0.00024220
-664.54953669	-0.00027782
-664.51620358	-0.00029191
-664.48287046	-0.00027983
-664.44953735	-0.00023707
-664.41620424	-0.00016211
-664.38287113	-0.00006001
-664.34953801	0.00005896
-664.31620490	0.00018396
-664.28287179	0.00029843
-664.24953867	0.00039247
-664.21620556	0.00047087
-664.18287245	0.00050936
-664.14953934	0.00048938
-664.11620622	0.00043440
-664.08287311	0.00030837
-664.04954000	0.00015021
-664.01620688	-0.00005458
-663.98287377	-0.00029863
-663.94954066	-0.00054506
-663.91620755	-0.00078707
-663.88287443	-0.00102102
-663.84954132	-0.00120538
-663.81620821	-0.00137258
-663.78287509	-0.00151655
-663.74954198	-0.00160862
-663.71620887	-0.00164296
-663.68287576	-0.00161741
-663.64954264	-0.00151719
-663.61620953	-0.00134297
-663.58287642	-0.00106972
-663.54954331	-0.00078104
-663.51621019	-0.00042926
-663.48287708	-0.00007351
-663.44954397	0.00030418
-663.41621085	0.00071762
-663.38287774	0.00112911
-663.34954463	0.00152962
-663.31621152	0.00197708
-663.28287840	0.00236843
-663.24954529	0.00271316
-663.21621218	0.00292548
-663.18287906	0.00304749
-663.14954595	0.00299267
-663.11621284	0.00281433
-663.08287973	0.00247645
-663.04954661	0.00205192
-663.01621350	0.00160476
-662.98288039	0.00109997
-662.94954727	0.00051316
-662.91621416	0.00000400
-662.88288105	-0.00044549
-662.84954794	-0.00081989
-662.81621482	-0.00106526
-662.78288171	-0.00110483
-662.74954860	-0.00102821
-662.71621548	-0.00088281
-662.68288237	-0.00081913
-662.64954926	-0.00087785
-662.61621615	-0.00096980
-662.58288303	-0.00132375
-662.54954992	-0.00187039
-662.51621681	-0.00252193
-662.48288369	-0.00335958
-662.44955058	-0.00427612
-662.41621747	-0.00527604
-662.38288436	-0.00633780
-662.34955124	-0.00726872
-662.31621813	-0.00801055
-662.28288502	-0.00853847
-662.24955190	-0.00893985
-662.21621879	-0.00893447
-662.18288568	-0.00861787
-662.14955257	-0.00802327
-662.11621945	-0.00718798
-662.08288634	-0.00602701
-662.04955323	-0.00472501
-662.01622011	-0.00341675
-661.98288700	-0.00202578
-661.94955389	-0.00066845
-661.91622078	0.00052722
-661.88288766	0.00161868
-661.84955455	0.00237953
-661.81622144	0.00299638
-661.78288832	0.00329718
-661.74955521	0.00331558
-661.71622210	0.00319720
-661.68288899	0.00303281
-661.64955587	0.00281272
-661.61622276	0.00255949
-661.58288965	0.00235153
-661.54955653	0.00213614
-661.51622342	0.00185933
-661.48289031	0.00146459
-661.44955720	0.00106522
-661.41622408	0.00069048
-661.38289097	0.00033863
-661.34955786	0.00015072
-661.31622474	-0.00000452
-661.28289163	-0.00014388
-661.24955852	-0.00017580
-661.21622541	-0.00041895
-661.18289229	-0.00050727
-661.14955918	-0.00073799
-661.11622607	-0.00114909
-661.08289295	-0.00147835
-661.04955984	-0.00186842
-661.01622673	-0.00225303
-660.98289362	-0.00269061
-660.94956050	-0.00306846
-660.91622739	-0.00334991
-660.88289428	-0.00340715
-660.84956116	-0.00340322
-660.81622805	-0.00331437
-660.78289494	-0.00308835
-660.74956183	-0.00266199
-660.71622871	-0.00228095
-660.68289560	-0.00184971
-660.64956249	-0.00138964
-660.61622937	-0.00097829
-660.58289626	-0.00050909
-660.54956315	-0.00024235
-660.51623004	-0.00001623
-660.48289692	0.00008063
-660.44956381	0.00004923
-660.41623070	-0.00007119
-660.38289758	-0.00024262
-660.34956447	-0.00052399
-660.31623136	-0.00088003
-660.28289825	-0.00139483
-660.24956513	-0.00186176
-660.21623202	-0.00240649
-660.18289891	-0.00286790
-660.14956579	-0.00339798
-660.11623268	-0.00376831
-660.08289957	-0.00398840
-660.04956646	-0.00420707
-660.01623334	-0.00433809
-659.98290023	-0.00441953
-659.94956712	-0.00450738
-659.91623400	-0.00453355
-659.88290089	-0.00438491
-659.84956778	-0.00409836
-659.81623467	-0.00359993
-659.78290155	-0.00309707
-659.74956844	-0.00250734
-659.71623533	-0.00190230
-659.68290221	-0.00152346
-659.64956910	-0.00113762
-659.61623599	-0.00096004
-659.58290288	-0.00081221
-659.54956976	-0.00074781
-659.51623665	-0.00067928
-659.48290354	-0.00068686
-659.44957042	-0.00091691
-659.41623731	-0.00111814
-659.38290420	-0.00149677
-659.34957109	-0.00181117
-659.31623797	-0.00215711
-659.28290486	-0.00241715
-659.24957175	-0.00274686
-659.21623863	-0.00304099
-659.18290552	-0.00317028
-659.14957241	-0.00328844
-659.11623930	-0.00331576
-659.08290618	-0.00325825
-659.04957307	-0.00297134
-659.01623996	-0.00257268
-658.98290684	-0.00206951
-658.94957373	-0.00156386
-658.91624062	-0.00104953
-658.88290751	-0.00042778
-658.84957439	0.00011008
-658.81624128	0.00058828
-658.78290817	0.00097790
-658.74957505	0.00124182
-658.71624194	0.00128094
-658.68290883	0.00125312
-658.64957572	0.00101362
-658.61624260	0.00071490
-658.58290949	0.00036992
-658.54957638	-0.00001885
-658.51624326	-0.00044861
-658.48291015	-0.00104079
-658.44957704	-0.00159438
-658.41624393	-0.00219543
-658.38291081	-0.00285936
-658.34957770	-0.00346902
-658.31624459	-0.00420345
-658.28291147	-0.00488462
-658.24957836	-0.00554086
-658.21624525	-0.00615969
-658.18291214	-0.00674118
-658.14957902	-0.00748389
-658.11624591	-0.00820787
-658.08291280	-0.00894471
-658.04957968	-0.00980916
-658.01624657	-0.01083881
-657.98291346	-0.01208316
-657.94958035	-0.01349729
-657.91624723	-0.01521729
-657.88291412	-0.01710184
-657.84958101	-0.01891722
-657.81624789	-0.02055809
-657.78291478	-0.02177398
-657.74958167	-0.02235254
-657.71624856	-0.02201627
-657.68291544	-0.02070938
-657.64958233	-0.01841647
-657.61624922	-0.01520794
-657.58291610	-0.01129295
-657.54958299	-0.00696292
-657.51624988	-0.00242952
-657.48291677	0.00190898
-657.44958365	0.00584467
-657.41625054	0.00913536
-657.38291743	0.01163673
-657.34958431	0.01334663
-657.31625120	0.01417354
-657.28291809	0.01426231
-657.24958498	0.01379951
-657.21625186	0.01281349
-657.18291875	0.01151973
-657.14958564	0.01000856
-657.11625252	0.00845833
-657.08291941	0.00694729
-657.04958630	0.00548858
-657.01625319	0.00412696
-656.98292007	0.00297509
-656.94958696	0.00200611
-656.91625385	0.00122594
-656.88292073	0.00071818
-656.84958762	0.00052911
-656.81625451	0.00068064
-656.78292140	0.00108780
-656.74958828	0.00169144
-656.71625517	0.00257149
-656.68292206	0.00348987
-656.64958894	0.00453810
-656.61625583	0.00564155
-656.58292272	0.00663882
-656.54958961	0.00764442
-656.51625649	0.00858896
-656.48292338	0.00958518
-656.44959027	0.01041580
-656.41625715	0.01121168
-656.38292404	0.01204316
-656.34959093	0.01296362
-656.31625782	0.01402051
-656.28292470	0.01534805
-656.24959159	0.01708942
-656.21625848	0.01946392
-656.18292536	0.02224605
-656.14959225	0.02555692
-656.11625914	0.02945741
-656.08292603	0.03379457
-656.04959291	0.03838285
-656.01625980	0.04325552
-655.98292669	0.04817442
-655.94959357	0.05305216
-655.91626046	0.05788170
-655.88292735	0.06261240
-655.84959424	0.06721879
-655.81626112	0.07172075
-655.78292801	0.07629701
-655.74959490	0.08104262
-655.71626178	0.08626417
-655.68292867	0.09193179
-655.64959556	0.09831451
-655.61626245	0.10560121
-655.58292933	0.11377711
-655.54959622	0.12311647
-655.51626311	0.13349292
-655.48293000	0.14474180
-655.44959688	0.15707147
-655.41626377	0.17020304
-655.38293066	0.18424075
-655.34959754	0.19926719
-655.31626443	0.21534940
-655.28293132	0.23274618
-655.24959821	0.25161534
-655.21626509	0.27196346
-655.18293198	0.29385489
-655.14959887	0.31729590
-655.11626575	0.34229518
-655.08293264	0.36874704
-655.04959953	0.39661876
-655.01626642	0.42560351
-654.98293330	0.45521340
-654.94960019	0.48457298
-654.91626708	0.51222154
-654.88293396	0.53589356
-654.84960085	0.55262312
-654.81626774	0.55796031
-654.78293463	0.54600413
-654.74960151	0.50946665
-654.71626840	0.43919792
-654.68293529	0.32517763
-654.64960217	0.15693668
-654.61626906	-0.07526643
-654.58293595	-0.37871062
-654.54960284	-0.75662255
-654.51626972	-1.20676909
-654.48293661	-1.71963666
-654.44960350	-2.27800670
-654.41627038	-2.85429165
-654.38293727	-3.41089071
-654.34960416	-3.90102882
-654.31627105	-4.27483958
-654.28293793	-4.48676137
-654.24960482	-4.50548522
-654.21627171	-4.31994643
-654.18293859	-3.94106445
-654.14960548	-3.39915380
-654.11627237	-2.73753957
-654.08293926	-2.00502059
-654.04960614	-1.24834057
-654.01627303	-0.50796139
-653.98293992	0.18447498
-653.94960680	0.80481790
-653.91627369	1.33725612
-653.88294058	1.77079754
-653.84960747	2.10028200
-653.81627435	2.32633163
-653.78294124	2.45447436
-653.74960813	2.49374258
-653.71627501	2.45508557
-653.68294190	2.34985234
-653.64960879	2.18915890
-653.61627568	1.98454458
-653.58294256	1.74819429
-653.54960945	1.49351537
-653.51627634	1.23456741
-653.48294322	0.98517613
-653.44961011	0.75750266
-653.41627700	0.56128926
-653.38294389	0.40193686
-653.34961077	0.28054785
-653.31627766	0.19425652
-653.28294455	0.13668570
-653.24961143	0.09938885
-653.21627832	0.07355387
-653.18294521	0.05080009
-653.14961210	0.02416335
-653.11627898	-0.01196257
-653.08294587	-0.06116456
-653.04961276	-0.12529131
-653.01627964	-0.20335973
-652.98294653	-0.29132691
-652.94961342	-0.38176148
-652.91628031	-0.46437328
-652.88294719	-0.52688008
-652.84961408	-0.55765724
-652.81628097	-0.54729047
-652.78294785	-0.49048218
-652.74961474	-0.38803378
-652.71628163	-0.24636704
-652.68294852	-0.07657846
-652.64961540	0.10715308
-652.61628229	0.28998817
-652.58294918	0.45739612
-652.54961606	0.59621540
-652.51628295	0.69428931
-652.48294984	0.74179777
-652.44961673	0.73230144
-652.41628361	0.66437440
-652.38295050	0.54291717
-652.34961739	0.37930347
-652.31628427	0.18929414
-652.28295116	-0.00807732
-652.24961805	-0.19361644
-652.21628494	-0.35101312
-652.18295182	-0.46852128
-652.14961871	-0.54022428
-652.11628560	-0.56685760
-652.08295248	-0.55375652
-652.04961937	-0.50888559
-652.01628626	-0.44086199
-651.98295315	-0.35717393
-651.94962003	-0.26434804
-651.91628692	-0.16798114
-651.88295381	-0.07294069
-651.84962069	0.01628536
-651.81628758	0.09549121
-651.78295447	0.16157231
-651.74962136	0.21240819
-651.71628824	0.24748348
-651.68295513	0.26724680
-651.64962202	0.27269978
-651.61628890	0.26459209
-651.58295579	0.24357071
-651.54962268	0.21076678
-651.51628957	0.16879420
-651.48295645	0.12139845
-651.44962334	0.07279675
-651.41629023	0.02598078
-651.38295711	-0.01751074
-651.34962400	-0.05803492
-651.31629089	-0.09675845
-651.28295778	-0.13546648
-651.24962466	-0.17557333
-651.21629155	-0.21724537
-651.18295844	-0.25876076
-651.14962532	-0.29639982
-651.11629221	-0.32492562
-651.08295910	-0.33925062
-651.04962599	-0.33580982
-651.01629287	-0.31283597
-650.98295976	-0.27018951
-650.94962665	-0.20898459
-650.91629353	-0.13082297
-650.88296042	-0.03879222
-650.84962731	0.06311862
-650.81629420	0.16970156
-650.78296108	0.27449936
-650.74962797	0.36945920
-650.71629486	0.44558593
-650.68296174	0.49353318
-650.64962863	0.50586310
-650.61629552	0.47881672
-650.58296241	0.41347994
-650.54962929	0.31560270
-650.51629618	0.19447825
-650.48296307	0.06129463
-650.44962995	-0.07214130
-650.41629684	-0.19408774
-650.38296373	-0.29388154
-650.34963062	-0.36243089
-650.31629750	-0.39359878
-650.28296439	-0.38532737
-650.24963128	-0.34025517
-650.21629816	-0.26637350
-650.18296505	-0.17507800
-650.14963194	-0.07932719
-650.11629883	0.00879601
-650.08296571	0.08000380
-650.04963260	0.12857874
-650.01629949	0.15211479
-649.98296637	0.15110818
-649.94963326	0.12829864
-649.91630015	0.08843435
-649.88296704	0.03716289
-649.84963392	-0.01989284
-649.81630081	-0.07819026
-649.78296770	-0.13426412
-649.74963458	-0.18605103
-649.71630147	-0.23147981
-649.68296836	-0.26832717
-649.64963525	-0.29435115
-649.61630213	-0.30740939
-649.58296902	-0.30600006
-649.54963591	-0.28916616
-649.51630279	-0.25701099
-649.48296968	-0.21028398
-649.44963657	-0.15072840
-649.41630346	-0.08227154
-649.38297034	-0.01014116
-649.34963723	0.05853582
-649.31630412	0.11641418
-649.28297100	0.15751520
-649.24963789	0.17854127
-649.21630478	0.18038406
-649.18297167	0.16818156
-649.14963855	0.14975381
-649.11630544	0.13301444
-649.08297233	0.12347377
-649.04963921	0.12222547
-649.01630610	0.12623683
-648.98297299	0.13047224
-648.94963988	0.13072874
-648.91630676	0.12506841
-648.88297365	0.11398733
-648.84964054	0.09956126
-648.81630742	0.08422089
-648.78297431	0.07017054
-648.74964120	0.05934353
-648.71630809	0.05230853
-648.68297497	0.04878163
-648.64964186	0.04724263
-648.61630875	0.04500624
-648.58297563	0.03855904
-648.54964252	0.02481270
-648.51630941	0.00153147
-648.48297630	-0.03158577
-648.44964318	-0.07208988
-648.41631007	-0.11594135
-648.38297696	-0.15856759
-648.34964384	-0.19587243
-648.31631073	-0.22490155
-648.28297762	-0.24320814
-648.24964451	-0.24926544
-648.21631139	-0.24176464
-648.18297828	-0.22050457
-648.14964517	-0.18646594
-648.11631205	-0.14218027
-648.08297894	-0.09124892
-648.04964583	-0.03730643
-648.01631272	0.01596729
-647.98297960	0.06515966
-647.94964649	0.10778056
-647.91631338	0.14138025
-647.88298026	0.16400725
-647.84964715	0.17393789
-647.81631404	0.17010596
-647.78298093	0.15214836
-647.74964781	0.12095188
-647.71631470	0.08008212
-647.68298159	0.03483433
-647.64964847	-0.00799162
-647.61631536	-0.04146185
-647.58298225	-0.06095303
-647.54964914	-0.06510795
-647.51631602	-0.05651090
-647.48298291	-0.04037926
-647.44964980	-0.02253180
-647.41631668	-0.00680754
-647.38298357	0.00584009
-647.34965046	0.01711588
-647.31631735	0.02964264
-647.28298423	0.04565159
-647.24965112	0.06568454
-647.21631801	0.08834122
-647.18298490	0.11155699
-647.14965178	0.13262954
-647.11631867	0.14993033
-647.08298556	0.16241263
-647.04965244	0.16925708
-647.01631933	0.17011235
-646.98298622	0.16425611
-646.94965311	0.15155899
-646.91631999	0.13238742
-646.88298688	0.10763885
-646.84965377	0.07915289
-646.81632065	0.04921390
-646.78298754	0.02018238
-646.74965443	-0.00609585
-646.71632132	-0.02792013
-646.68298820	-0.04342143
-646.64965509	-0.05042879
-646.61632198	-0.04712821
-646.58298886	-0.03242240
-646.54965575	-0.00718243
-646.51632264	0.02591508
-646.48298953	0.06297811
-646.44965641	0.10024310
-646.41632330	0.13465029
-646.38299019	0.16431419
-646.34965707	0.18786265
-646.31632396	0.20470941
-646.28299085	0.21446997
-646.24965774	0.21737643
-646.21632462	0.21418079
-646.18299151	0.20574949
-646.14965840	0.19315517
-646.11632528	0.17737085
-646.08299217	0.15857093
-646.04965906	0.13562220
-646.01632595	0.10558810
-645.98299283	0.06448911
-645.94965972	0.00771063
-645.91632661	-0.06834579
-645.88299349	-0.16574982
-645.84966038	-0.28512514
-645.81632727	-0.42503921
-645.78299416	-0.58140832
-645.74966104	-0.74715518
-645.71632793	-0.91234496
