# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -665.00000000 ps, Average over 5000 waveforms. Timestamp: 2024-04-09T11:12:11
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-665.01620028	0.00000000
-664.98286695	0.00000154
-664.94953362	0.00000390
-664.91620028	0.00000470
-664.88286695	0.00000331
-664.84953362	-0.00000020
-664.81620029	-0.00000467
-664.78286695	-0.00000818
-664.74953362	-0.00000917
-664.71620029	-0.00000850
-664.68286696	-0.00000361
-664.64953362	0.00000435
-664.61620029	0.00001265
-664.58286696	0.00002019
-664.54953363	0.00002232
-664.51620029	0.00001617
-664.48286696	-0.00000085
-664.44953363	-0.00003237
-664.41620030	-0.00008271
-664.38286696	-0.00014578
-664.34953363	-0.00021127
-664.31620030	-0.00028084
-664.28286697	-0.00033435
-664.24953363	-0.00035818
-664.21620030	-0.00037480
-664.18286697	-0.00033215
-664.14953364	-0.00024875
-664.11620030	-0.00014349
-664.08286697	0.00001142
-664.04953364	0.00020006
-664.01620030	0.00040391
-663.98286697	0.00062705
-663.94953364	0.00082620
-663.91620031	0.00093477
-663.88286697	0.00097391
-663.84953364	0.00089679
-663.81620031	0.00071750
-663.78286698	0.00042540
-663.74953364	0.00005816
-663.71620031	-0.00035523
-663.68286698	-0.00079468
-663.64953365	-0.00126094
-663.61620031	-0.00168724
-663.58286698	-0.00206365
-663.54953365	-0.00234098
-663.51620032	-0.00251517
-663.48286698	-0.00259242
-663.44953365	-0.00246932
-663.41620032	-0.00220036
-663.38286699	-0.00175092
-663.34953365	-0.00128631
-663.31620032	-0.00072836
-663.28286699	-0.00019707
-663.24953366	0.00027023
-663.21620032	0.00057079
-663.18286699	0.00081708
-663.14953366	0.00084753
-663.11620033	0.00076270
-663.08286699	0.00046294
-663.04953366	0.00013371
-663.01620033	-0.00034911
-662.98286700	-0.00095257
-662.94953366	-0.00156098
-662.91620033	-0.00217927
-662.88286700	-0.00269106
-662.84953367	-0.00305172
-662.81620033	-0.00338650
-662.78286700	-0.00354075
-662.74953367	-0.00352090
-662.71620034	-0.00352103
-662.68286700	-0.00323780
-662.64953367	-0.00294032
-662.61620034	-0.00249052
-662.58286701	-0.00190040
-662.54953367	-0.00117967
-662.51620034	-0.00041559
-662.48286701	0.00040942
-662.44953368	0.00111133
-662.41620034	0.00185378
-662.38286701	0.00249037
-662.34953368	0.00311283
-662.31620035	0.00365916
-662.28286701	0.00419976
-662.24953368	0.00462345
-662.21620035	0.00505262
-662.18286702	0.00521636
-662.14953368	0.00530687
-662.11620035	0.00516130
-662.08286702	0.00492938
-662.04953369	0.00438641
-662.01620035	0.00379570
-661.98286702	0.00313713
-661.94953369	0.00240384
-661.91620036	0.00179911
-661.88286702	0.00117758
-661.84953369	0.00061244
-661.81620036	0.00035868
-661.78286703	0.00012779
-661.74953369	0.00022238
-661.71620036	0.00049872
-661.68286703	0.00089239
-661.64953369	0.00133041
-661.61620036	0.00166907
-661.58286703	0.00195589
-661.54953370	0.00202857
-661.51620036	0.00194190
-661.48286703	0.00167342
-661.44953370	0.00122055
-661.41620037	0.00068601
-661.38286703	-0.00000366
-661.34953370	-0.00073008
-661.31620037	-0.00149025
-661.28286704	-0.00210556
-661.24953370	-0.00263334
-661.21620037	-0.00301342
-661.18286704	-0.00300657
-661.14953371	-0.00287752
