# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -665.00000000 ps, Average over 5000 waveforms. Timestamp: 2024-04-09T11:21:05
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-665.01620028	0.00000000
-664.98286706	0.00000326
-664.94953385	0.00001294
-664.91620063	0.00002824
-664.88286742	0.00004788
-664.84953420	0.00007018
-664.81620099	0.00008992
-664.78286777	0.00010419
-664.74953456	0.00010576
-664.71620134	0.00008511
-664.68286812	0.00003649
-664.64953491	-0.00004891
-664.61620169	-0.00017207
-664.58286848	-0.00034081
-664.54953526	-0.00055030
-664.51620205	-0.00077753
-664.48286883	-0.00101826
-664.44953562	-0.00124801
-664.41620240	-0.00144451
-664.38286919	-0.00157187
-664.34953597	-0.00160947
-664.31620275	-0.00152697
-664.28286954	-0.00131091
-664.24953632	-0.00094134
-664.21620311	-0.00041432
-664.18286989	0.00026232
-664.14953668	0.00109125
-664.11620346	0.00202063
-664.08287025	0.00302074
-664.04953703	0.00403406
-664.01620382	0.00497602
-663.98287060	0.00585049
-663.94953739	0.00655450
-663.91620417	0.00704967
-663.88287095	0.00737136
-663.84953774	0.00743382
-663.81620452	0.00730500
-663.78287131	0.00696299
-663.74953809	0.00642235
-663.71620488	0.00581974
-663.68287166	0.00516098
-663.64953845	0.00449313
-663.61620523	0.00396002
-663.58287202	0.00351751
-663.54953880	0.00326477
-663.51620558	0.00315238
-663.48287237	0.00315427
-663.44953915	0.00329370
-663.41620594	0.00348858
-663.38287272	0.00370983
-663.34953951	0.00396676
-663.31620629	0.00423817
-663.28287308	0.00450150
-663.24953986	0.00462409
-663.21620665	0.00471078
-663.18287343	0.00468598
-663.14954022	0.00460247
-663.11620700	0.00439192
-663.08287378	0.00414788
-663.04954057	0.00388180
-663.01620735	0.00364719
-662.98287414	0.00354649
-662.94954092	0.00355302
-662.91620771	0.00376055
-662.88287449	0.00406988
-662.84954128	0.00455176
-662.81620806	0.00520484
-662.78287485	0.00585896
-662.74954163	0.00676686
-662.71620841	0.00752923
-662.68287520	0.00839967
-662.64954198	0.00910456
-662.61620877	0.00959956
-662.58287555	0.00983108
-662.54954234	0.00975236
-662.51620912	0.00934069
-662.48287591	0.00863930
-662.44954269	0.00780705
-662.41620948	0.00683926
-662.38287626	0.00583484
-662.34954305	0.00499863
-662.31620983	0.00413383
-662.28287661	0.00348261
-662.24954340	0.00305371
-662.21621018	0.00286902
-662.18287697	0.00301309
-662.14954375	0.00333761
-662.11621054	0.00411591
-662.08287732	0.00504026
-662.04954411	0.00622618
-662.01621089	0.00734413
-661.98287768	0.00843304
-661.94954446	0.00948065
-661.91621125	0.01016012
-661.88287803	0.01063274
-661.84954481	0.01088667
-661.81621160	0.01088019
-661.78287838	0.01057023
-661.74954517	0.01005745
-661.71621195	0.00925432
-661.68287874	0.00842074
-661.64954552	0.00755750
-661.61621231	0.00655691
-661.58287909	0.00568578
-661.54954588	0.00498925
-661.51621266	0.00436691
-661.48287944	0.00389514
-661.44954623	0.00356404
-661.41621301	0.00340418
-661.38287980	0.00331785
-661.34954658	0.00349574
-661.31621337	0.00376999
-661.28288015	0.00418792
-661.24954694	0.00475182
-661.21621372	0.00540933
-661.18288051	0.00610636
-661.14954729	0.00686990
-661.11621408	0.00751597
-661.08288086	0.00824562
-661.04954764	0.00891097
-661.01621443	0.00956453
-660.98288121	0.01012231
-660.94954800	0.01071633
-660.91621478	0.01122308
-660.88288157	0.01157701
-660.84954835	0.01176507
-660.81621514	0.01185267
-660.78288192	0.01171103
-660.74954871	0.01127680
-660.71621549	0.01071325
-660.68288227	0.01009335
-660.64954906	0.00933156
-660.61621584	0.00862281
-660.58288263	0.00796361
-660.54954941	0.00728247
-660.51621620	0.00671438
