# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -665.00000000 ps, Average over 5000 waveforms. Timestamp: 2024-04-09T10:53:15
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-665.01620027	0.00000000
-664.98286706	0.00000011
-664.94953384	0.00000191
-664.91620063	0.00000686
-664.88286741	0.00001502
-664.84953420	0.00002525
-664.81620098	0.00003651
-664.78286776	0.00004660
-664.74953455	0.00005475
-664.71620133	0.00006156
-664.68286812	0.00006705
-664.64953490	0.00007142
-664.61620169	0.00006871
-664.58286847	0.00006161
-664.54953526	0.00003853
-664.51620204	0.00000634
-664.48286883	-0.00002597
-664.44953561	-0.00006027
-664.41620240	-0.00009719
-664.38286918	-0.00012338
-664.34953597	-0.00014987
-664.31620275	-0.00018696
-664.28286953	-0.00023121
-664.24953632	-0.00029023
-664.21620310	-0.00038230
-664.18286989	-0.00047966
-664.14953667	-0.00059847
-664.11620346	-0.00075916
-664.08287024	-0.00092443
-664.04953703	-0.00110324
-664.01620381	-0.00128338
-663.98287060	-0.00144669
-663.94953738	-0.00156579
-663.91620417	-0.00162353
-663.88287095	-0.00162956
-663.84953774	-0.00159621
-663.81620452	-0.00153344
-663.78287130	-0.00142659
-663.74953809	-0.00130353
-663.71620487	-0.00114158
-663.68287166	-0.00093223
-663.64953844	-0.00075679
-663.61620523	-0.00065081
-663.58287201	-0.00057172
-663.54953880	-0.00051961
-663.51620558	-0.00058911
-663.48287237	-0.00068666
-663.44953915	-0.00086114
-663.41620594	-0.00109348
-663.38287272	-0.00141217
-663.34953951	-0.00182234
-663.31620629	-0.00226528
-663.28287308	-0.00271676
-663.24953986	-0.00321732
-663.21620664	-0.00365916
-663.18287343	-0.00402677
-663.14954021	-0.00433527
-663.11620700	-0.00458264
-663.08287378	-0.00478980
-663.04954057	-0.00503023
-663.01620735	-0.00518617
-662.98287414	-0.00525183
-662.94954092	-0.00520886
-662.91620771	-0.00495043
-662.88287449	-0.00458450
-662.84954128	-0.00404254
-662.81620806	-0.00353692
-662.78287485	-0.00301696
-662.74954163	-0.00261253
-662.71620841	-0.00230285
-662.68287520	-0.00213433
-662.64954198	-0.00202752
-662.61620877	-0.00194457
-662.58287555	-0.00202997
-662.54954234	-0.00218286
-662.51620912	-0.00249801
-662.48287591	-0.00287880
-662.44954269	-0.00333458
-662.41620948	-0.00385677
-662.38287626	-0.00445449
-662.34954305	-0.00490178
-662.31620983	-0.00537229
-662.28287662	-0.00584274
-662.24954340	-0.00615061
-662.21621019	-0.00643198
-662.18287697	-0.00656767
-662.14954375	-0.00645291
-662.11621054	-0.00621059
-662.08287732	-0.00577619
-662.04954411	-0.00526710
-662.01621089	-0.00465179
-661.98287768	-0.00397483
-661.94954446	-0.00338839
-661.91621125	-0.00271438
-661.88287803	-0.00224276
-661.84954482	-0.00189416
-661.81621160	-0.00172113
-661.78287839	-0.00176088
-661.74954517	-0.00199625
-661.71621196	-0.00236692
-661.68287874	-0.00277445
-661.64954552	-0.00317185
-661.61621231	-0.00348145
-661.58287909	-0.00384113
-661.54954588	-0.00401822
-661.51621266	-0.00412670
-661.48287945	-0.00407245
-661.44954623	-0.00383987
