# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:16:45
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-440.75049544	0.00000000
-440.71716211	0.00000003
-440.68382877	0.00000017
-440.65049544	0.00000051
-440.61716211	0.00000097
-440.58382878	0.00000151
-440.55049544	0.00000211
-440.51716211	0.00000230
-440.48382878	0.00000210
-440.45049545	0.00000161
-440.41716211	0.00000046
-440.38382878	-0.00000102
-440.35049545	-0.00000361
-440.31716211	-0.00000623
-440.28382878	-0.00000937
-440.25049545	-0.00001282
-440.21716212	-0.00001502
-440.18382878	-0.00001808
-440.15049545	-0.00002033
-440.11716212	-0.00002051
-440.08382879	-0.00002063
-440.05049545	-0.00001917
-440.01716212	-0.00001590
-439.98382879	-0.00001094
-439.95049546	-0.00000438
-439.91716212	0.00000355
-439.88382879	0.00001314
-439.85049546	0.00002238
-439.81716213	0.00003029
-439.78382879	0.00003880
-439.75049546	0.00005147
-439.71716213	0.00005981
-439.68382880	0.00006984
-439.65049546	0.00007734
-439.61716213	0.00008679
-439.58382880	0.00009188
-439.55049547	0.00009849
-439.51716213	0.00009716
-439.48382880	0.00009293
-439.45049547	0.00007942
-439.41716214	0.00006489
-439.38382880	0.00004272
-439.35049547	0.00002236
-439.31716214	0.00000417
-439.28382881	-0.00001852
-439.25049547	-0.00003049
-439.21716214	-0.00003645
-439.18382881	-0.00003760
-439.15049548	-0.00004487
-439.11716214	-0.00003236
-439.08382881	-0.00002272
-439.05049548	-0.00002126
-439.01716214	-0.00002481
-438.98382881	-0.00003013
-438.95049548	-0.00004478
-438.91716215	-0.00007588
-438.88382881	-0.00013132
-438.85049548	-0.00018739
-438.81716215	-0.00024581
-438.78382882	-0.00029990
-438.75049548	-0.00035114
-438.71716215	-0.00040915
-438.68382882	-0.00044951
-438.65049549	-0.00047301
-438.61716215	-0.00046651
-438.58382882	-0.00045773
-438.55049549	-0.00041202
-438.51716216	-0.00037463
-438.48382882	-0.00030685
-438.45049549	-0.00021671
-438.41716216	-0.00012060
-438.38382883	-0.00001196
-438.35049549	0.00009363
-438.31716216	0.00018202
-438.28382883	0.00027175
-438.25049550	0.00035840
-438.21716216	0.00039261
-438.18382883	0.00042088
-438.15049550	0.00043667
-438.11716217	0.00042897
-438.08382883	0.00039111
-438.05049550	0.00035307
-438.01716217	0.00032517
-437.98382884	0.00027990
-437.95049550	0.00024768
-437.91716217	0.00026554
-437.88382884	0.00022990
-437.85049550	0.00024025
-437.81716217	0.00018656
-437.78382884	0.00017894
-437.75049551	0.00014919
-437.71716217	0.00010755
-437.68382884	0.00008492
