# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:16:45
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-32.18643775
0.00366256	-20.90809357
0.00732511	-16.76475628
0.01098767	-20.30989849
0.01465023	-19.20632058
0.01831278	-19.80242095
0.02197534	-19.45123487
0.02563790	-20.30914381
0.02930045	-20.66541313
0.03296301	-20.25430547
0.03662557	-20.31050981
0.04028812	-20.55447408
0.04395068	-20.81056832
0.04761324	-20.87287481
0.05127579	-20.48610385
0.05493835	-21.42675253
0.05860090	-21.05782372
0.06226346	-21.03736728
0.06592602	-21.13612920
0.06958857	-21.21983777
0.07325113	-21.27083174
0.07691369	-21.59024817
0.08057624	-21.64413216
0.08423880	-21.05162101
0.08790136	-21.55954181
0.09156391	-22.57918850
0.09522647	-21.30072868
0.09888903	-21.31981009
0.10255158	-21.65794079
0.10621414	-20.13802918
0.10987670	-21.46216328
0.11353925	-23.70227015
0.11720181	-20.05538488
0.12086437	-20.19450280
0.12452692	-21.80481883
0.12818948	-19.53429124
0.13185204	-21.17576601
0.13551459	-20.67269312
0.13917715	-18.51036989
0.14283971	-19.33635301
0.14650226	-18.41703421
0.15016482	-17.74046397
0.15382738	-19.38824319
0.15748993	-18.73418951
0.16115249	-17.95497521
0.16481504	-20.63766147
0.16847760	-17.26335995
0.17214016	-17.17315983
0.17580271	-18.84077890
0.17946527	-17.36356347
0.18312783	-17.19593809
0.18679038	-19.98000368
0.19045294	-17.25077301
0.19411550	-17.10728544
0.19777805	-18.66491578
0.20144061	-14.31866897
0.20510317	-17.67403857
0.20876572	-17.08346219
0.21242828	-15.57645449
0.21609084	-17.92506646
0.21975339	-15.36653626
0.22341595	-12.76602182
0.22707851	-15.12607690
0.23074106	-12.50924009
0.23440362	-11.91223118
0.23806618	-16.96846269
0.24172873	-11.86085118
0.24539129	-12.33296549
0.24905385	-11.70349404
0.25271640	-9.99481432
0.25637896	-10.26445162
0.26004151	-12.27173523
0.26370407	-9.37206406
0.26736663	-10.78884712
0.27102918	-9.22414069
0.27469174	-6.37767682
0.27835430	-10.59942150
0.28201685	-8.40665656
0.28567941	-9.89304392
0.28934197	-9.90940984
0.29300452	-9.21807614
0.29666708	-9.76958857
0.30032964	-10.14378406
0.30399219	-8.91913169
0.30765475	-11.91639879
0.31131731	-10.33595073
0.31497986	-10.91542832
0.31864242	-11.35544799
0.32230498	-9.92271398
0.32596753	-10.58347472
0.32963009	-10.25258389
0.33329265	-10.94945725
0.33695520	-10.30471378
0.34061776	-11.82192468
0.34428032	-10.37417848
0.34794287	-9.66910543
0.35160543	-10.22678324
0.35526799	-9.04101888
0.35893054	-9.85010953
0.36259310	-9.48113105
0.36625565	-8.87722567
0.36991821	-8.73118385
0.37358077	-8.17238112
0.37724332	-7.56711323
0.38090588	-7.91581443
0.38456844	-6.80064424
0.38823099	-6.56001178
0.39189355	-5.60209635
0.39555611	-5.35562775
0.39921866	-5.52246050
0.40288122	-4.44683626
0.40654378	-4.98671288
0.41020633	-4.00402259
0.41386889	-4.51591213
0.41753145	-4.28007100
0.42119400	-4.80194363
0.42485656	-4.52441437
0.42851912	-5.78753136
0.43218167	-4.72549714
0.43584423	-6.51851656
0.43950679	-5.61141468
0.44316934	-6.54341786
0.44683190	-6.47524294
0.45049446	-6.22688595
0.45415701	-6.84470403
0.45781957	-6.45976300
0.46148213	-7.14118936
0.46514468	-7.07309719
0.46880724	-7.04020485
0.47246979	-7.19807491
0.47613235	-6.64709805
0.47979491	-6.86626268
0.48345746	-6.70413422
0.48712002	-6.75959368
0.49078258	-6.58652098
0.49444513	-6.53412744
0.49810769	-5.77480472
0.50177025	-6.48532687
0.50543280	-5.39349983
0.50909536	-5.83833950
0.51275792	-4.56791030
0.51642047	-4.54134544
0.52008303	-4.13862961
0.52374559	-3.87437818
0.52740814	-3.79945603
0.53107070	-2.58824911
0.53473326	-2.13365347
0.53839581	-1.95916333
0.54205837	-1.92307763
0.54572093	-1.85662117
0.54938348	-2.55588212
0.55304604	-3.26360382
0.55670860	-7.58918217
0.56037115	-5.59462579
0.56403371	-3.88136879
0.56769627	-3.28179570
0.57135882	-3.22818069
0.57502138	-3.42529853
0.57868393	-3.26539142
0.58234649	-4.26337319
0.58600905	-4.23267802
0.58967160	-4.50967152
0.59333416	-4.59793784
0.59699672	-4.63443399
0.60065927	-4.74728332
0.60432183	-5.51533395
0.60798439	-5.18784843
0.61164694	-5.28789697
0.61530950	-4.92561757
0.61897206	-5.47847842
0.62263461	-5.70962425
0.62629717	-5.35544884
0.62995973	-5.28555517
0.63362228	-4.58054061
0.63728484	-4.95268908
0.64094740	-4.40567706
0.64460995	-4.85527514
0.64827251	-3.57759118
0.65193507	-3.57113166
0.65559762	-2.54814735
0.65926018	-2.59081552
0.66292274	-2.13177169
0.66658529	-1.57334423
0.67024785	-0.70045883
0.67391040	-0.71756388
0.67757296	-0.05880388
0.68123552	-0.40809656
0.68489807	-0.17308220
0.68856063	-0.10842610
0.69222319	-0.16643000
0.69588574	-0.75033157
0.69954830	-1.14020549
0.70321086	-1.52907168
0.70687341	-1.81264044
0.71053597	-2.20032342
0.71419853	-2.71710549
0.71786108	-3.43334099
0.72152364	-3.57686561
0.72518620	-4.01058807
0.72884875	-4.12016733
0.73251131	-4.85520474
0.73617387	-5.05260691
0.73983642	-5.27196937
0.74349898	-5.81967145
0.74716154	-6.25985069
0.75082409	-8.80854282
0.75448665	-9.27703790
0.75814921	-6.70528974
0.76181176	-5.94841766
0.76547432	-5.81744874
0.76913688	-5.32465599
0.77279943	-5.63499330
0.77646199	-4.43303584
0.78012454	-4.76213436
0.78378710	-3.90003495
0.78744966	-3.81397917
0.79111221	-3.40182969
0.79477477	-2.34918550
0.79843733	-2.32649251
0.80209988	-1.60700049
0.80576244	-1.26600387
0.80942500	-0.95397885
0.81308755	-0.28783543
0.81675011	-0.35831294
0.82041267	0.00000000
0.82407522	-0.54284846
0.82773778	-0.60008045
0.83140034	-0.85047440
0.83506289	-1.30822345
0.83872545	-1.45419612
0.84238801	-2.32800233
0.84605056	-2.89427722
0.84971312	-3.19477637
0.85337568	-3.73005183
0.85703823	-3.89154273
0.86070079	-4.67048538
0.86436335	-5.04643479
0.86802590	-5.28712375
0.87168846	-5.60018565
0.87535102	-5.50828038
0.87901357	-6.24085733
0.88267613	-6.03309776
0.88633868	-6.47802056
0.89000124	-6.21446376
0.89366380	-6.17584382
0.89732635	-5.91564054
0.90098891	-6.05113321
0.90465147	-5.96364965
0.90831402	-5.59707184
0.91197658	-5.18050533
0.91563914	-4.74121816
0.91930169	-4.56568925
0.92296425	-3.88967437
0.92662681	-3.74556821
0.93028936	-2.75295526
0.93395192	-2.43114819
0.93761448	-1.88790160
0.94127703	-1.57818177
0.94493959	-1.30081502
0.94860215	-1.04124475
0.95226470	-0.56197778
0.95592726	-0.66309921
0.95958982	-0.98889953
0.96325237	-1.53756804
0.96691493	-1.69407714
0.97057749	-2.20157973
0.97424004	-2.67687277
0.97790260	-3.60988292
0.98156515	-4.75019373
0.98522771	-5.76292651
0.98889027	-8.18022910
0.99255282	-6.67638825
0.99621538	-6.68171250
0.99987794	-7.01998124
1.00354049	-6.86295796
1.00720305	-6.85373673
1.01086561	-7.34409638
1.01452816	-7.70187032
1.01819072	-7.97016921
1.02185328	-7.37539975
1.02551583	-7.36244824
1.02917839	-7.15196579
1.03284095	-7.58306274
1.03650350	-7.20944172
1.04016606	-6.77738225
1.04382862	-6.29271165
1.04749117	-6.04965323
1.05115373	-6.02818973
1.05481629	-5.62933817
1.05847884	-5.13379841
1.06214140	-4.40377786
1.06580396	-4.32046639
1.06946651	-3.92994108
1.07312907	-3.90931550
1.07679163	-3.49896343
1.08045418	-3.13848885
1.08411674	-3.33108141
1.08777929	-4.19391647
1.09144185	-6.26169665
1.09510441	-12.91651948
1.09876696	-24.29621643
1.10242952	-11.63817064
1.10609208	-7.69426105
1.10975463	-7.76639525
1.11341719	-11.37877131
1.11707975	-9.69428312
1.12074230	-7.93806200
1.12440486	-7.25102507
1.12806742	-7.83944972
1.13172997	-7.41645166
1.13539253	-7.91573702
1.13905509	-8.55808458
1.14271764	-8.89583211
1.14638020	-9.29787213
1.15004276	-10.53092346
1.15370531	-13.59678018
1.15736787	-14.29071122
1.16103043	-21.49984560
1.16469298	-28.91005799
1.16835554	-15.79914247
1.17201810	-10.39098636
1.17568065	-9.02268670
1.17934321	-7.83129962
1.18300577	-7.64358573
1.18666832	-6.89524948
1.19033088	-6.83389571
1.19399343	-6.28169236
1.19765599	-6.50876350
1.20131855	-6.42373144
1.20498110	-8.02955230
1.20864366	-11.98720915
1.21230622	-8.21956668
1.21596877	-5.60157735
1.21963133	-5.28810532
1.22329389	-5.44418040
1.22695644	-7.34975576
1.23061900	-10.90102727
1.23428156	-6.69166868
1.23794411	-6.08420699
1.24160667	-5.97262715
1.24526923	-6.26328738
1.24893178	-6.76936962
1.25259434	-7.25844250
1.25625690	-7.50922331
1.25991945	-8.24983680
1.26358201	-8.29354790
1.26724457	-8.70407111
1.27090712	-8.72005389
1.27456968	-9.29631671
1.27823224	-9.33281554
1.28189479	-9.46262744
1.28555735	-9.48145246
1.28921991	-9.37333648
1.29288246	-9.37937172
1.29654502	-9.80932502
1.30020757	-9.50685336
1.30387013	-9.51075904
1.30753269	-9.24888857
1.31119524	-9.06532828
1.31485780	-9.67964325
1.31852036	-9.13385881
1.32218291	-9.58950395
1.32584547	-8.90301267
1.32950803	-8.59199503
1.33317058	-8.73323375
1.33683314	-8.06232487
1.34049570	-7.79527426
1.34415825	-7.45110757
1.34782081	-7.28578455
1.35148337	-7.64967488
1.35514592	-6.80316910
1.35880848	-6.74896971
1.36247104	-6.76753245
1.36613359	-6.94108532
1.36979615	-7.66955797
1.37345871	-7.25226370
1.37712126	-7.62234850
1.38078382	-8.11573380
1.38444638	-8.75271238
1.38810893	-9.29995005
1.39177149	-9.28238048
1.39543404	-9.85226702
1.39909660	-10.79672217
1.40275916	-12.07442673
1.40642171	-14.95677675
1.41008427	-23.61820639
1.41374683	-24.37575234
1.41740938	-15.27958290
1.42107194	-12.77213562
1.42473450	-12.29326533
1.42839705	-11.61571833
1.43205961	-11.65653344
1.43572217	-11.73149104
1.43938472	-11.70069036
1.44304728	-11.96790781
1.44670984	-11.75721016
1.45037239	-11.79898246
1.45403495	-11.63327025
1.45769751	-11.53785535
1.46136006	-11.85646407
1.46502262	-11.29885377
1.46868518	-11.28432059
1.47234773	-11.00241599
1.47601029	-10.84984653
1.47967285	-10.64227123
1.48333540	-10.14690711
1.48699796	-9.72754797
1.49066052	-9.64181351
1.49432307	-9.38114237
1.49798563	-9.15334043
1.50164818	-9.10281757
1.50531074	-8.97018863
1.50897330	-9.33820079
1.51263585	-9.54907221
1.51629841	-9.86343029
1.51996097	-10.18437658
1.52362352	-10.46058455
1.52728608	-11.07901288
1.53094864	-11.57946449
1.53461119	-11.62499730
1.53827375	-12.35899925
1.54193631	-12.53199306
1.54559886	-13.25603383
1.54926142	-13.28247395
1.55292398	-13.60214637
1.55658653	-14.24086487
1.56024909	-14.54698283
1.56391165	-14.92354531
1.56757420	-15.13402857
1.57123676	-15.36601450
1.57489932	-16.27417406
1.57856187	-15.92848924
1.58222443	-16.30588366
1.58588699	-16.25743040
1.58954954	-16.51193173
1.59321210	-17.14796010
1.59687466	-17.47681911
1.60053721	-20.08438743
1.60419977	-24.12626348
1.60786232	-18.10569769
1.61152488	-15.98197564
1.61518744	-14.57696434
1.61884999	-14.04255358
1.62251255	-13.45745687
1.62617511	-13.22855911
1.62983766	-13.08522127
1.63350022	-12.78069233
1.63716278	-12.94699116
1.64082533	-13.34545154
1.64448789	-14.19424175
1.64815045	-15.48060623
1.65181300	-17.04911568
1.65547556	-20.69295659
1.65913812	-29.98784409
1.66280067	-40.30930810
1.66646323	-41.14900873
1.67012579	-38.00736359
1.67378834	-38.53318287
1.67745090	-34.29765823
1.68111346	-24.29316496
1.68477601	-21.38835290
1.68843857	-20.50966082
1.69210113	-20.27664288
1.69576368	-20.67668178
1.69942624	-21.14019980
1.70308880	-22.11352706
1.70675135	-23.83219075
1.71041391	-28.15080616
1.71407646	-48.40438625
1.71773902	-40.09682882
1.72140158	-42.81475842
1.72506413	-32.57338542
1.72872669	-24.37331550
1.73238925	-21.63048137
1.73605180	-20.04996604
1.73971436	-19.07948771
1.74337692	-18.10772450
1.74703947	-17.45596347
1.75070203	-16.87730784
1.75436459	-16.58729765
1.75802714	-16.43634562
1.76168970	-17.72674366
1.76535226	-18.65499995
1.76901481	-16.37713213
1.77267737	-15.73755205
1.77633993	-15.67115171
1.78000248	-16.04244872
1.78366504	-16.58083345
1.78732760	-17.56556999
1.79099015	-18.95687233
1.79465271	-22.87689195
1.79831527	-27.04254008
1.80197782	-23.33503245
1.80564038	-21.16150329
1.80930293	-20.94641885
1.81296549	-21.09636098
1.81662805	-21.52708848
1.82029060	-21.83077663
1.82395316	-22.11788275
1.82761572	-22.41102090
1.83127827	-22.57552987
1.83494083	-22.75043673
1.83860339	-22.74379846
1.84226594	-22.87048766
1.84592850	-22.91460606
1.84959106	-22.95188700
1.85325361	-23.03094785
1.85691617	-23.15326181
1.86057873	-23.79491087
1.86424128	-26.13755783
1.86790384	-34.25536460
1.87156640	-34.55994095
1.87522895	-25.34713798
1.87889151	-22.26050220
1.88255407	-21.03721533
