# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:22:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-440.75061748	0.00000000
-440.71728413	-0.00000000
-440.68395078	-0.00000000
-440.65061743	0.00000001
-440.61728408	-0.00000001
-440.58395073	-0.00000007
-440.55061738	-0.00000012
-440.51728403	-0.00000003
-440.48395069	0.00000005
-440.45061734	-0.00000028
-440.41728399	-0.00000013
-440.38395064	-0.00000037
-440.35061729	-0.00000034
-440.31728394	-0.00000012
-440.28395059	-0.00000037
-440.25061724	-0.00000018
-440.21728389	0.00000007
-440.18395054	0.00000015
-440.15061719	-0.00000021
-440.11728384	-0.00000006
-440.08395049	0.00000020
-440.05061714	-0.00000016
-440.01728379	0.00000107
-439.98395044	-0.00000005
-439.95061709	0.00000121
-439.91728374	0.00000440
-439.88395039	0.00000174
-439.85061704	0.00000338
-439.81728369	0.00000531
-439.78395034	0.00000500
-439.75061700	0.00000778
-439.71728365	0.00000948
-439.68395030	0.00000722
-439.65061695	0.00001051
-439.61728360	0.00001308
-439.58395025	0.00001457
-439.55061690	0.00002025
-439.51728355	0.00002413
-439.48395020	0.00002743
-439.45061685	0.00003331
-439.41728350	0.00003743
-439.38395015	0.00004479
-439.35061680	0.00005507
-439.31728345	0.00006037
-439.28395010	0.00006958
-439.25061675	0.00008233
-439.21728340	0.00009143
-439.18395005	0.00010102
-439.15061670	0.00011404
-439.11728335	0.00013155
-439.08395000	0.00014751
-439.05061665	0.00015358
-439.01728331	0.00017012
-438.98394996	0.00016881
-438.95061661	0.00017768
-438.91728326	0.00018422
-438.88394991	0.00017312
-438.85061656	0.00015288
-438.81728321	0.00013477
-438.78394986	0.00009607
-438.75061651	0.00005026
-438.71728316	-0.00001746
-438.68394981	-0.00010840
-438.65061646	-0.00019958
-438.61728311	-0.00032599
-438.58394976	-0.00044952
-438.55061641	-0.00061993
-438.51728306	-0.00080145
-438.48394971	-0.00097628
-438.45061636	-0.00116033
-438.41728301	-0.00132529
-438.38394966	-0.00149397
-438.35061631	-0.00164645
-438.31728296	-0.00172905
-438.28394962	-0.00178869
-438.25061627	-0.00177814
-438.21728292	-0.00169541
-438.18394957	-0.00155452
-438.15061622	-0.00133587
-438.11728287	-0.00103054
-438.08394952	-0.00067489
-438.05061617	-0.00024055
-438.01728282	0.00020915
-437.98394947	0.00069412
-437.95061612	0.00117499
-437.91728277	0.00162372
-437.88394942	0.00202259
-437.85061607	0.00235685
-437.81728272	0.00259204
-437.78394937	0.00272093
-437.75061602	0.00273790
-437.71728267	0.00266693
-437.68394932	0.00245860
-437.65061597	0.00218706
-437.61728262	0.00183534
-437.58394927	0.00146436
-437.55061593	0.00104927
-437.51728258	0.00060762
-437.48394923	0.00022310
-437.45061588	-0.00011555
-437.41728253	-0.00040512
-437.38394918	-0.00062017
-437.35061583	-0.00075682
-437.31728248	-0.00079957
-437.28394913	-0.00083785
-437.25061578	-0.00074577
-437.21728243	-0.00059854
-437.18394908	-0.00048857
-437.15061573	-0.00033849
-437.11728238	-0.00017213
-437.08394903	-0.00002767
-437.05061568	0.00010116
-437.01728233	0.00015973
-436.98394898	0.00020547
-436.95061563	0.00017404
-436.91728228	0.00016357
-436.88394893	0.00007940
-436.85061558	0.00001877
-436.81728224	-0.00007636
-436.78394889	-0.00010984
-436.75061554	-0.00013425
-436.71728219	-0.00015915
-436.68394884	-0.00009886
-436.65061549	-0.00003614
-436.61728214	0.00003265
-436.58394879	0.00013386
-436.55061544	0.00021508
-436.51728209	0.00029220
-436.48394874	0.00034523
-436.45061539	0.00036940
-436.41728204	0.00039706
-436.38394869	0.00041202
-436.35061534	0.00034165
-436.31728199	0.00026498
-436.28394864	0.00022306
-436.25061529	0.00017063
-436.21728194	0.00004281
-436.18394859	-0.00009665
-436.15061524	-0.00024491
-436.11728189	-0.00033971
-436.08394855	-0.00043889
-436.05061520	-0.00053120
-436.01728185	-0.00051076
-435.98394850	-0.00041364
-435.95061515	-0.00030554
-435.91728180	-0.00013910
-435.88394845	0.00002125
-435.85061510	0.00020558
-435.81728175	0.00037827
-435.78394840	0.00055372
-435.75061505	0.00072505
-435.71728170	0.00083008
-435.68394835	0.00085576
-435.65061500	0.00083921
-435.61728165	0.00070122
-435.58394830	0.00059010
-435.55061495	0.00039811
-435.51728160	0.00019030
-435.48394825	-0.00006141
-435.45061490	-0.00022735
-435.41728155	-0.00047307
-435.38394820	-0.00067291
-435.35061486	-0.00085544
-435.31728151	-0.00093176
-435.28394816	-0.00099390
-435.25061481	-0.00102742
-435.21728146	-0.00098788
-435.18394811	-0.00086666
-435.15061476	-0.00068803
-435.11728141	-0.00048027
-435.08394806	-0.00019719
-435.05061471	0.00003470
-435.01728136	0.00031284
-434.98394801	0.00063694
-434.95061466	0.00085503
-434.91728131	0.00112876
-434.88394796	0.00139254
-434.85061461	0.00164718
-434.81728126	0.00180249
-434.78394791	0.00188328
-434.75061456	0.00199865
-434.71728121	0.00208734
-434.68394786	0.00207080
-434.65061451	0.00204153
-434.61728117	0.00197265
-434.58394782	0.00184856
-434.55061447	0.00172187
-434.51728112	0.00149013
-434.48394777	0.00118831
-434.45061442	0.00091913
-434.41728107	0.00083311
-434.38394772	0.00051079
-434.35061437	0.00026502
-434.31728102	0.00011452
-434.28394767	-0.00006889
-434.25061432	-0.00020468
-434.21728097	-0.00036089
-434.18394762	-0.00046447
-434.15061427	-0.00055394
-434.11728092	-0.00073047
-434.08394757	-0.00090578
-434.05061422	-0.00105478
-434.01728087	-0.00126097
-433.98394752	-0.00144916
-433.95061417	-0.00173714
-433.91728082	-0.00187392
-433.88394748	-0.00213925
-433.85061413	-0.00245338
-433.81728078	-0.00262289
-433.78394743	-0.00276578
-433.75061408	-0.00291689
-433.71728073	-0.00290287
-433.68394738	-0.00273949
-433.65061403	-0.00255600
-433.61728068	-0.00214896
-433.58394733	-0.00153867
-433.55061398	-0.00102072
-433.51728063	-0.00039376
-433.48394728	0.00022276
-433.45061393	0.00089861
-433.41728058	0.00144371
-433.38394723	0.00185264
-433.35061388	0.00216189
-433.31728053	0.00243863
-433.28394718	0.00252877
-433.25061383	0.00246759
-433.21728048	0.00237033
-433.18394713	0.00219798
-433.15061379	0.00194428
-433.11728044	0.00159492
-433.08394709	0.00135787
-433.05061374	0.00109740
-433.01728039	0.00067419
-432.98394704	0.00038267
-432.95061369	0.00005882
-432.91728034	-0.00014216
-432.88394699	-0.00043745
-432.85061364	-0.00061247
-432.81728029	-0.00084741
-432.78394694	-0.00083723
-432.75061359	-0.00102067
-432.71728024	-0.00110779
-432.68394689	-0.00127327
-432.65061354	-0.00131116
-432.61728019	-0.00132094
-432.58394684	-0.00149256
-432.55061349	-0.00148148
-432.51728014	-0.00154294
-432.48394679	-0.00166077
-432.45061344	-0.00158271
-432.41728010	-0.00164416
-432.38394675	-0.00158740
-432.35061340	-0.00153385
-432.31728005	-0.00126867
-432.28394670	-0.00113057
-432.25061335	-0.00100849
-432.21728000	-0.00081534
-432.18394665	-0.00062893
-432.15061330	-0.00049343
-432.11727995	-0.00027290
-432.08394660	-0.00026963
-432.05061325	-0.00026187
-432.01727990	-0.00021528
-431.98394655	-0.00003888
-431.95061320	0.00006168
-431.91727985	0.00013769
-431.88394650	-0.00001735
-431.85061315	-0.00008070
-431.81727980	-0.00016962
-431.78394645	-0.00029066
-431.75061310	-0.00044860
-431.71727975	-0.00048392
-431.68394641	-0.00065246
-431.65061306	-0.00088487
-431.61727971	-0.00090533
-431.58394636	-0.00099824
-431.55061301	-0.00092794
-431.51727966	-0.00102228
-431.48394631	-0.00086217
-431.45061296	-0.00069569
-431.41727961	-0.00063036
-431.38394626	-0.00059144
-431.35061291	-0.00046001
-431.31727956	-0.00039882
-431.28394621	-0.00037035
-431.25061286	-0.00030621
-431.21727951	-0.00020629
-431.18394616	-0.00001424
-431.15061281	0.00007932
-431.11727946	0.00014168
-431.08394611	0.00010101
-431.05061276	0.00021400
-431.01727941	0.00017562
-430.98394606	-0.00000048
-430.95061271	-0.00019686
-430.91727937	-0.00037104
-430.88394602	-0.00068937
-430.85061267	-0.00084094
-430.81727932	-0.00117776
-430.78394597	-0.00124542
-430.75061262	-0.00147747
-430.71727927	-0.00157657
-430.68394592	-0.00163606
-430.65061257	-0.00175989
-430.61727922	-0.00174836
-430.58394587	-0.00168675
-430.55061252	-0.00154090
-430.51727917	-0.00125278
-430.48394582	-0.00112140
-430.45061247	-0.00087305
-430.41727912	-0.00063633
-430.38394577	-0.00048482
-430.35061242	-0.00037117
-430.31727907	-0.00020654
-430.28394572	0.00002574
-430.25061237	-0.00011442
-430.21727902	-0.00008353
-430.18394568	-0.00010142
-430.15061233	-0.00031547
-430.11727898	-0.00034066
-430.08394563	-0.00067978
-430.05061228	-0.00089520
-430.01727893	-0.00106355
-429.98394558	-0.00129946
-429.95061223	-0.00148843
-429.91727888	-0.00157403
-429.88394553	-0.00180784
-429.85061218	-0.00194310
-429.81727883	-0.00213220
-429.78394548	-0.00227210
-429.75061213	-0.00234643
-429.71727878	-0.00233694
-429.68394543	-0.00260066
-429.65061208	-0.00286462
-429.61727873	-0.00332774
-429.58394538	-0.00386673
-429.55061203	-0.00460544
-429.51727868	-0.00555627
-429.48394533	-0.00664067
-429.45061199	-0.00791329
-429.41727864	-0.00922165
-429.38394529	-0.01053152
-429.35061194	-0.01187344
-429.31727859	-0.01313291
-429.28394524	-0.01397512
-429.25061189	-0.01484757
-429.21727854	-0.01516954
-429.18394519	-0.01520979
-429.15061184	-0.01468436
-429.11727849	-0.01370099
-429.08394514	-0.01227106
-429.05061179	-0.01024957
-429.01727844	-0.00781926
-428.98394509	-0.00508970
-428.95061174	-0.00196872
-428.91727839	0.00085103
-428.88394504	0.00360739
-428.85061169	0.00601767
-428.81727834	0.00792130
-428.78394499	0.00903405
-428.75061164	0.00953915
-428.71727830	0.00938335
-428.68394495	0.00836363
-428.65061160	0.00684549
-428.61727825	0.00489130
-428.58394490	0.00255011
-428.55061155	0.00018550
-428.51727820	-0.00221185
-428.48394485	-0.00430359
-428.45061150	-0.00594623
-428.41727815	-0.00726455
-428.38394480	-0.00804975
-428.35061145	-0.00829127
-428.31727810	-0.00831194
-428.28394475	-0.00820338
-428.25061140	-0.00775909
-428.21727805	-0.00719147
-428.18394470	-0.00659486
-428.15061135	-0.00600231
-428.11727800	-0.00539552
-428.08394465	-0.00480151
-428.05061130	-0.00424994
-428.01727795	-0.00340862
-427.98394461	-0.00264257
-427.95061126	-0.00177504
-427.91727791	-0.00090781
-427.88394456	0.00024274
-427.85061121	0.00125225
-427.81727786	0.00229846
-427.78394451	0.00354439
-427.75061116	0.00486893
-427.71727781	0.00643503
-427.68394446	0.00782199
-427.65061111	0.00982140
-427.61727776	0.01184101
-427.58394441	0.01433334
-427.55061106	0.01711313
-427.51727771	0.02045920
-427.48394436	0.02388357
-427.45061101	0.02772189
-427.41727766	0.03157488
-427.38394431	0.03532282
-427.35061096	0.03933827
-427.31727761	0.04330780
-427.28394426	0.04734188
-427.25061092	0.05145870
-427.21727757	0.05590835
-427.18394422	0.06077577
-427.15061087	0.06603863
-427.11727752	0.07203737
-427.08394417	0.07864487
-427.05061082	0.08622046
-427.01727747	0.09455021
-426.98394412	0.10395185
-426.95061077	0.11456998
-426.91727742	0.12614293
-426.88394407	0.13882155
-426.85061072	0.15269721
-426.81727737	0.16776484
-426.78394402	0.18373091
-426.75061067	0.20046845
-426.71727732	0.21788734
-426.68394397	0.23544521
-426.65061062	0.25289127
-426.61727727	0.26991260
-426.58394392	0.28557804
-426.55061057	0.29935688
-426.51727723	0.30981448
-426.48394388	0.31616802
-426.45061053	0.31677281
-426.41727718	0.30993357
-426.38394383	0.29375510
-426.35061048	0.26611701
-426.31727713	0.22465182
-426.28394378	0.16726053
-426.25061043	0.09132306
-426.21727708	-0.00466603
-426.18394373	-0.12270407
-426.15061038	-0.26358565
-426.11727703	-0.42745813
-426.08394368	-0.61319539
-426.05061033	-0.81775472
-426.01727698	-1.03771889
-425.98394363	-1.26601557
-425.95061028	-1.49477473
-425.91727693	-1.71367561
-425.88394358	-1.91037427
-425.85061023	-2.07109401
-425.81727688	-2.18163670
-425.78394354	-2.22852937
-425.75061019	-2.20065118
-425.71727684	-2.08990147
-425.68394349	-1.89347135
-425.65061014	-1.61369130
-425.61727679	-1.25870440
-425.58394344	-0.84283644
-425.55061009	-0.38569866
-425.51727674	0.09131290
-425.48394339	0.56476838
-425.45061004	1.01061730
