# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:22:52
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-14.42701670
0.00366255	-20.73000309
0.00732511	-18.95038852
0.01098766	-21.67456233
0.01465022	-20.70455086
0.01831277	-23.67921378
0.02197533	-22.72979879
0.02563788	-25.59757519
0.02930044	-22.97606390
0.03296299	-22.09144299
0.03662555	-22.95073472
0.04028810	-23.58696257
0.04395066	-23.66009534
0.04761321	-24.28221578
0.05127577	-22.16515932
0.05493832	-22.40261870
0.05860087	-23.85189195
0.06226343	-24.07691750
0.06592598	-23.14214136
0.06958854	-24.58935133
0.07325109	-24.16558970
0.07691365	-23.55589553
0.08057620	-24.98227525
0.08423876	-23.68467221
0.08790131	-24.98258752
0.09156387	-27.02134700
0.09522642	-24.49620987
0.09888898	-24.75893855
0.10255153	-25.61573951
0.10621409	-22.98683454
0.10987664	-25.59540968
0.11353920	-29.21726280
0.11720175	-23.82778341
0.12086430	-23.65801453
0.12452686	-26.13850831
0.12818941	-22.87165564
0.13185197	-25.25970538
0.13551452	-24.50684227
0.13917708	-21.42374412
0.14283963	-22.56360169
0.14650219	-21.51530593
0.15016474	-20.89764649
0.15382730	-23.40229695
0.15748985	-22.16492302
0.16115241	-21.21325566
0.16481496	-24.62469205
0.16847752	-18.94097332
0.17214007	-18.23856034
0.17580262	-21.05441078
0.17946518	-17.55554499
0.18312773	-16.76477267
0.18679029	-20.45673221
0.19045284	-16.18074557
0.19411540	-15.80512999
0.19777795	-18.95730493
0.20144051	-13.06636603
0.20510306	-16.87175792
0.20876562	-16.51464673
0.21242817	-14.42834532
0.21609073	-17.47739234
0.21975328	-14.57314285
0.22341584	-11.18127624
0.22707839	-13.62318797
0.23074095	-10.91198870
0.23440350	-9.86110203
0.23806605	-16.93990113
0.24172861	-11.39730868
0.24539116	-12.21509133
0.24905372	-12.79427989
0.25271627	-11.40240530
0.25637883	-12.17131585
0.26004138	-14.74639179
0.26370394	-11.25396348
0.26736649	-12.75742621
0.27102905	-11.36613013
0.27469160	-8.08846745
0.27835416	-12.33403238
0.28201671	-9.65275117
0.28567927	-11.13700189
0.28934182	-11.19497052
0.29300437	-10.65140272
0.29666693	-11.04704287
0.30032948	-11.27434073
0.30399204	-9.35122247
0.30765459	-11.97475964
0.31131715	-9.74391669
0.31497970	-9.63905337
0.31864226	-9.66629657
0.32230481	-7.47413663
0.32596737	-8.04476768
0.32962992	-7.55201702
0.33329248	-8.39557678
0.33695503	-8.08547136
0.34061759	-10.07813534
0.34428014	-8.87170362
0.34794269	-8.34035006
0.35160525	-8.63318197
0.35526780	-7.43004984
0.35893036	-7.82986274
0.36259291	-7.40734243
0.36625547	-6.81933139
0.36991802	-6.45476019
0.37358058	-6.52604342
0.37724313	-6.13128718
0.38090569	-7.44144098
0.38456824	-7.14859192
0.38823080	-7.39027908
0.39189335	-7.39997223
0.39555591	-7.20568117
0.39921846	-7.72711244
0.40288102	-6.66498011
0.40654357	-6.79716855
0.41020612	-5.69308788
0.41386868	-5.52896360
0.41753123	-5.25371016
