# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:19:03
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-440.75061762	0.00000000
-440.71728427	0.00000011
-440.68395092	0.00000043
-440.65061757	0.00000085
-440.61728422	0.00000134
-440.58395087	0.00000176
-440.55061752	0.00000230
-440.51728417	0.00000293
-440.48395082	0.00000341
-440.45061747	0.00000371
-440.41728412	0.00000381
-440.38395077	0.00000356
-440.35061742	0.00000265
-440.31728407	0.00000135
-440.28395072	-0.00000074
-440.25061737	-0.00000268
-440.21728402	-0.00000427
-440.18395067	-0.00000693
-440.15061732	-0.00001003
-440.11728397	-0.00001444
-440.08395062	-0.00002015
-440.05061728	-0.00002732
-440.01728393	-0.00003598
-439.98395058	-0.00004302
-439.95061723	-0.00005313
-439.91728388	-0.00006250
-439.88395053	-0.00007022
-439.85061718	-0.00007397
-439.81728383	-0.00007426
-439.78395048	-0.00007702
-439.75061713	-0.00007611
-439.71728378	-0.00007061
-439.68395043	-0.00006435
-439.65061708	-0.00006145
-439.61728373	-0.00005624
-439.58395038	-0.00005242
-439.55061703	-0.00004871
-439.51728368	-0.00004160
-439.48395033	-0.00003924
-439.45061698	-0.00004039
-439.41728363	-0.00004336
-439.38395029	-0.00005249
-439.35061694	-0.00006281
-439.31728359	-0.00007428
-439.28395024	-0.00009488
-439.25061689	-0.00011194
-439.21728354	-0.00012994
-439.18395019	-0.00015087
-439.15061684	-0.00016765
-439.11728349	-0.00019733
-439.08395014	-0.00022511
-439.05061679	-0.00024875
-439.01728344	-0.00026950
-438.98395009	-0.00028429
-438.95061674	-0.00030839
-438.91728339	-0.00032658
-438.88395004	-0.00034428
-438.85061669	-0.00036764
-438.81728334	-0.00038352
-438.78394999	-0.00038862
-438.75061664	-0.00039474
-438.71728330	-0.00039824
-438.68394995	-0.00038961
-438.65061660	-0.00038507
-438.61728325	-0.00038582
-438.58394990	-0.00040077
-438.55061655	-0.00043286
-438.51728320	-0.00048744
-438.48394985	-0.00055629
-438.45061650	-0.00061996
-438.41728315	-0.00069481
-438.38394980	-0.00075892
-438.35061645	-0.00081963
-438.31728310	-0.00089368
-438.28394975	-0.00092608
-438.25061640	-0.00096806
-438.21728305	-0.00097708
-438.18394970	-0.00098642
-438.15061635	-0.00095810
-438.11728300	-0.00090440
-438.08394965	-0.00081305
-438.05061630	-0.00069051
-438.01728296	-0.00053907
-437.98394961	-0.00037708
-437.95061626	-0.00019388
-437.91728291	-0.00001905
-437.88394956	0.00016663
-437.85061621	0.00031719
-437.81728286	0.00044756
-437.78394951	0.00053287
-437.75061616	0.00058392
-437.71728281	0.00061209
-437.68394946	0.00060361
-437.65061611	0.00055623
-437.61728276	0.00047062
-437.58394941	0.00038206
-437.55061606	0.00024213
-437.51728271	0.00010214
-437.48394936	0.00001424
-437.45061601	-0.00011055
-437.41728266	-0.00018774
-437.38394931	-0.00025174
-437.35061597	-0.00030952
-437.31728262	-0.00028582
-437.28394927	-0.00028680
-437.25061592	-0.00026586
-437.21728257	-0.00017696
-437.18394922	-0.00010649
-437.15061587	-0.00001276
-437.11728252	0.00000537
-437.08394917	-0.00001297
-437.05061582	-0.00012119
-437.01728247	-0.00033590
-436.98394912	-0.00069106
-436.95061577	-0.00122446
-436.91728242	-0.00198562
-436.88394907	-0.00294075
-436.85061572	-0.00405176
-436.81728237	-0.00531276
-436.78394902	-0.00666329
-436.75061567	-0.00797866
-436.71728232	-0.00909751
-436.68394898	-0.00992981
-436.65061563	-0.01030259
-436.61728228	-0.01017494
-436.58394893	-0.00943138
-436.55061558	-0.00811639
-436.51728223	-0.00636006
-436.48394888	-0.00428964
-436.45061553	-0.00203254
-436.41728218	0.00021803
-436.38394883	0.00227985
-436.35061548	0.00401045
-436.31728213	0.00540603
-436.28394878	0.00628791
-436.25061543	0.00680005
-436.21728208	0.00691083
-436.18394873	0.00671220
-436.15061538	0.00614683
-436.11728203	0.00538909
-436.08394868	0.00452561
-436.05061533	0.00360588
-436.01728198	0.00267876
-435.98394864	0.00184555
-435.95061529	0.00103993
-435.91728194	0.00041950
-435.88394859	-0.00001647
-435.85061524	-0.00027188
-435.81728189	-0.00036063
-435.78394854	-0.00012751
-435.75061519	0.00029843
-435.71728184	0.00080157
-435.68394849	0.00157565
-435.65061514	0.00243244
-435.61728179	0.00324669
-435.58394844	0.00411746
-435.55061509	0.00491789
-435.51728174	0.00566200
-435.48394839	0.00627176
