# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -440.90000000 ps, Average over 1000 waveforms. Timestamp: 2024-04-22T15:19:03
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-14.44660010
0.00366255	-14.50692287
0.00732511	-12.10814146
0.01098766	-16.32033297
0.01465022	-16.24240727
0.01831277	-16.64476756
0.02197533	-15.53444849
0.02563788	-15.92132721
0.02930044	-16.49189492
0.03296299	-16.39701261
0.03662555	-16.49315611
0.04028810	-16.24124096
0.04395066	-15.96417845
0.04761321	-17.60241324
0.05127577	-16.78200010
0.05493832	-16.04935520
0.05860087	-16.56536717
0.06226343	-17.01491281
0.06592598	-16.26957379
0.06958854	-17.99284033
0.07325109	-17.93772737
0.07691365	-16.45109635
0.08057620	-16.25448809
0.08423876	-20.65405803
0.08790131	-15.79993621
0.09156387	-18.40441483
0.09522642	-17.33302004
0.09888898	-15.64635140
0.10255153	-18.19372992
0.10621409	-15.89349746
0.10987664	-14.38994982
0.11353920	-24.78744631
0.11720175	-14.69318057
0.12086430	-12.15472974
0.12452686	-17.34769652
0.12818941	-14.33411498
0.13185197	-15.95624072
0.13551452	-17.50426377
0.13917708	-12.22844988
0.14283963	-12.99229701
0.14650219	-14.68802969
0.15016474	-13.08745920
0.15382730	-14.37289770
0.15748985	-14.40852415
0.16115241	-11.29347382
0.16481496	-15.27827477
0.16847752	-11.07755149
0.17214007	-9.73268540
0.17580262	-12.84500271
0.17946518	-11.88548938
0.18312773	-10.32788479
0.18679029	-15.04573551
0.19045284	-10.41109291
0.19411540	-8.31723611
0.19777795	-11.98062699
0.20144051	-6.17878930
0.20510306	-11.08569605
0.20876562	-11.35596079
0.21242817	-8.60948506
0.21609073	-9.70611952
0.21975328	-8.64593824
0.22341584	-5.65004171
0.22707839	-8.99894928
0.23074095	-7.02561092
0.23440350	-5.63654561
0.23806605	-14.04504981
0.24172861	-6.08930134
0.24539116	-6.16956601
0.24905372	-8.19152200
0.25271627	-6.05298192
0.25637883	-7.70715941
0.26004138	-10.55799555
0.26370394	-6.09964109
0.26736649	-9.12797882
0.27102905	-6.93725233
0.27469160	-4.72554349
0.27835416	-9.75170233
0.28201671	-6.93269294
0.28567927	-8.73943967
0.28934182	-7.77018664
0.29300437	-6.59328012
0.29666693	-6.62399145
0.30032948	-6.92147481
0.30399204	-5.47990481
0.30765459	-8.78672582
0.31131715	-6.50390716
0.31497970	-6.49674168
0.31864226	-6.80358912
0.32230481	-5.19444519
0.32596737	-5.36945324
0.32962992	-5.63885314
