# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:29:37
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-20.11969838
0.01465559	-24.59812156
0.02931119	-39.81463823
0.04396678	-31.51906186
0.05862238	-38.58860667
0.07327797	-34.89889001
0.08793356	-41.48762752
0.10258916	-39.27211393
0.11724475	-37.85930621
0.13190034	-30.95069996
0.14655594	-38.18100442
0.16121153	-31.80384672
0.17586713	-25.21814221
0.19052272	-23.56326452
0.20517831	-29.19453727
0.21983391	-18.65481494
0.23448950	-16.23358350
0.24914510	-19.03762677
0.26380069	-21.32531534
0.27845628	-15.28540550
0.29311188	-13.33623510
0.30776747	-16.78308108
0.32242307	-15.85577079
0.33707866	-9.87967905
0.35173425	-8.50939983
0.36638985	-12.99144311
0.38104544	-11.37382022
0.39570103	-6.75457442
0.41035663	-6.51925669
0.42501222	-10.50886620
0.43966782	-7.76905179
0.45432341	-3.15695981
0.46897900	-3.51281319
0.48363460	-7.71371030
0.49829019	-5.08033994
0.51294579	-1.90982806
0.52760138	-3.24321515
0.54225697	-7.23463746
0.55691257	-3.67014399
0.57156816	-0.24504763
0.58622376	-1.57947524
0.60087935	-5.82411514
0.61553494	-1.71895648
0.63019054	-0.21204811
0.64484613	-2.73696829
0.65950172	-6.02315531
0.67415732	-1.38960251
0.68881291	0.00000000
0.70346851	-2.78597941
0.71812410	-4.97814579
0.73277969	-1.00225582
0.74743529	-0.80401367
0.76209088	-4.75042881
0.77674648	-5.47824350
0.79140207	-1.58806902
0.80605766	-1.22480211
0.82071326	-5.18225039
0.83536885	-4.33360549
0.85002445	-1.27030478
0.86468004	-2.39761129
0.87933563	-6.92432529
0.89399123	-4.97682393
0.90864682	-2.35315656
0.92330241	-3.83140076
0.93795801	-7.23169803
0.95261360	-4.27189820
0.96726920	-2.85554676
0.98192479	-5.97439349
0.99658038	-9.39937382
1.01123598	-6.03438223
1.02589157	-5.18435997
1.04054717	-8.06245864
1.05520276	-8.98285493
1.06985835	-5.44887841
1.08451395	-6.28545065
1.09916954	-11.39974815
1.11382514	-10.09883303
1.12848073	-7.46535115
1.14313632	-8.80541824
1.15779192	-13.02112791
1.17244751	-9.73123788
1.18710310	-7.78895947
1.20175870	-10.79467167
1.21641429	-13.53191436
1.23106989	-11.04052231
1.24572548	-11.35768748
1.26038107	-14.58922506
1.27503667	-14.50561883
1.28969226	-11.48964538
1.30434786	-12.81689694
1.31900345	-16.61098866
1.33365904	-15.05678452
1.34831464	-14.34578907
1.36297023	-17.53353324
1.37762583	-19.39375621
1.39228142	-16.16613033
1.40693701	-16.94776380
1.42159261	-20.34140429
1.43624820	-18.94508110
1.45090379	-17.85864425
1.46555939	-20.44995505
1.48021498	-23.69081373
1.49487058	-21.61236416
1.50952617	-21.07282207
1.52418176	-23.66883426
1.53883736	-24.15409278
1.55349295	-22.72831226
1.56814855	-24.86119839
1.58280414	-28.31489950
1.59745973	-27.83228339
1.61211533	-27.44280459
1.62677092	-29.46718911
1.64142652	-29.43037137
1.65608211	-28.83737256
1.67073770	-32.85830588
1.68539330	-33.26744089
1.70004889	-31.63677957
1.71470448	-34.31246639
1.72936008	-36.28940984
1.74401567	-34.06067070
1.75867127	-33.21596913
1.77332686	-34.96181135
