# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T13:50:14
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.34953385	0.00000000
-402.31620031	0.00000016
-402.28286677	0.00000085
-402.24953323	0.00000272
-402.21619968	0.00000526
-402.18286614	0.00000963
-402.14953260	0.00001746
-402.11619906	0.00002685
-402.08286551	0.00002965
-402.04953197	0.00004369
-402.01619843	0.00005506
-401.98286489	0.00005730
-401.94953134	0.00005826
-401.91619780	0.00005796
-401.88286426	0.00006416
-401.84953072	0.00004535
-401.81619717	0.00002023
-401.78286363	-0.00000264
-401.74953009	-0.00001873
-401.71619654	-0.00006762
-401.68286300	-0.00008876
-401.64952946	-0.00014123
-401.61619592	-0.00018402
-401.58286237	-0.00028200
-401.54952883	-0.00028236
-401.51619529	-0.00042719
-401.48286175	-0.00049202
-401.44952820	-0.00057448
-401.41619466	-0.00065548
-401.38286112	-0.00072278
-401.34952758	-0.00082902
-401.31619403	-0.00087174
-401.28286049	-0.00103730
-401.24952695	-0.00098005
-401.21619341	-0.00119838
-401.18285986	-0.00120565
-401.14952632	-0.00113865
-401.11619278	-0.00125308
-401.08285924	-0.00118904
-401.04952569	-0.00115984
-401.01619215	-0.00099837
-400.98285861	-0.00087398
-400.94952506	-0.00072857
-400.91619152	-0.00044516
-400.88285798	-0.00021751
-400.84952444	0.00013814
-400.81619089	0.00036371
-400.78285735	0.00074581
-400.74952381	0.00107175
-400.71619027	0.00116338
-400.68285672	0.00141920
-400.64952318	0.00157388
-400.61618964	0.00178202
-400.58285610	0.00177114
-400.54952255	0.00178277
-400.51618901	0.00155290
-400.48285547	0.00137839
-400.44952193	0.00118791
-400.41618838	0.00085632
-400.38285484	0.00059279
-400.34952130	0.00029516
-400.31618776	0.00000915
-400.28285421	-0.00032439
-400.24952067	-0.00071720
-400.21618713	-0.00093218
-400.18285358	-0.00101556
-400.14952004	-0.00126133
-400.11618650	-0.00134630
-400.08285296	-0.00143670
-400.04951941	-0.00142096
-400.01618587	-0.00142024
-399.98285233	-0.00152923
-399.94951879	-0.00137505
-399.91618524	-0.00125258
-399.88285170	-0.00112500
-399.84951816	-0.00108938
-399.81618462	-0.00095254
-399.78285107	-0.00084482
-399.74951753	-0.00094214
-399.71618399	-0.00085906
-399.68285045	-0.00075093
-399.64951690	-0.00073425
-399.61618336	-0.00075952
-399.58284982	-0.00062497
-399.54951628	-0.00079388
-399.51618273	-0.00067665
-399.48284919	-0.00057118
-399.44951565	-0.00056204
-399.41618210	-0.00048868
-399.38284856	-0.00055818
-399.34951502	-0.00046182
-399.31618148	-0.00056114
-399.28284793	-0.00043314
-399.24951439	-0.00042754
-399.21618085	-0.00057680
-399.18284731	-0.00051154
-399.14951376	-0.00051156
-399.11618022	-0.00058216
-399.08284668	-0.00061639
-399.04951314	-0.00068327
-399.01617959	-0.00062139
-398.98284605	-0.00059944
-398.94951251	-0.00066626
-398.91617897	-0.00069780
-398.88284542	-0.00064505
-398.84951188	-0.00063365
-398.81617834	-0.00075714
-398.78284480	-0.00061093
-398.74951125	-0.00041848
-398.71617771	-0.00049797
-398.68284417	-0.00043584
-398.64951062	-0.00045634
-398.61617708	-0.00045045
-398.58284354	-0.00028080
-398.54951000	-0.00033171
-398.51617645	-0.00044230
-398.48284291	-0.00038355
-398.44950937	-0.00043604
-398.41617583	-0.00046284
-398.38284228	-0.00039875
-398.34950874	-0.00034098
-398.31617520	-0.00041397
-398.28284166	-0.00037388
-398.24950811	-0.00038203
-398.21617457	-0.00041939
-398.18284103	-0.00048153
-398.14950749	-0.00046322
-398.11617394	-0.00059560
-398.08284040	-0.00039044
-398.04950686	-0.00045864
-398.01617332	-0.00059328
-397.98283977	-0.00071532
-397.94950623	-0.00053347
-397.91617269	-0.00062294
-397.88283914	-0.00065721
-397.84950560	-0.00070076
-397.81617206	-0.00080078
-397.78283852	-0.00079454
-397.74950497	-0.00073079
-397.71617143	-0.00082592
-397.68283789	-0.00089338
-397.64950435	-0.00086982
-397.61617080	-0.00077234
-397.58283726	-0.00072050
-397.54950372	-0.00096716
-397.51617018	-0.00095624
-397.48283663	-0.00101036
-397.44950309	-0.00087595
-397.41616955	-0.00093949
-397.38283601	-0.00094419
-397.34950246	-0.00108113
-397.31616892	-0.00123662
-397.28283538	-0.00116930
-397.24950184	-0.00130990
-397.21616829	-0.00142530
-397.18283475	-0.00140332
-397.14950121	-0.00148813
-397.11616766	-0.00170195
-397.08283412	-0.00172789
-397.04950058	-0.00190225
-397.01616704	-0.00195732
-396.98283349	-0.00221000
-396.94949995	-0.00246937
-396.91616641	-0.00263161
-396.88283287	-0.00278026
-396.84949932	-0.00296439
-396.81616578	-0.00311530
-396.78283224	-0.00328067
-396.74949870	-0.00350686
-396.71616515	-0.00367015
-396.68283161	-0.00387090
-396.64949807	-0.00388586
-396.61616453	-0.00381796
-396.58283098	-0.00378699
-396.54949744	-0.00372273
-396.51616390	-0.00335715
-396.48283036	-0.00307662
-396.44949681	-0.00260628
-396.41616327	-0.00205842
-396.38282973	-0.00155803
-396.34949618	-0.00074706
-396.31616264	0.00001968
-396.28282910	0.00075235
-396.24949556	0.00160967
-396.21616201	0.00240220
-396.18282847	0.00310310
-396.14949493	0.00372291
-396.11616139	0.00417726
-396.08282784	0.00446178
-396.04949430	0.00455451
-396.01616076	0.00434959
-395.98282722	0.00415575
-395.94949367	0.00342923
-395.91616013	0.00269502
-395.88282659	0.00165295
-395.84949305	0.00054097
-395.81615950	-0.00067447
-395.78282596	-0.00211165
-395.74949242	-0.00335540
-395.71615888	-0.00477545
-395.68282533	-0.00600627
-395.64949179	-0.00705452
-395.61615825	-0.00803967
-395.58282470	-0.00873228
-395.54949116	-0.00925744
-395.51615762	-0.00954931
-395.48282408	-0.00955249
-395.44949053	-0.00932714
-395.41615699	-0.00901450
-395.38282345	-0.00841586
-395.34948991	-0.00769829
-395.31615636	-0.00712035
-395.28282282	-0.00617935
-395.24948928	-0.00539375
-395.21615574	-0.00459864
-395.18282219	-0.00378618
-395.14948865	-0.00294865
-395.11615511	-0.00210289
