# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T14:46:58
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.34927031	0.00000000
-402.31593698	0.00000003
-402.28260364	0.00000065
-402.24927031	0.00000171
-402.21593698	0.00000512
-402.18260365	0.00000782
-402.14927031	0.00001491
-402.11593698	0.00002681
-402.08260365	0.00003634
-402.04927032	0.00004452
-402.01593698	0.00006061
-401.98260365	0.00006228
-401.94927032	0.00006268
-401.91593699	0.00008113
-401.88260365	0.00008285
-401.84927032	0.00006458
-401.81593699	0.00006396
-401.78260366	0.00003166
-401.74927032	-0.00001564
-401.71593699	-0.00000345
-401.68260366	-0.00005250
-401.64927032	-0.00011050
-401.61593699	-0.00017437
-401.58260366	-0.00022377
-401.54927033	-0.00031636
-401.51593699	-0.00037140
-401.48260366	-0.00046443
-401.44927033	-0.00056156
-401.41593700	-0.00057311
-401.38260366	-0.00076529
-401.34927033	-0.00078585
-401.31593700	-0.00084091
-401.28260367	-0.00098150
-401.24927033	-0.00101351
-401.21593700	-0.00122814
-401.18260367	-0.00129900
-401.14927034	-0.00128123
-401.11593700	-0.00127575
-401.08260367	-0.00133140
-401.04927034	-0.00120031
-401.01593701	-0.00119113
-400.98260367	-0.00108774
-400.94927034	-0.00093077
-400.91593701	-0.00062154
-400.88260368	-0.00045716
-400.84927034	-0.00024315
-400.81593701	-0.00004223
-400.78260368	0.00038272
-400.74927034	0.00071019
-400.71593701	0.00096929
-400.68260368	0.00121798
-400.64927035	0.00162850
-400.61593701	0.00178490
-400.58260368	0.00173725
-400.54927035	0.00181097
-400.51593702	0.00185076
-400.48260368	0.00184747
-400.44927035	0.00157972
-400.41593702	0.00141782
-400.38260369	0.00109885
-400.34927035	0.00087201
-400.31593702	0.00043280
-400.28260369	0.00010380
-400.24927036	-0.00013134
-400.21593702	-0.00048611
-400.18260369	-0.00068363
-400.14927036	-0.00097372
-400.11593703	-0.00123875
-400.08260369	-0.00135509
-400.04927036	-0.00138565
-400.01593703	-0.00147948
-399.98260370	-0.00142018
-399.94927036	-0.00145956
-399.91593703	-0.00140285
-399.88260370	-0.00132058
-399.84927037	-0.00108060
-399.81593703	-0.00111690
-399.78260370	-0.00109776
