# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T13:58:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.73439570
0.01465550	-24.19466559
0.02931100	-39.55007560
0.04396650	-31.42356696
0.05862201	-38.86824989
0.07327751	-34.91723814
0.08793301	-41.91840465
0.10258851	-39.39231326
0.11724401	-38.08461757
0.13189951	-30.99455755
0.14655502	-38.37766916
0.16121052	-32.02806482
0.17586602	-25.12303727
0.19052152	-23.38253722
0.20517702	-29.16550097
0.21983252	-18.54664630
0.23448803	-16.08822614
0.24914353	-18.84044910
0.26379903	-21.18689329
0.27845453	-15.15515566
0.29311003	-13.19408098
0.30776553	-16.67324346
0.32242103	-15.78761280
0.33707654	-9.80920381
0.35173204	-8.46303912
0.36638754	-12.97406252
0.38104304	-11.37120980
0.39569854	-6.75268685
0.41035404	-6.53616063
0.42500955	-10.55345062
0.43966505	-7.76117983
0.45432055	-3.16189062
0.46897605	-3.53712067
0.48363155	-7.75422423
0.49828705	-5.07995328
0.51294255	-1.91638192
0.52759806	-3.26095797
0.54225356	-7.23726463
0.55690906	-3.66255579
0.57156456	-0.25046500
0.58622006	-1.59752808
0.60087556	-5.81630092
0.61553107	-1.69534735
0.63018657	-0.20831918
0.64484207	-2.75701903
0.65949757	-5.99290023
0.67415307	-1.35827796
0.68880857	0.00000000
0.70346408	-2.80923515
0.71811958	-4.95894341
0.73277508	-0.98253402
0.74743058	-0.81423773
0.76208608	-4.77584970
0.77674158	-5.42847881
0.79139708	-1.57491720
0.80605259	-1.24639089
0.82070809	-5.20683678
0.83536359	-4.27696988
0.85001909	-1.25894002
0.86467459	-2.41409435
0.87933009	-6.91657167
0.89398560	-4.93399321
0.90864110	-2.35156134
0.92329660	-3.84710253
0.93795210	-7.21657546
0.95260760	-4.24091450
0.96726310	-2.86279751
0.98191860	-6.01141276
0.99657411	-9.34009007
1.01122961	-6.02333063
1.02588511	-5.21453973
1.04054061	-8.10891317
1.05519611	-8.95062823
1.06985161	-5.45065750
1.08450712	-6.31524869
1.09916262	-11.43414860
1.11381812	-10.11341408
1.12847362	-7.49832689
1.14312912	-8.84638930
1.15778462	-13.04163618
1.17244013	-9.73946846
1.18709563	-7.82324453
1.20175113	-10.87212827
1.21640663	-13.51798277
1.23106213	-11.05287392
1.24571763	-11.40995519
1.26037313	-14.62120103
1.27502864	-14.48481652
1.28968414	-11.51858092
1.30433964	-12.87543660
1.31899514	-16.58011949
1.33365064	-15.06355702
1.34830614	-14.39350191
1.36296165	-17.56909465
1.37761715	-19.34204417
1.39227265	-16.14879204
1.40692815	-16.97369993
1.42158365	-20.38020360
1.43623915	-18.91859633
1.45089465	-17.85276928
1.46555016	-20.48014368
1.48020566	-23.63793594
1.49486116	-21.59532589
1.50951666	-21.12039931
1.52417216	-23.69462841
1.53882766	-24.08760580
1.55348317	-22.75164564
1.56813867	-24.95390539
1.58279417	-28.36107654
1.59744967	-27.89407431
1.61210517	-27.51188895
1.62676067	-29.47624963
1.64141618	-29.45951305
1.65607168	-28.95574130
1.67072718	-33.02601882
1.68538268	-33.32387287
1.70003818	-31.72542270
1.71469368	-34.41165610
1.72934918	-36.47910172
1.74400469	-34.22195910
1.75866019	-33.34690378
1.77331569	-35.09452815
1.78797119	-36.61306841
1.80262669	-36.33315408
1.81728219	-37.42174699
1.83193770	-39.16148068
1.84659320	-38.57873696
1.86124870	-38.88792659
1.87590420	-40.40670577
1.89055970	-40.07314691
1.90521520	-41.20501280
1.91987070	-43.46587006
1.93452621	-43.19410396
1.94918171	-43.94197349
1.96383721	-45.40182787
1.97849271	-45.21053838
1.99314821	-45.64611760
2.00780371	-47.80867860
2.02245922	-49.86049800
2.03711472	-51.51578336
2.05177022	-53.09804673
2.06642572	-54.83237200
2.08108122	-57.84723459
2.09573672	-58.48947266
2.11039223	-62.37832554
2.12504773	-73.77262938
2.13970323	-67.43660401
2.15435873	-62.90369335
2.16901423	-64.64637966
2.18366973	-62.33959534
2.19832523	-59.29276010
2.21298074	-59.35824331
2.22763624	-59.82266093
2.24229174	-59.46718167
2.25694724	-58.09974356
2.27160274	-59.15726851
2.28625824	-60.10771544
2.30091375	-59.12670976
2.31556925	-59.27887535
2.33022475	-59.37785053
2.34488025	-60.49091941
2.35953575	-61.35408274
2.37419125	-61.21844845
2.38884675	-62.66781903
2.40350226	-65.54342411
2.41815776	-65.50073638
2.43281326	-64.09931906
2.44746876	-65.01374540
2.46212426	-64.45894287
2.47677976	-63.19745328
2.49143527	-63.00430529
2.50609077	-63.59916633
2.52074627	-64.02318690
2.53540177	-64.54886497
2.55005727	-67.34663027
2.56471277	-66.98634420
2.57936828	-65.70165695
2.59402378	-65.55539487
2.60867928	-65.87721666
2.62333478	-66.24412254
2.63799028	-65.46806733
2.65264578	-65.56965357
2.66730128	-66.80626330
2.68195679	-67.93978481
2.69661229	-64.58494894
2.71126779	-64.24799157
2.72592329	-65.36938980
2.74057879	-64.59647217
2.75523429	-66.03668943
2.76988980	-66.52516440
2.78454530	-67.09205112
2.79920080	-67.02696776
2.81385630	-66.47092378
2.82851180	-67.86230940
2.84316730	-68.01603493
2.85782280	-69.55802795
2.87247831	-67.87967441
2.88713381	-68.11140836
2.90178931	-69.93726362
2.91644481	-67.84378526
2.93110031	-68.68883022
2.94575581	-69.01934621
2.96041132	-68.52881198
2.97506682	-70.63014999
2.98972232	-70.05671998
3.00437782	-68.60849800
3.01903332	-69.16875084
3.03368882	-74.36736045
3.04834433	-70.94020408
3.06299983	-69.96918373
3.07765533	-75.72875399
3.09231083	-77.75443860
3.10696633	-81.42647502
3.12162183	-77.28757118
3.13627733	-74.31114292
3.15093284	-72.95400782
3.16558834	-74.66658834
3.18024384	-75.87554235
3.19489934	-74.12695626
3.20955484	-81.71855841
