# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T11:17:43
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.34976578	0.00000000
-402.31643252	-0.00000003
-402.28309926	-0.00000001
-402.24976600	0.00000028
-402.21643274	0.00000042
-402.18309948	0.00000147
-402.14976622	0.00000328
-402.11643296	0.00000375
-402.08309970	0.00000617
-402.04976644	0.00000991
-402.01643318	0.00001067
-401.98309992	0.00001592
-401.94976666	0.00001887
-401.91643340	0.00001571
-401.88310014	0.00001721
-401.84976688	0.00001945
-401.81643362	0.00001627
-401.78310036	0.00001363
-401.74976710	0.00001040
-401.71643384	0.00000015
-401.68310058	-0.00000949
-401.64976732	-0.00001733
-401.61643406	-0.00003581
-401.58310080	-0.00005131
-401.54976754	-0.00006602
-401.51643428	-0.00008247
-401.48310102	-0.00010444
-401.44976776	-0.00012277
-401.41643450	-0.00014487
-401.38310124	-0.00017301
-401.34976798	-0.00019428
-401.31643472	-0.00022570
-401.28310146	-0.00024001
-401.24976820	-0.00026389
-401.21643494	-0.00030417
-401.18310168	-0.00030850
-401.14976842	-0.00031936
-401.11643516	-0.00034140
-401.08310190	-0.00034157
-401.04976864	-0.00034640
-401.01643538	-0.00034360
-400.98310212	-0.00029903
-400.94976886	-0.00026656
-400.91643560	-0.00021025
-400.88310234	-0.00015797
-400.84976908	-0.00008841
-400.81643582	-0.00000820
-400.78310256	0.00010610
-400.74976930	0.00019860
-400.71643604	0.00032048
-400.68310278	0.00044737
-400.64976952	0.00056157
-400.61643626	0.00061664
-400.58310300	0.00071264
-400.54976974	0.00075781
-400.51643647	0.00081562
-400.48310321	0.00082171
-400.44976995	0.00079410
-400.41643669	0.00075516
-400.38310343	0.00072213
-400.34977017	0.00061278
-400.31643691	0.00052525
-400.28310365	0.00034434
-400.24977039	0.00027081
-400.21643713	0.00006988
-400.18310387	-0.00008019
-400.14977061	-0.00019402
-400.11643735	-0.00031857
-400.08310409	-0.00040817
-400.04977083	-0.00050345
-400.01643757	-0.00059176
-399.98310431	-0.00061305
-399.94977105	-0.00064551
-399.91643779	-0.00070287
-399.88310453	-0.00063428
-399.84977127	-0.00063305
-399.81643801	-0.00063221
-399.78310475	-0.00063138
-399.74977149	-0.00058998
-399.71643823	-0.00060672
-399.68310497	-0.00043422
-399.64977171	-0.00044875
-399.61643845	-0.00039263
-399.58310519	-0.00037814
-399.54977193	-0.00036814
-399.51643867	-0.00032686
-399.48310541	-0.00033156
-399.44977215	-0.00036730
-399.41643889	-0.00035519
-399.38310563	-0.00037289
-399.34977237	-0.00026928
-399.31643911	-0.00033124
-399.28310585	-0.00026137
-399.24977259	-0.00029385
-399.21643933	-0.00019390
-399.18310607	-0.00020049
-399.14977281	-0.00024675
-399.11643955	-0.00030206
-399.08310629	-0.00042537
-399.04977303	-0.00034220
-399.01643977	-0.00043488
-398.98310651	-0.00039554
-398.94977325	-0.00036919
-398.91643999	-0.00055482
-398.88310673	-0.00058459
-398.84977347	-0.00058879
-398.81644021	-0.00062040
-398.78310695	-0.00052083
-398.74977369	-0.00064814
-398.71644043	-0.00059990
-398.68310717	-0.00051057
-398.64977391	-0.00060993
-398.61644065	-0.00056267
-398.58310739	-0.00051074
-398.54977413	-0.00052234
-398.51644087	-0.00058155
-398.48310761	-0.00045337
-398.44977435	-0.00046611
-398.41644109	-0.00043999
-398.38310783	-0.00050674
-398.34977457	-0.00045757
-398.31644131	-0.00054689
-398.28310805	-0.00055338
-398.24977479	-0.00058235
-398.21644153	-0.00054858
-398.18310827	-0.00047603
-398.14977501	-0.00049607
-398.11644175	-0.00060646
-398.08310849	-0.00056006
-398.04977523	-0.00061906
-398.01644197	-0.00064453
-397.98310871	-0.00053138
-397.94977545	-0.00050529
-397.91644219	-0.00053719
-397.88310893	-0.00048627
-397.84977567	-0.00045221
-397.81644241	-0.00042089
-397.78310915	-0.00040113
-397.74977589	-0.00035964
-397.71644263	-0.00041424
-397.68310937	-0.00020591
-397.64977611	-0.00041599
-397.61644285	-0.00019995
-397.58310959	-0.00019950
-397.54977633	-0.00006062
-397.51644307	-0.00004364
-397.48310981	-0.00010636
-397.44977655	-0.00005256
-397.41644329	-0.00006217
-397.38311003	-0.00006426
-397.34977677	0.00005409
-397.31644351	-0.00017621
-397.28311025	-0.00011036
-397.24977699	-0.00012961
-397.21644373	-0.00010304
-397.18311047	-0.00031069
-397.14977721	-0.00031963
-397.11644395	-0.00025849
-397.08311069	-0.00053402
-397.04977743	-0.00073745
-397.01644417	-0.00075761
-396.98311091	-0.00098202
-396.94977765	-0.00114650
-396.91644439	-0.00135754
-396.88311113	-0.00171414
-396.84977787	-0.00193174
-396.81644461	-0.00222125
-396.78311135	-0.00232380
-396.74977809	-0.00282733
-396.71644483	-0.00296510
-396.68311157	-0.00331657
-396.64977831	-0.00342432
-396.61644505	-0.00359700
-396.58311179	-0.00365404
-396.54977853	-0.00384076
-396.51644527	-0.00367098
-396.48311201	-0.00373042
-396.44977875	-0.00345592
-396.41644548	-0.00319132
-396.38311222	-0.00287315
-396.34977896	-0.00223732
-396.31644570	-0.00174639
-396.28311244	-0.00113595
-396.24977918	-0.00037672
-396.21644592	0.00032997
-396.18311266	0.00107592
-396.14977940	0.00167010
-396.11644614	0.00235244
-396.08311288	0.00285349
-396.04977962	0.00318126
-396.01644636	0.00339274
-395.98311310	0.00347585
-395.94977984	0.00326562
-395.91644658	0.00289458
-395.88311332	0.00221052
-395.84978006	0.00140250
-395.81644680	0.00046966
-395.78311354	-0.00066097
-395.74978028	-0.00206901
-395.71644702	-0.00332750
-395.68311376	-0.00455726
-395.64978050	-0.00613334
-395.61644724	-0.00724176
-395.58311398	-0.00836346
-395.54978072	-0.00936904
-395.51644746	-0.00993094
-395.48311420	-0.01066180
-395.44978094	-0.01086513
-395.41644768	-0.01081853
-395.38311442	-0.01062136
-395.34978116	-0.01027139
-395.31644790	-0.00971455
-395.28311464	-0.00880736
-395.24978138	-0.00788650
-395.21644812	-0.00706154
-395.18311486	-0.00596170
-395.14978160	-0.00511710
-395.11644834	-0.00388848
-395.08311508	-0.00297147
-395.04978182	-0.00198054
-395.01644856	-0.00089538
-394.98311530	0.00017468
-394.94978204	0.00129389
-394.91644878	0.00253072
-394.88311552	0.00357934
-394.84978226	0.00525372
-394.81644900	0.00699111
-394.78311574	0.00905151
-394.74978248	0.01126127
-394.71644922	0.01367288
-394.68311596	0.01644992
-394.64978270	0.01968548
-394.61644944	0.02304414
-394.58311618	0.02688293
-394.54978292	0.03096851
-394.51644966	0.03540387
-394.48311640	0.04011808
-394.44978314	0.04518530
-394.41644988	0.05060837
-394.38311662	0.05631083
-394.34978336	0.06212001
-394.31645010	0.06835972
-394.28311684	0.07484329
-394.24978358	0.08131285
-394.21645032	0.08812681
-394.18311706	0.09492101
-394.14978380	0.10148674
-394.11645054	0.10788074
-394.08311728	0.11392480
-394.04978402	0.11948109
-394.01645076	0.12401553
-393.98311750	0.12747653
-393.94978424	0.12935661
-393.91645098	0.12968100
-393.88311772	0.12771409
-393.84978446	0.12289270
-393.81645120	0.11526041
-393.78311794	0.10389717
-393.74978468	0.08883175
-393.71645142	0.06932921
-393.68311816	0.04509415
-393.64978490	0.01589740
-393.61645164	-0.01862518
-393.58311838	-0.05866138
-393.54978512	-0.10369874
-393.51645186	-0.15396362
-393.48311860	-0.20899600
-393.44978534	-0.26798521
-393.41645208	-0.33010704
-393.38311882	-0.39414370
-393.34978556	-0.45873357
-393.31645230	-0.52184480
-393.28311904	-0.58175396
-393.24978578	-0.63584591
-393.21645252	-0.68208420
-393.18311926	-0.71779076
-393.14978600	-0.74001538
-393.11645274	-0.74676192
-393.08311948	-0.73610070
-393.04978622	-0.70600898
-393.01645296	-0.65533716
-392.98311970	-0.58362567
-392.94978644	-0.49106408
-392.91645318	-0.37896890
-392.88311992	-0.24950855
-392.84978666	-0.10516334
-392.81645340	0.05015669
-392.78312014	0.21211848
-392.74978688	0.37549094
-392.71645362	0.53519733
-392.68312036	0.68569363
-392.64978710	0.82153573
-392.61645384	0.93733864
-392.58312058	1.02877846
-392.54978732	1.09186672
-392.51645406	1.12383916
-392.48312080	1.12313132
-392.44978754	1.08954474
-392.41645428	1.02396485
-392.38312102	0.92929254
-392.34978776	0.80888563
-392.31645449	0.66740877
-392.28312123	0.51082905
-392.24978797	0.34499880
-392.21645471	0.17653271
-392.18312145	0.01160976
-392.14978819	-0.14306510
-392.11645493	-0.28219066
-392.08312167	-0.40061882
-392.04978841	-0.49476625
-392.01645515	-0.56197020
-391.98312189	-0.60140326
-391.94978863	-0.61388391
