# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T11:17:43
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-15.54164431
0.00732602	-21.72562339
0.01465205	-29.23742898
0.02197807	-30.71745407
0.02930409	-40.74790793
0.03663012	-33.02793905
0.04395614	-35.01736996
0.05128216	-32.86965833
0.05860819	-36.06232955
0.06593421	-32.93318810
0.07326023	-44.59539516
0.08058626	-33.03061349
0.08791228	-38.27379588
0.09523830	-41.42588832
0.10256433	-39.27018391
0.10989035	-36.64402803
0.11721637	-42.80272298
0.12454240	-33.07558025
0.13186842	-37.63025833
0.13919445	-33.94233451
0.14652047	-37.03451623
0.15384649	-40.46761633
0.16117252	-39.73236022
0.16849854	-29.44738654
0.17582456	-25.73250623
0.18315059	-27.85439667
0.19047661	-27.65197987
0.19780263	-28.41707049
0.20512866	-27.73735607
0.21245468	-26.87973805
0.21978070	-23.58782757
0.22710673	-17.35424067
0.23443275	-16.89428581
0.24175877	-21.40756983
0.24908480	-21.11069971
0.25641082	-22.72572409
0.26373684	-22.93849329
0.27106287	-22.10140920
0.27838889	-18.14240770
0.28571491	-14.85921748
0.29304094	-15.11361880
0.30036696	-17.24034097
0.30769298	-18.80347750
0.31501901	-19.87314620
0.32234503	-18.49997175
0.32967105	-14.42065101
0.33699708	-12.67926015
0.34432310	-10.19710852
0.35164912	-9.19060768
0.35897515	-12.56911058
0.36630117	-15.83035155
0.37362719	-14.97429146
0.38095322	-13.28888425
0.38827924	-11.97657112
0.39560526	-8.31888091
0.40293129	-5.98306538
0.41025731	-8.89225020
0.41758334	-11.14362942
0.42490936	-10.96610504
0.43223538	-11.91936524
0.43956141	-11.29348730
0.44688743	-7.11761510
0.45421345	-3.43133879
0.46153948	-4.17223479
0.46886550	-6.07892914
0.47619152	-7.04590049
0.48351755	-9.46537332
0.49084357	-9.13003001
0.49816959	-7.02307392
0.50549562	-6.31646767
0.51282164	-2.56511805
0.52014766	-2.11859780
0.52747369	-6.20593189
0.53479971	-8.05911197
0.54212573	-7.66658765
0.54945176	-7.62713295
0.55677778	-7.62401160
0.56410380	-3.40473215
0.57142983	-0.16237334
0.57875585	-1.83681217
0.58608187	-4.37608512
0.59340790	-5.32420386
0.60073392	-6.91452769
0.60805994	-6.36078164
0.61538597	-3.33885870
0.62271199	-2.39676152
0.63003801	-0.95490335
0.63736404	-1.82030619
0.64469006	-5.15670322
0.65201608	-7.06097752
0.65934211	-6.49515016
0.66666813	-5.62459819
0.67399416	-4.24256376
0.68132018	-0.79736467
0.68864620	0.00000000
0.69597223	-3.54253738
0.70329825	-4.96797446
0.71062427	-5.16606178
0.71795030	-6.63170642
0.72527632	-5.55406186
0.73260234	-2.53554308
0.73992837	-0.84162727
0.74725439	-2.34607365
0.75458041	-4.85548947
0.76190644	-6.22445561
0.76923246	-7.99065377
0.77655848	-6.74160652
0.78388451	-5.29653978
0.79121053	-3.90246231
0.79853655	-1.26001455
0.80586258	-2.23121146
0.81318860	-5.61932231
0.82051462	-7.05566428
0.82784065	-6.69207942
0.83516667	-6.27626881
0.84249269	-5.19109788
0.84981872	-2.21580715
0.85714474	-2.07348460
0.86447076	-5.15216062
0.87179679	-6.28370330
0.87912281	-7.96267089
0.88644883	-9.08823957
0.89377486	-7.07865588
0.90110088	-4.88396678
0.90842690	-3.90292252
0.91575293	-4.23774098
0.92307895	-5.91062617
0.93040498	-7.87578190
0.93773100	-8.52155860
0.94505702	-7.95699601
0.95238305	-6.78685724
0.95970907	-5.41085038
0.96703509	-3.78157226
0.97436112	-5.57833315
0.98168714	-9.50997175
0.98901316	-10.18993682
0.99633919	-10.46124343
1.00366521	-10.63761292
1.01099123	-8.69884909
1.01831726	-6.73188697
1.02564328	-6.58315678
1.03296930	-9.13227974
1.04029533	-10.15194344
1.04762135	-11.32141112
1.05494737	-11.32648689
1.06227340	-9.04065181
1.06959942	-8.04231275
1.07692544	-7.53520184
1.08425147	-8.38114955
1.09157749	-11.20308438
1.09890351	-15.78562757
1.10622954	-13.76195738
1.11355556	-13.24070472
1.12088158	-11.74578327
1.12820761	-9.65154322
1.13553363	-9.39617142
1.14285965	-12.12553858
1.15018568	-13.83444017
1.15751170	-14.51018122
1.16483772	-16.76862196
1.17216375	-13.32068691
1.17948977	-10.95511297
1.18681579	-9.67513419
1.19414182	-11.73003515
1.20146784	-13.85943574
1.20879387	-16.04152722
1.21611989	-15.95645751
1.22344591	-15.54330393
1.23077194	-14.77551787
1.23809796	-13.48731258
1.24542398	-14.05620385
1.25275001	-15.28646833
1.26007603	-17.64498227
1.26740205	-18.26976306
1.27472808	-17.34371809
1.28205410	-16.02575470
1.28938012	-14.53481649
1.29670615	-14.36949501
1.30403217	-15.98871500
1.31135819	-18.16984914
1.31868422	-19.12854185
1.32601024	-18.97964054
1.33333626	-19.42943161
1.34066229	-17.45431456
1.34798831	-16.97806945
1.35531433	-18.95091041
1.36264036	-21.17536158
1.36996638	-22.59074893
1.37729240	-21.87874004
1.38461843	-21.87872628
1.39194445	-19.86696681
1.39927047	-19.07133216
1.40659650	-20.94007228
1.41392252	-23.42379597
1.42124854	-23.00288920
1.42857457	-24.00444081
1.43590059	-23.05477018
1.44322661	-22.03612429
1.45055264	-21.47677853
1.45787866	-22.51686731
1.46520469	-24.30990776
1.47253071	-26.02319867
1.47985673	-27.40315012
1.48718276	-26.75709496
1.49450878	-26.39595945
1.50183480	-24.94732145
1.50916083	-24.28748214
1.51648685	-25.72408364
1.52381287	-27.76828366
1.53113890	-28.56107698
1.53846492	-27.90127130
1.54579094	-27.67589927
1.55311697	-27.03863679
1.56044299	-27.21964748
1.56776901	-28.71875578
1.57509504	-30.96177525
1.58242106	-32.00880334
1.58974708	-32.96814398
1.59707311	-32.73366717
1.60439913	-32.32710376
1.61172515	-31.56953307
1.61905118	-32.60506593
1.62637720	-33.59475112
1.63370322	-33.74221903
1.64102925	-33.41290104
1.64835527	-33.19709223
1.65568129	-32.92308914
1.66300732	-36.30235881
1.67033334	-40.34699659
1.67765936	-39.49428627
1.68498539	-37.62081780
1.69231141	-37.24825873
1.69963743	-36.16468151
1.70696346	-36.01843407
1.71428948	-39.20227730
1.72161550	-44.21069166
1.72894153	-39.99240969
1.73626755	-39.64624202
1.74359358	-38.75270397
1.75091960	-37.97563029
1.75824562	-37.72967220
1.76557165	-38.13790855
1.77289767	-38.65841412
1.78022369	-39.76556986
1.78754972	-40.52397436
1.79487574	-41.04087963
1.80220176	-40.56226656
1.80952779	-40.69925410
1.81685381	-41.19825354
1.82417983	-41.77383095
1.83150586	-42.63685038
1.83883188	-43.08582316
1.84615790	-42.90652360
1.85348393	-43.05898707
1.86080995	-42.37686229
1.86813597	-44.00435266
1.87546200	-43.82638722
1.88278802	-43.83375525
1.89011404	-43.72910938
1.89744007	-44.17323418
1.90476609	-45.23683349
1.91209211	-46.41584218
1.91941814	-48.00754571
1.92674416	-47.47228080
1.93407018	-47.34290967
1.94139621	-47.93682862
1.94872223	-48.29983275
1.95604825	-48.62430565
1.96337428	-49.41180337
1.97070030	-49.92794066
1.97802632	-49.89031279
1.98535235	-49.23191144
1.99267837	-49.31127762
2.00000440	-50.45595741
2.00733042	-51.78576847
2.01465644	-53.26665199
2.02198247	-54.94072706
2.02930849	-55.67077777
2.03663451	-57.26029399
2.04396054	-56.47421501
2.05128656	-56.00149158
2.05861258	-58.07948379
2.06593861	-59.25303003
2.07326463	-62.94976538
2.08059065	-60.87590971
2.08791668	-61.63688218
2.09524270	-62.54440821
2.10256872	-65.17082620
2.10989475	-66.84738624
2.11722077	-69.38380322
2.12454679	-76.22504069
2.13187282	-75.67383523
2.13919884	-69.54083325
2.14652486	-65.16691748
2.15385089	-63.66915277
2.16117691	-62.95854693
2.16850293	-63.90221803
2.17582896	-66.54942807
2.18315498	-67.22376910
2.19048100	-64.57465079
2.19780703	-63.16454939
2.20513305	-63.93071152
2.21245907	-62.42899551
2.21978510	-62.78582213
2.22711112	-63.53296037
2.23443714	-65.60552783
2.24176317	-63.55459403
2.24908919	-61.52648075
2.25641522	-61.96404163
2.26374124	-60.82783552
2.27106726	-62.96677736
2.27839329	-61.82920202
2.28571931	-63.18625662
2.29304533	-63.53260016
2.30037136	-62.06814141
2.30769738	-62.63260924
2.31502340	-61.28417818
2.32234943	-61.87454680
2.32967545	-61.91247672
2.33700147	-63.45659648
2.34432750	-63.03661503
2.35165352	-64.44343437
2.35897954	-63.98775989
2.36630557	-66.86333618
2.37363159	-63.75465574
2.38095761	-64.80760886
2.38828364	-64.52063044
2.39560966	-66.24183630
2.40293568	-65.01354591
2.41026171	-66.03127584
2.41758773	-65.51050100
2.42491375	-66.09002571
2.43223978	-64.23373450
2.43956580	-63.30628423
2.44689182	-65.45467780
2.45421785	-65.29807817
2.46154387	-67.43921370
2.46886989	-64.51474506
2.47619592	-66.10397270
2.48352194	-66.49607495
2.49084796	-64.75103802
2.49817399	-65.60236264
2.50550001	-66.80185041
2.51282603	-68.02677264
2.52015206	-68.01522213
2.52747808	-65.21360225
2.53480411	-65.72324173
2.54213013	-66.93383746
2.54945615	-66.92506771
2.55678218	-66.97343186
2.56410820	-67.13523015
2.57143422	-65.75090944
2.57876025	-66.02654646
2.58608627	-67.43315373
2.59341229	-66.76857894
2.60073832	-67.72726648
2.60806434	-67.93842735
2.61539036	-66.34492484
2.62271639	-66.54560292
2.63004241	-67.04729985
2.63736843	-70.48977410
2.64469446	-67.41960912
2.65202048	-67.74691341
2.65934650	-67.53523060
2.66667253	-67.21408085
2.67399855	-68.99049479
2.68132457	-68.27075252
2.68865060	-68.41847458
2.69597662	-69.14123742
2.70330264	-67.53996463
2.71062867	-68.23643885
2.71795469	-68.34606461
2.72528071	-68.48371928
2.73260674	-66.69299305
2.73993276	-68.54632062
2.74725878	-69.62164861
2.75458481	-68.73577306
2.76191083	-72.43325431
2.76923685	-71.07670958
2.77656288	-68.82642244
2.78388890	-69.19402511
2.79121493	-70.04052124
2.79854095	-68.46684775
2.80586697	-68.42369718
2.81319300	-68.74758128
2.82051902	-70.01889683
2.82784504	-68.24974740
2.83517107	-67.63520739
2.84249709	-69.32416281
2.84982311	-70.78072077
2.85714914	-70.63127980
2.86447516	-69.41082286
2.87180118	-70.20158008
2.87912721	-72.21659712
2.88645323	-74.58690865
2.89377925	-74.29781935
2.90110528	-69.97718656
2.90843130	-68.58991479
2.91575732	-74.86574398
2.92308335	-72.32692912
2.93040937	-71.09706417
2.93773539	-73.58608802
2.94506142	-72.54763158
2.95238744	-69.94464720
2.95971346	-70.84667861
2.96703949	-71.03307636
2.97436551	-72.88248539
2.98169153	-71.19291126
2.98901756	-74.09008435
2.99634358	-71.12420105
3.00366960	-74.06232093
3.01099563	-76.60468188
3.01832165	-72.47521751
3.02564767	-74.24539775
3.03297370	-71.41766898
3.04029972	-85.60459903
3.04762574	-73.93163665
3.05495177	-75.52089364
3.06227779	-71.62784421
3.06960382	-78.02493374
3.07692984	-70.91696204
3.08425586	-77.66155976
3.09158189	-72.06612896
3.09890791	-85.68643227
3.10623393	-76.05718576
3.11355996	-80.43220956
3.12088598	-75.30366215
3.12821200	-74.13734538
3.13553803	-72.62648514
3.14286405	-80.30772076
3.15019007	-78.34330241
3.15751610	-78.00773528
3.16484212	-75.43930849
3.17216814	-74.67558752
3.17949417	-76.80156574
3.18682019	-78.88416023
3.19414621	-76.77349783
3.20147224	-78.19281073
3.20879826	-77.50530821
3.21612428	-77.21719919
3.22345031	-72.85269914
3.23077633	-75.42526603
3.23810235	-76.41310277
3.24542838	-94.79163232
3.25275440	-83.40376742
3.26008042	-75.24607076
3.26740645	-78.38626118
3.27473247	-79.34232888
3.28205849	-86.18070965
3.28938452	-72.85092364
3.29671054	-79.31233887
3.30403656	-74.34601060
3.31136259	-82.57422290
3.31868861	-73.36884787
3.32601464	-77.70791764
3.33334066	-74.38703552
3.34066668	-80.55458866
3.34799271	-77.66652603
3.35531873	-81.76517851
3.36264475	-75.95561342
3.36997078	-84.02018541
3.37729680	-75.73117776
3.38462282	-108.61483205
3.39194885	-78.78287876
3.39927487	-87.05685780
3.40660089	-81.21134336
3.41392692	-76.80359008
3.42125294	-82.70354341
3.42857896	-83.83478458
3.43590499	-76.11101890
3.44323101	-82.73189459
3.45055703	-80.82221788
3.45788306	-79.79029485
3.46520908	-81.54912117
3.47253510	-99.71654502
3.47986113	-76.50929553
3.48718715	-79.64073765
3.49451317	-84.29033224
3.50183920	-80.16476292
3.50916522	-73.91433895
3.51649124	-79.35084126
3.52381727	-80.05019541
3.53114329	-85.08413592
3.53846931	-81.89374945
3.54579534	-79.64181670
3.55312136	-87.07309622
3.56044738	-79.12732180
3.56777341	-99.63156536
3.57509943	-80.34387910
3.58242546	-85.04769705
3.58975148	-76.38458966
3.59707750	-87.27552360
3.60440353	-79.41988294
3.61172955	-80.33597631
3.61905557	-80.36235482
3.62638160	-90.22827577
3.63370762	-77.67380751
3.64103364	-79.96728508
3.64835967	-88.13742339
3.65568569	-76.25416000
3.66301171	-78.96578147
3.67033774	-88.76731109
3.67766376	-87.79716923
3.68498978	-80.98057355
3.69231581	-78.76311691
3.69964183	-85.82335865
3.70696785	-88.24480197
3.71429388	-87.81395788
3.72161990	-86.35243564
3.72894592	-86.58367506
3.73627195	-87.41284756
3.74359797	-78.83969183
3.75092399	-80.12962981
3.75825002	-88.15247425
3.76557604	-79.67246081
3.77290206	-83.76480836
3.78022809	-93.49519282
3.78755411	-81.88093104
3.79488013	-83.45767921
3.80220616	-86.06314335
3.80953218	-79.95606085
3.81685820	-81.18334556
3.82418423	-81.86314323
3.83151025	-87.99716255
3.83883627	-78.58033568
3.84616230	-76.67603421
3.85348832	-80.50489114
3.86081435	-102.58397206
3.86814037	-91.78729349
3.87546639	-83.37083263
3.88279242	-86.97807050
3.89011844	-75.32439140
3.89744446	-73.85278267
3.90477049	-87.73880470
3.91209651	-79.71124128
3.91942253	-78.97175685
3.92674856	-79.27847548
3.93407458	-91.87824723
3.94140060	-77.46789696
3.94872663	-77.60822090
3.95605265	-75.11548576
3.96337867	-80.22416301
3.97070470	-82.91422813
3.97803072	-102.79555890
3.98535674	-77.84183026
3.99268277	-85.56652080
4.00000879	-74.82421242
4.00733481	-80.34986279
4.01466084	-94.57182385
4.02198686	-88.37457900
4.02931288	-76.85388669
4.03663891	-78.97313438
4.04396493	-84.07535766
4.05129095	-89.58176359
4.05861698	-82.95799607
4.06594300	-89.40777917
4.07326902	-78.48845222
4.08059505	-86.10931583
4.08792107	-77.92831133
4.09524709	-80.88346620
4.10257312	-92.59401827
4.10989914	-86.07684178
4.11722517	-83.24907197
4.12455119	-82.17540795
4.13187721	-79.22005955
4.13920324	-88.31055207
4.14652926	-78.99761509
4.15385528	-84.39595152
4.16118131	-78.71649685
4.16850733	-81.52660755
4.17583335	-83.85581508
4.18315938	-81.17867356
4.19048540	-83.60265389
4.19781142	-93.13112033
4.20513745	-90.61373714
4.21246347	-90.31344257
4.21978949	-90.84900715
4.22711552	-80.06332842
4.23444154	-78.02290658
4.24176756	-92.79755947
4.24909359	-84.84771756
4.25641961	-88.40796972
4.26374563	-87.89367042
4.27107166	-80.13145465
4.27839768	-81.68050352
4.28572370	-77.83780047
4.29304973	-79.78773792
4.30037575	-84.68476774
4.30770177	-81.06273015
4.31502780	-82.12289727
4.32235382	-81.79304668
4.32967984	-88.05117458
4.33700587	-92.81894236
4.34433189	-89.39268494
4.35165791	-82.91103582
4.35898394	-78.82795139
4.36630996	-83.96522164
4.37363598	-85.03982687
4.38096201	-81.93033855
4.38828803	-87.62612392
4.39561406	-85.02993244
4.40294008	-85.08881015
4.41026610	-80.54035755
4.41759213	-81.93844300
4.42491815	-88.28629968
4.43224417	-85.74532438
4.43957020	-82.73530421
4.44689622	-81.12396581
4.45422224	-85.96553088
4.46154827	-89.01955536
4.46887429	-84.77903616
4.47620031	-91.38313681
4.48352634	-84.52828286
4.49085236	-79.83754642
4.49817838	-80.68507013
4.50550441	-77.74406237
4.51283043	-75.34420603
4.52015645	-86.53224566
4.52748248	-78.18691523
4.53480850	-75.88762232
4.54213452	-78.13310129
4.54946055	-77.95325992
4.55678657	-77.92180263
4.56411259	-87.32414995
4.57143862	-88.68481911
4.57876464	-82.01281609
4.58609066	-82.97295279
4.59341669	-86.79021324
4.60074271	-83.74475901
4.60806873	-90.29042353
4.61539476	-84.63397519
4.62272078	-82.82710014
4.63004680	-81.19613867
4.63737283	-83.58621993
4.64469885	-78.08309787
4.65202488	-85.71529691
4.65935090	-83.19366756
4.66667692	-80.48634808
4.67400295	-83.70778400
4.68132897	-84.15815618
4.68865499	-94.38578183
4.69598102	-85.08280020
4.70330704	-83.50462481
4.71063306	-88.59348548
4.71795909	-80.16985382
4.72528511	-84.51950100
4.73261113	-90.35413309
4.73993716	-93.48343720
4.74726318	-90.92903312
4.75458920	-85.22975687
4.76191523	-90.86008371
4.76924125	-90.72117586
4.77656727	-79.70450603
4.78389330	-77.76715437
4.79121932	-93.68876511
4.79854534	-81.81948250
4.80587137	-82.95062664
4.81319739	-87.78033861
4.82052341	-85.83688373
4.82784944	-87.17778983
4.83517546	-82.00067429
4.84250148	-79.16415355
4.84982751	-91.24147127
4.85715353	-97.35521935
4.86447955	-83.25981328
4.87180558	-83.75261135
4.87913160	-87.95499156
4.88645762	-77.94437179
4.89378365	-79.83584307
4.90110967	-80.42648078
4.90843569	-76.86897327
4.91576172	-79.03276260
4.92308774	-76.52778753
4.93041377	-80.70925901
4.93773979	-85.64378617
4.94506581	-83.33214742
4.95239184	-82.82541870
4.95971786	-87.50713459
4.96704388	-78.49520508
4.97436991	-84.13694330
4.98169593	-86.72349886
4.98902195	-79.73888435
4.99634798	-83.33938753
5.00367400	-77.41747439
5.01100002	-84.26291712
5.01832605	-79.58296327
5.02565207	-84.69370963
5.03297809	-95.71390186
5.04030412	-87.04943907
5.04763014	-89.05075270
5.05495616	-83.01589816
5.06228219	-80.01385567
5.06960821	-77.01132020
5.07693423	-81.88478780
5.08426026	-81.29760448
5.09158628	-98.47783257
5.09891230	-89.20310960
5.10623833	-82.76210698
5.11356435	-82.64249915
5.12089037	-84.79363460
5.12821640	-76.35518624
5.13554242	-89.18352772
5.14286844	-78.24899486
5.15019447	-82.18009643
5.15752049	-82.29373267
5.16484651	-81.50250483
5.17217254	-79.36442885
5.17949856	-85.09176005
5.18682459	-85.56958380
5.19415061	-98.09454576
5.20147663	-90.57953589
5.20880266	-97.97912666
5.21612868	-82.66593908
5.22345470	-77.10241421
5.23078073	-76.95710964
5.23810675	-79.11768953
5.24543277	-81.72909965
5.25275880	-84.05574792
5.26008482	-82.02568162
5.26741084	-85.90591810
5.27473687	-79.66112467
5.28206289	-101.43046011
5.28938891	-79.72161688
5.29671494	-77.49244557
5.30404096	-78.95538810
5.31136698	-86.01805289
5.31869301	-93.70605233
5.32601903	-80.78607279
5.33334505	-77.21320348
5.34067108	-85.32502824
5.34799710	-79.31988856
5.35532312	-84.36806508
5.36264915	-86.05232036
5.36997517	-89.60192514
5.37730119	-83.18313037
5.38462722	-91.93599576
5.39195324	-81.96843966
5.39927926	-82.76090348
5.40660529	-80.86284769
5.41393131	-78.59244237
5.42125733	-81.64088026
5.42858336	-89.63949028
5.43590938	-84.26802065
5.44323541	-81.38763225
5.45056143	-83.35632805
5.45788745	-80.44552427
5.46521348	-86.69579382
5.47253950	-82.87452391
5.47986552	-84.30378139
5.48719155	-86.35893958
5.49451757	-86.30694366
5.50184359	-92.89802433
5.50916962	-82.48304226
5.51649564	-78.10530236
5.52382166	-86.65630374
5.53114769	-87.81484976
5.53847371	-82.59963942
5.54579973	-81.19165525
5.55312576	-80.17618700
5.56045178	-86.07585517
5.56777780	-85.50668976
5.57510383	-87.20122295
5.58242985	-92.57515421
5.58975587	-91.75462391
5.59708190	-83.08549735
5.60440792	-85.21432001
5.61173394	-84.93667178
5.61905997	-81.63435233
5.62638599	-85.69006336
5.63371201	-93.63990751
5.64103804	-90.87681349
5.64836406	-85.82971431
5.65569008	-87.43993354
5.66301611	-88.30015038
5.67034213	-77.77658168
5.67766815	-81.22778117
5.68499418	-86.47525746
5.69232020	-85.16362462
5.69964622	-92.93852374
5.70697225	-99.73193484
5.71429827	-91.81625890
5.72162430	-80.52196845
5.72895032	-75.77463463
5.73627634	-76.71334707
5.74360237	-82.45197095
5.75092839	-89.14394041
5.75825441	-87.81366392
5.76558044	-84.26802785
5.77290646	-91.72377514
5.78023248	-80.24742504
5.78755851	-94.27191354
5.79488453	-81.33214562
5.80221055	-78.18085705
5.80953658	-77.36253055
5.81686260	-86.25586361
5.82418862	-80.05809606
5.83151465	-90.04034637
5.83884067	-80.97663754
5.84616669	-81.26249626
5.85349272	-82.95539457
5.86081874	-98.28827883
5.86814476	-94.48647111
5.87547079	-79.20643940
5.88279681	-76.49108768
5.89012283	-88.82506800
5.89744886	-78.63624136
5.90477488	-93.95807146
5.91210090	-82.83546220
5.91942693	-76.26308839
5.92675295	-75.52719966
5.93407897	-80.03363051
5.94140500	-87.15541291
5.94873102	-81.06336093
5.95605704	-80.61301651
5.96338307	-75.74430867
5.97070909	-81.83644652
5.97803512	-86.05943316
5.98536114	-80.39894772
5.99268716	-86.57196512
6.00001319	-84.20778847
6.00733921	-96.65265381
6.01466523	-84.70279370
6.02199126	-91.73456166
6.02931728	-84.13370456
6.03664330	-80.97407630
6.04396933	-91.45509815
6.05129535	-76.19278311
6.05862137	-74.54814677
6.06594740	-82.42872365
6.07327342	-92.44605375
6.08059944	-94.15673302
6.08792547	-84.23277866
6.09525149	-77.59490742
6.10257751	-79.52921238
6.10990354	-77.57281363
6.11722956	-75.07266151
6.12455558	-78.62651912
6.13188161	-81.11030997
6.13920763	-86.12639965
6.14653365	-88.15056568
6.15385968	-85.87801671
6.16118570	-83.19278495
6.16851172	-85.07555493
6.17583775	-77.39557535
6.18316377	-79.03211592
6.19048979	-89.30016132
6.19781582	-81.68507645
6.20514184	-85.78319950
6.21246786	-79.07733409
6.21979389	-84.21674812
6.22711991	-78.41971253
6.23444593	-78.78187274
6.24177196	-81.61344091
6.24909798	-92.00751935
6.25642401	-87.07156390
6.26375003	-87.22778623
6.27107605	-93.70069485
6.27840208	-83.84472493
6.28572810	-85.87773537
6.29305412	-90.83367464
6.30038015	-85.22609549
6.30770617	-80.39200615
6.31503219	-90.68645526
6.32235822	-77.53773390
6.32968424	-77.42283223
6.33701026	-78.07185686
6.34433629	-82.03919750
6.35166231	-86.45778931
6.35898833	-98.56074377
6.36631436	-81.94932145
6.37364038	-83.19221044
6.38096640	-82.21131792
6.38829243	-80.75730439
6.39561845	-91.29130590
6.40294447	-85.95489610
6.41027050	-78.94309384
6.41759652	-79.17490695
6.42492254	-85.40236593
6.43224857	-83.04052571
6.43957459	-87.02110847
6.44690061	-81.34473733
6.45422664	-82.68013243
6.46155266	-79.00446172
6.46887868	-78.89094358
6.47620471	-75.52181358
6.48353073	-84.47748389
6.49085675	-75.71352413
6.49818278	-81.13573038
6.50550880	-81.30952423
6.51283483	-88.88396752
6.52016085	-75.01600475
6.52748687	-83.85019710
6.53481290	-84.45756154
6.54213892	-93.30322610
6.54946494	-80.11910526
6.55679097	-77.30890131
6.56411699	-73.68690396
6.57144301	-72.44722853
6.57876904	-77.75197435
6.58609506	-78.20603534
6.59342108	-78.08570673
6.60074711	-87.64919689
6.60807313	-89.73488148
