# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T11:14:40
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.34953797	0.00000000
-402.31620472	0.00000015
-402.28287147	0.00000063
-402.24953822	0.00000153
-402.21620497	0.00000291
-402.18287172	0.00000454
-402.14953847	0.00000644
-402.11620522	0.00000807
-402.08287197	0.00001098
-402.04953872	0.00001362
-402.01620547	0.00001379
-401.98287222	0.00001479
-401.94953897	0.00001339
-401.91620572	0.00001295
-401.88287247	0.00000930
-401.84953922	0.00000436
-401.81620597	-0.00000482
-401.78287272	-0.00001053
-401.74953947	-0.00001758
-401.71620622	-0.00002534
-401.68287297	-0.00004149
-401.64953972	-0.00006322
-401.61620648	-0.00006977
-401.58287323	-0.00009306
-401.54953998	-0.00011138
-401.51620673	-0.00012700
-401.48287348	-0.00015372
-401.44954023	-0.00017016
-401.41620698	-0.00018656
-401.38287373	-0.00022746
-401.34954048	-0.00021635
-401.31620723	-0.00025283
-401.28287398	-0.00025861
-401.24954073	-0.00023855
-401.21620748	-0.00025984
-401.18287423	-0.00023693
-401.14954098	-0.00024570
-401.11620773	-0.00020344
-401.08287448	-0.00017163
-401.04954123	-0.00011251
-401.01620798	-0.00004272
-400.98287473	0.00002706
-400.94954148	0.00011507
-400.91620823	0.00018737
-400.88287498	0.00028400
-400.84954173	0.00039261
-400.81620848	0.00043729
-400.78287523	0.00050170
-400.74954198	0.00055398
-400.71620873	0.00058833
-400.68287548	0.00059824
-400.64954223	0.00063255
-400.61620898	0.00058287
-400.58287573	0.00053672
-400.54954248	0.00049742
-400.51620923	0.00041438
-400.48287598	0.00029961
-400.44954273	0.00020440
-400.41620948	0.00010767
-400.38287624	-0.00002399
-400.34954299	-0.00012164
-400.31620974	-0.00022796
-400.28287649	-0.00032747
-400.24954324	-0.00040253
-400.21620999	-0.00051803
-400.18287674	-0.00054073
-400.14954349	-0.00061209
-400.11621024	-0.00058193
-400.08287699	-0.00055562
-400.04954374	-0.00061819
-400.01621049	-0.00062135
-399.98287724	-0.00057623
-399.94954399	-0.00048705
-399.91621074	-0.00052065
-399.88287749	-0.00040530
-399.84954424	-0.00039054
-399.81621099	-0.00038507
-399.78287774	-0.00037660
-399.74954449	-0.00038349
-399.71621124	-0.00038645
-399.68287799	-0.00027951
-399.64954474	-0.00022421
-399.61621149	-0.00024226
-399.58287824	-0.00018075
-399.54954499	-0.00022465
-399.51621174	-0.00020715
-399.48287849	-0.00018356
-399.44954524	-0.00012189
-399.41621199	-0.00020198
-399.38287874	-0.00027825
-399.34954549	-0.00032375
-399.31621224	-0.00029060
-399.28287899	-0.00032512
-399.24954574	-0.00035793
-399.21621249	-0.00037376
-399.18287924	-0.00048263
-399.14954599	-0.00057014
-399.11621275	-0.00047242
-399.08287950	-0.00071423
-399.04954625	-0.00078905
-399.01621300	-0.00080019
-398.98287975	-0.00094005
-398.94954650	-0.00094082
-398.91621325	-0.00093373
-398.88288000	-0.00106712
-398.84954675	-0.00126222
-398.81621350	-0.00124803
-398.78288025	-0.00126509
-398.74954700	-0.00133024
-398.71621375	-0.00139497
-398.68288050	-0.00143189
-398.64954725	-0.00144844
-398.61621400	-0.00157732
-398.58288075	-0.00170880
-398.54954750	-0.00172333
-398.51621425	-0.00183624
-398.48288100	-0.00183027
-398.44954775	-0.00187359
-398.41621450	-0.00193817
-398.38288125	-0.00190109
-398.34954800	-0.00198912
-398.31621475	-0.00211651
-398.28288150	-0.00201144
-398.24954825	-0.00202388
-398.21621500	-0.00221545
-398.18288175	-0.00223389
-398.14954850	-0.00230950
-398.11621525	-0.00240758
-398.08288200	-0.00244356
-398.04954875	-0.00239334
-398.01621550	-0.00234748
-397.98288225	-0.00245171
-397.94954900	-0.00240916
-397.91621575	-0.00245068
-397.88288251	-0.00259678
-397.84954926	-0.00252233
-397.81621601	-0.00256763
-397.78288276	-0.00236547
-397.74954951	-0.00247768
-397.71621626	-0.00256904
-397.68288301	-0.00246407
-397.64954976	-0.00253482
-397.61621651	-0.00250891
-397.58288326	-0.00258476
-397.54955001	-0.00243962
-397.51621676	-0.00249514
-397.48288351	-0.00252952
-397.44955026	-0.00259546
-397.41621701	-0.00269836
-397.38288376	-0.00276147
-397.34955051	-0.00279790
-397.31621726	-0.00278147
-397.28288401	-0.00300557
-397.24955076	-0.00307197
-397.21621751	-0.00330890
-397.18288426	-0.00341457
-397.14955101	-0.00357129
-397.11621776	-0.00378290
-397.08288451	-0.00413524
-397.04955126	-0.00426605
-397.01621801	-0.00459533
-396.98288476	-0.00478603
-396.94955151	-0.00508960
-396.91621826	-0.00528094
-396.88288501	-0.00564739
-396.84955176	-0.00583813
-396.81621851	-0.00596863
-396.78288526	-0.00606136
-396.74955201	-0.00606473
-396.71621876	-0.00603747
-396.68288551	-0.00596463
