# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T15:30:50
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-402.35029520	0.00000000
-402.31696175	0.00000088
-402.28362829	0.00000368
-402.25029483	0.00000844
-402.21696138	0.00001517
-402.18362792	0.00002600
-402.15029447	0.00003220
-402.11696101	0.00004219
-402.08362755	0.00005398
-402.05029410	0.00006080
-402.01696064	0.00006131
-401.98362719	0.00006502
-401.95029373	0.00005767
-401.91696027	0.00005080
-401.88362682	0.00003127
-401.85029336	-0.00000790
-401.81695991	-0.00001442
-401.78362645	-0.00007386
-401.75029299	-0.00010815
-401.71695954	-0.00017250
-401.68362608	-0.00024800
-401.65029263	-0.00031791
-401.61695917	-0.00043823
-401.58362571	-0.00046865
-401.55029226	-0.00055241
-401.51695880	-0.00066507
-401.48362535	-0.00072971
-401.45029189	-0.00085840
-401.41695843	-0.00093018
-401.38362498	-0.00106004
-401.35029152	-0.00111270
-401.31695807	-0.00117257
-401.28362461	-0.00126002
-401.25029115	-0.00119711
-401.21695770	-0.00122149
-401.18362424	-0.00115930
-401.15029079	-0.00107689
-401.11695733	-0.00095484
-401.08362387	-0.00084221
-401.05029042	-0.00054944
-401.01695696	-0.00035074
-400.98362351	-0.00008893
-400.95029005	0.00018794
-400.91695659	0.00048667
-400.88362314	0.00085464
-400.85028968	0.00107512
-400.81695623	0.00136126
-400.78362277	0.00140463
-400.75028931	0.00162083
-400.71695586	0.00171982
-400.68362240	0.00180004
-400.65028895	0.00173910
-400.61695549	0.00162019
-400.58362203	0.00134094
-400.55028858	0.00099215
-400.51695512	0.00082164
-400.48362167	0.00051751
-400.45028821	0.00010625
-400.41695475	-0.00018779
-400.38362130	-0.00033214
-400.35028784	-0.00073243
-400.31695439	-0.00102247
-400.28362093	-0.00143412
-400.25028747	-0.00138950
-400.21695402	-0.00157574
-400.18362056	-0.00167889
-400.15028711	-0.00175620
-400.11695365	-0.00186835
-400.08362019	-0.00169983
-400.05028674	-0.00166233
-400.01695328	-0.00159012
-399.98361983	-0.00159753
-399.95028637	-0.00158216
-399.91695291	-0.00144962
-399.88361946	-0.00141952
-399.85028600	-0.00139537
-399.81695255	-0.00130934
-399.78361909	-0.00112808
-399.75028563	-0.00125989
-399.71695218	-0.00128574
-399.68361872	-0.00122901
-399.65028527	-0.00110225
-399.61695181	-0.00128037
-399.58361835	-0.00133608
-399.55028490	-0.00131903
-399.51695144	-0.00122073
-399.48361799	-0.00133662
-399.45028453	-0.00136276
-399.41695107	-0.00129860
-399.38361762	-0.00127019
-399.35028416	-0.00132811
-399.31695071	-0.00142665
-399.28361725	-0.00147692
-399.25028379	-0.00140732
-399.21695034	-0.00154396
-399.18361688	-0.00149680
-399.15028343	-0.00161034
-399.11694997	-0.00164862
-399.08361651	-0.00171352
-399.05028306	-0.00164862
-399.01694960	-0.00174259
-398.98361615	-0.00179338
-398.95028269	-0.00185295
-398.91694923	-0.00192877
-398.88361578	-0.00183702
-398.85028232	-0.00192569
-398.81694887	-0.00197411
-398.78361541	-0.00188535
-398.75028195	-0.00200947
-398.71694850	-0.00201139
-398.68361504	-0.00206595
-398.65028159	-0.00215083
-398.61694813	-0.00213684
-398.58361467	-0.00208259
-398.55028122	-0.00212566
-398.51694776	-0.00214828
-398.48361431	-0.00215660
-398.45028085	-0.00223851
-398.41694739	-0.00213882
-398.38361394	-0.00226863
-398.35028048	-0.00222776
-398.31694703	-0.00238130
-398.28361357	-0.00237502
-398.25028011	-0.00223227
-398.21694666	-0.00251039
-398.18361320	-0.00216921
-398.15027975	-0.00227429
-398.11694629	-0.00227875
-398.08361283	-0.00215105
-398.05027938	-0.00222900
-398.01694592	-0.00228239
-397.98361247	-0.00238456
-397.95027901	-0.00247038
-397.91694555	-0.00223231
-397.88361210	-0.00233207
-397.85027864	-0.00237940
-397.81694519	-0.00239454
-397.78361173	-0.00236689
-397.75027827	-0.00242461
-397.71694482	-0.00249893
-397.68361136	-0.00244033
-397.65027791	-0.00259364
-397.61694445	-0.00250955
-397.58361099	-0.00249587
-397.55027754	-0.00257411
-397.51694408	-0.00273152
-397.48361063	-0.00266185
-397.45027717	-0.00268301
-397.41694371	-0.00283567
-397.38361026	-0.00290697
-397.35027680	-0.00299892
-397.31694335	-0.00308106
-397.28360989	-0.00321925
-397.25027643	-0.00335238
-397.21694298	-0.00351184
-397.18360952	-0.00371056
-397.15027607	-0.00391691
-397.11694261	-0.00393087
-397.08360915	-0.00436387
-397.05027570	-0.00453804
-397.01694224	-0.00469609
-396.98360879	-0.00478697
-396.95027533	-0.00514897
-396.91694187	-0.00550834
-396.88360842	-0.00567117
-396.85027496	-0.00567224
-396.81694151	-0.00588866
-396.78360805	-0.00586964
-396.75027459	-0.00593148
-396.71694114	-0.00584038
-396.68360768	-0.00576506
-396.65027423	-0.00550642
-396.61694077	-0.00521203
-396.58360731	-0.00466775
-396.55027386	-0.00405548
-396.51694040	-0.00340905
-396.48360695	-0.00276418
-396.45027349	-0.00198004
-396.41694004	-0.00103207
-396.38360658	-0.00028622
-396.35027312	0.00063791
-396.31693967	0.00136800
-396.28360621	0.00195962
-396.25027276	0.00244305
-396.21693930	0.00282137
-396.18360584	0.00309137
-396.15027239	0.00286514
-396.11693893	0.00269489
-396.08360548	0.00197257
-396.05027202	0.00129455
-396.01693856	0.00025314
-395.98360511	-0.00071440
-395.95027165	-0.00192960
-395.91693820	-0.00323133
-395.88360474	-0.00444383
-395.85027128	-0.00569884
-395.81693783	-0.00695244
-395.78360437	-0.00798391
-395.75027092	-0.00885451
-395.71693746	-0.00954499
-395.68360400	-0.00988529
-395.65027055	-0.01025532
-395.61693709	-0.01039816
-395.58360364	-0.01013792
-395.55027018	-0.00973135
-395.51693672	-0.00903585
-395.48360327	-0.00833812
-395.45026981	-0.00725414
-395.41693636	-0.00645760
-395.38360290	-0.00527440
-395.35026944	-0.00432924
-395.31693599	-0.00336427
-395.28360253	-0.00229848
-395.25026908	-0.00138674
-395.21693562	-0.00027837
-395.18360216	0.00079574
-395.15026871	0.00189522
-395.11693525	0.00311708
-395.08360180	0.00457943
-395.05026834	0.00586288
-395.01693488	0.00758214
-394.98360143	0.00953296
-394.95026797	0.01180543
-394.91693452	0.01437007
-394.88360106	0.01723866
-394.85026760	0.02043844
-394.81693415	0.02403398
-394.78360069	0.02805137
-394.75026724	0.03236112
-394.71693378	0.03703696
-394.68360032	0.04193524
-394.65026687	0.04734462
-394.61693341	0.05305246
-394.58359996	0.05892292
-394.55026650	0.06520880
-394.51693304	0.07172391
-394.48359959	0.07853756
-394.45026613	0.08551020
-394.41693268	0.09248292
-394.38359922	0.09944000
-394.35026576	0.10623785
-394.31693231	0.11290745
-394.28359885	0.11890920
-394.25026540	0.12433186
-394.21693194	0.12881842
-394.18359848	0.13179505
-394.15026503	0.13341881
-394.11693157	0.13298917
-394.08359812	0.13025358
-394.05026466	0.12453988
-394.01693120	0.11555620
-393.98359775	0.10296341
-393.95026429	0.08607120
-393.91693084	0.06489481
-393.88359738	0.03844927
-393.85026392	0.00674793
-393.81693047	-0.03016007
-393.78359701	-0.07277529
-393.75026356	-0.12110557
-393.71693010	-0.17423950
-393.68359664	-0.23228173
-393.65026319	-0.29438381
-393.61692973	-0.35946238
-393.58359628	-0.42644346
-393.55026282	-0.49327304
-393.51692936	-0.55876424
-393.48359591	-0.62047121
-393.45026245	-0.67569375
-393.41692900	-0.72198351
-393.38359554	-0.75711433
-393.35026208	-0.77802951
-393.31692863	-0.78266879
-393.28359517	-0.76864160
-393.25026172	-0.73415817
-393.21692826	-0.67821364
-393.18359480	-0.60030453
-393.15026135	-0.50140066
-393.11692789	-0.38207807
-393.08359444	-0.24450992
-393.05026098	-0.09226731
-393.01692752	0.07038532
-392.98359407	0.23996208
-392.95026061	0.41091675
-392.91692716	0.57675063
-392.88359370	0.73212720
-392.85026024	0.87230791
-392.81692679	0.99157324
-392.78359333	1.08497576
-392.75025988	1.14860783
-392.71692642	1.18030912
-392.68359296	1.17793647
-392.65025951	1.14166757
-392.61692605	1.07322353
-392.58359260	0.97450040
-392.55025914	0.84926804
-392.51692568	0.70311861
-392.48359223	0.54171052
-392.45025877	0.37055783
-392.41692532	0.19625677
-392.38359186	0.02630964
-392.35025840	-0.13309607
-392.31692495	-0.27706915
-392.28359149	-0.40077965
-392.25025804	-0.49941411
-392.21692458	-0.57106602
-392.18359112	-0.61495139
-392.15025767	-0.63135038
-392.11692421	-0.62270652
-392.08359076	-0.59205211
-392.05025730	-0.54382305
-392.01692384	-0.48261198
-391.98359039	-0.41360027
-391.95025693	-0.34201924
-391.91692348	-0.27174378
-391.88359002	-0.20659130
-391.85025656	-0.14964802
-391.81692311	-0.10255942
-391.78358965	-0.06583950
-391.75025620	-0.03939544
-391.71692274	-0.02244988
-391.68358928	-0.01356482
-391.65025583	-0.01050586
-391.61692237	-0.01115979
-391.58358892	-0.01334964
-391.55025546	-0.01575211
-391.51692200	-0.01642377
-391.48358855	-0.01445008
-391.45025509	-0.00990233
-391.41692164	-0.00240972
-391.38358818	0.00736357
-391.35025472	0.01822461
-391.31692127	0.02953158
-391.28358781	0.03999347
-391.25025436	0.04876217
-391.21692090	0.05524578
-391.18358744	0.05865908
-391.15025399	0.05920380
-391.11692053	0.05687453
-391.08358708	0.05244131
-391.05025362	0.04605482
-391.01692016	0.03905924
-390.98358671	0.03177430
-390.95025325	0.02490797
-390.91691980	0.01922470
-390.88358634	0.01477945
-390.85025288	0.01179974
-390.81691943	0.01028846
-390.78358597	0.01007881
-390.75025252	0.01062579
-390.71691906	0.01176156
-390.68358560	0.01305516
-390.65025215	0.01433755
-390.61691869	0.01494554
-390.58358524	0.01515076
-390.55025178	0.01465839
-390.51691832	0.01336109
-390.48358487	0.01163490
-390.45025141	0.00947609
-390.41691796	0.00689570
-390.38358450	0.00403141
-390.35025104	0.00100992
-390.31691759	-0.00198004
-390.28358413	-0.00493562
-390.25025068	-0.00774635
-390.21691722	-0.01046321
-390.18358376	-0.01268067
-390.15025031	-0.01466624
-390.11691685	-0.01601646
-390.08358340	-0.01708267
-390.05024994	-0.01744246
-390.01691648	-0.01713895
-389.98358303	-0.01636968
-389.95024957	-0.01498802
-389.91691612	-0.01315993
-389.88358266	-0.01107702
-389.85024920	-0.00881099
-389.81691575	-0.00643275
-389.78358229	-0.00408162
-389.75024884	-0.00199456
-389.71691538	-0.00003590
-389.68358192	0.00165727
-389.65024847	0.00318671
-389.61691501	0.00430066
-389.58358156	0.00511199
-389.55024810	0.00556912
-389.51691464	0.00581011
-389.48358119	0.00572821
-389.45024773	0.00519983
-389.41691428	0.00434885
-389.38358082	0.00297338
-389.35024736	0.00119075
-389.31691391	-0.00087164
-389.28358045	-0.00340502
-389.25024700	-0.00625669
-389.21691354	-0.00918413
-389.18358008	-0.01226530
-389.15024663	-0.01515185
-389.11691317	-0.01771574
-389.08357972	-0.01992255
-389.05024626	-0.02152245
-389.01691280	-0.02243460
-388.98357935	-0.02294025
-388.95024589	-0.02282755
-388.91691244	-0.02186145
-388.88357898	-0.02024934
-388.85024552	-0.01839799
-388.81691207	-0.01600218
-388.78357861	-0.01323547
-388.75024516	-0.01061287
-388.71691170	-0.00763680
-388.68357824	-0.00503145
-388.65024479	-0.00214191
-388.61691133	0.00041930
-388.58357788	0.00278699
-388.55024442	0.00491006
-388.51691096	0.00700906
-388.48357751	0.00853095
-388.45024405	0.01004062
-388.41691060	0.01144117
-388.38357714	0.01251378
-388.35024368	0.01350432
-388.31691023	0.01447414
-388.28357677	0.01521911
-388.25024332	0.01564434
-388.21690986	0.01600882
-388.18357640	0.01623868
-388.15024295	0.01629371
-388.11690949	0.01594449
-388.08357604	0.01554746
-388.05024258	0.01461475
-388.01690912	0.01348219
-387.98357567	0.01189529
-387.95024221	0.01014716
-387.91690876	0.00823532
-387.88357530	0.00630990
-387.85024184	0.00415232
-387.81690839	0.00195586
-387.78357493	-0.00002132
-387.75024148	-0.00182517
-387.71690802	-0.00320111
-387.68357456	-0.00445828
-387.65024111	-0.00528266
-387.61690765	-0.00579619
-387.58357420	-0.00585802
-387.55024074	-0.00569532
-387.51690728	-0.00522432
-387.48357383	-0.00459578
-387.45024037	-0.00390957
-387.41690692	-0.00306597
-387.38357346	-0.00215640
-387.35024000	-0.00149120
-387.31690655	-0.00082018
-387.28357309	-0.00011878
-387.25023964	0.00040548
-387.21690618	0.00093573
-387.18357272	0.00131768
-387.15023927	0.00163424
-387.11690581	0.00175833
-387.08357236	0.00186559
-387.05023890	0.00193048
-387.01690544	0.00210379
-386.98357199	0.00208522
-386.95023853	0.00179222
-386.91690508	0.00162746
-386.88357162	0.00158101
-386.85023816	0.00117575
-386.81690471	0.00100003
-386.78357125	0.00067760
-386.75023780	0.00048269
-386.71690434	0.00015539
-386.68357088	0.00007822
-386.65023743	0.00006757
-386.61690397	0.00010368
-386.58357052	0.00030171
-386.55023706	0.00075054
-386.51690360	0.00133372
-386.48357015	0.00200019
-386.45023669	0.00276210
-386.41690324	0.00366188
-386.38356978	0.00464492
-386.35023632	0.00563397
-386.31690287	0.00654585
-386.28356941	0.00732768
-386.25023596	0.00833101
-386.21690250	0.00907160
-386.18356904	0.00962436
-386.15023559	0.01024866
-386.11690213	0.01049340
-386.08356868	0.01064824
-386.05023522	0.01079751
-386.01690176	0.01065727
-385.98356831	0.01045583
-385.95023485	0.01000857
-385.91690140	0.00969283
-385.88356794	0.00916063
