# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T15:30:50
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-33.64438800
0.01465554	-31.14852029
0.02931108	-29.79727196
0.04396662	-31.09075849
0.05862216	-32.93754816
0.07327770	-36.53633887
0.08793324	-36.49376748
0.10258878	-38.67162953
0.11724432	-39.85106797
0.13189986	-32.06806343
0.14655540	-38.58963180
0.16121094	-34.55727663
0.17586648	-29.18600735
0.19052202	-24.08302171
0.20517755	-28.73120792
0.21983309	-22.69534411
0.23448863	-17.85974349
0.24914417	-18.08025743
0.26379971	-22.52710527
0.27845525	-19.38027077
0.29311079	-14.32479950
0.30776633	-13.98482982
0.32242187	-17.48906079
0.33707741	-13.98990018
0.35173295	-8.56887602
0.36638849	-8.98168092
0.38104403	-13.60095298
0.39569957	-10.58913503
0.41035511	-6.08758058
0.42501065	-6.19599456
0.43966619	-10.35543632
0.45432173	-7.29816638
0.46897727	-2.83496299
0.48363281	-2.92289236
0.49828835	-8.02146865
0.51294389	-6.28644903
0.52759943	-2.34839037
0.54225497	-2.35555788
0.55691051	-7.41687454
0.57156605	-4.63789319
0.58622158	-0.23842835
0.60087712	-0.80022240
0.61553266	-5.53881779
0.63018820	-4.78476070
0.64484374	-0.91176657
0.65949928	-1.25903317
0.67415482	-5.64472820
0.68881036	-4.24511369
0.70346590	0.00000000
0.71812144	-0.87632425
0.73277698	-6.07673175
0.74743252	-4.79059003
0.76208806	-1.58740059
0.77674360	-2.43199643
0.79139914	-7.00792902
0.80605468	-4.71476916
0.82071022	-1.52798735
0.83536576	-2.37365254
0.85002130	-7.26344453
0.86467684	-5.24955344
0.87933238	-2.64920004
0.89398792	-4.17927413
0.90864346	-8.72520782
0.92329900	-5.74606262
0.93795454	-3.12503028
0.95261008	-4.99089164
0.96726562	-9.29912770
0.98192115	-7.20489283
0.99657669	-5.79639328
1.01123223	-7.96529464
1.02588777	-11.66425758
1.04054331	-8.07803456
1.05519885	-6.27923854
1.06985439	-8.70426502
1.08450993	-12.26597811
1.09916547	-9.89769560
1.11382101	-9.16734729
1.12847655	-11.96146681
1.14313209	-13.64335487
1.15778763	-11.05654627
1.17244317	-10.66725804
1.18709871	-12.87575143
1.20175425	-14.63070158
1.21640979	-12.10430801
1.23106533	-13.12481154
1.24572087	-17.23833459
1.26037641	-16.60249362
1.27503195	-14.14279908
1.28968749	-15.01253319
1.30434303	-18.91311565
1.31899857	-16.93357553
1.33365411	-16.45154750
1.34830965	-19.28385414
1.36296518	-22.42127778
1.37762072	-19.98625058
1.39227626	-19.10535093
1.40693180	-22.28341191
1.42158734	-23.43671399
1.43624288	-20.97494980
1.45089842	-21.92711330
1.46555396	-26.33092014
1.48020950	-26.59385745
1.49486504	-24.85702565
1.50952058	-25.97004750
1.52417612	-28.85733635
1.53883166	-27.08015557
1.55348720	-26.87872980
1.56814274	-30.52726864
1.58279828	-32.45645642
1.59745382	-32.14806154
1.61210936	-32.58336726
1.62676490	-34.41102531
1.64142044	-33.40091874
1.65607598	-33.34780670
1.67073152	-37.73318084
1.68538706	-37.46503970
1.70004260	-36.11211341
1.71469814	-38.56318256
1.72935368	-40.84728497
1.74400921	-38.64462701
1.75866475	-37.68947043
1.77332029	-38.83999878
1.78797583	-40.62795394
1.80263137	-40.54210659
1.81728691	-40.90126610
1.83194245	-42.84552829
1.84659799	-43.01940146
1.86125353	-42.71914790
1.87590907	-43.33342003
1.89056461	-43.79120929
1.90522015	-44.88956725
1.91987569	-47.36442168
1.93453123	-47.81671677
1.94918677	-47.85564756
1.96384231	-48.93652999
1.97849785	-49.67350019
1.99315339	-49.45020781
2.00780893	-50.77068663
2.02246447	-54.16381819
2.03712001	-56.24948829
2.05177555	-57.65949416
2.06643109	-58.42986518
2.08108663	-61.25729981
2.09574217	-62.31038255
2.11039771	-67.05634232
2.12505325	-77.87412611
2.13970878	-72.43341889
2.15436432	-63.42821855
2.16901986	-63.21464040
2.18367540	-64.92289812
2.19833094	-64.27083698
2.21298648	-62.73675180
2.22764202	-62.71244691
2.24229756	-63.32851551
2.25695310	-61.86879552
2.27160864	-61.15407564
2.28626418	-60.93311747
2.30091972	-62.33878307
2.31557526	-62.61494993
2.33023080	-61.94424750
2.34488634	-62.17691410
2.35954188	-62.73737931
2.37419742	-64.43395323
2.38885296	-64.35322731
2.40350850	-63.37228439
2.41816404	-64.67411999
2.43281958	-64.59951644
2.44747512	-64.70596463
2.46213066	-65.04198397
2.47678620	-64.92809459
2.49144174	-66.29750990
2.50609728	-66.40510106
2.52075281	-66.39723814
2.53540835	-66.35826830
2.55006389	-67.00494251
2.56471943	-67.39714279
2.57937497	-66.19411582
2.59403051	-65.78224240
2.60868605	-66.18532117
2.62334159	-65.32407399
2.63799713	-66.84729201
2.65265267	-68.10603245
2.66730821	-68.20976441
2.68196375	-67.99235974
2.69661929	-68.29568716
2.71127483	-68.24967173
2.72593037	-67.68632228
2.74058591	-69.97645240
2.75524145	-68.30436264
2.76989699	-69.92919192
2.78455253	-69.55540188
2.79920807	-69.85042350
2.81386361	-72.52949455
2.82851915	-70.39237743
2.84317469	-71.40290242
2.85783023	-69.45536345
2.87248577	-69.54128402
2.88714131	-70.59106338
2.90179685	-70.03420081
2.91645238	-71.43847887
2.93110792	-73.23476541
2.94576346	-71.01532117
2.96041900	-70.64822043
2.97507454	-73.32038528
2.98973008	-71.70533285
3.00438562	-72.42480425
3.01904116	-72.99396493
3.03369670	-75.21103283
3.04835224	-79.49267601
3.06300778	-75.30702546
