# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -402.50000000 ps, Average over 1000 waveforms. Timestamp: 2024-05-06T11:14:40
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-23.98656296
0.00732603	-32.21993162
0.01465205	-29.42653191
0.02197808	-28.94959551
0.02930410	-33.01267573
0.03663013	-32.46323685
0.04395615	-34.74272308
0.05128218	-31.89628335
0.05860821	-33.95954823
0.06593423	-35.17113316
0.07326026	-38.95713567
0.08058628	-36.72781822
0.08791231	-35.50476547
0.09523833	-43.75916932
0.10256436	-41.08728314
0.10989039	-47.73360184
0.11721641	-38.80475575
0.12454244	-32.17492880
0.13186846	-38.26734044
0.13919449	-34.87932459
0.14652051	-38.61534538
0.15384654	-38.10556318
0.16117257	-40.36818003
0.16849859	-34.39254432
0.17582462	-28.92763655
0.18315064	-26.92368227
0.19047667	-27.42239823
0.19780269	-27.66373794
0.20512872	-29.72912272
0.21245475	-29.76950086
0.21978077	-27.13890721
0.22710680	-22.41405840
0.23443282	-18.69077510
0.24175885	-19.19095744
0.24908487	-20.88608954
0.25641090	-23.02025077
0.26373693	-23.69292691
0.27106295	-24.94371177
0.27838898	-22.24678428
0.28571500	-19.99535302
0.29304103	-15.96239397
0.30036705	-14.28358929
0.30769308	-16.96375436
0.31501911	-19.12707993
0.32234513	-19.98279912
0.32967116	-17.40855864
0.33699718	-17.31480310
0.34432321	-15.71458482
0.35164923	-8.75460336
0.35897526	-8.44779516
0.36630128	-13.65004146
0.37362731	-14.03741601
0.38095334	-14.52837905
0.38827936	-15.39198984
0.39560539	-13.65999328
0.40293141	-10.50911896
0.41025744	-7.86735273
0.41758346	-6.92005815
0.42490949	-8.12154850
0.43223552	-11.17454319
0.43956154	-12.95089848
0.44688757	-10.75217018
0.45421359	-9.29332225
0.46153962	-8.66305250
0.46886564	-4.30247657
0.47619167	-2.31780641
0.48351770	-6.17257083
0.49084372	-8.25588725
0.49816975	-9.07848310
0.50549577	-10.49924313
0.51282180	-8.96896438
0.52014782	-6.11117853
0.52747385	-4.30817530
0.53479988	-3.11669711
0.54212590	-4.21664795
0.54945193	-7.14062523
0.55677795	-10.23836134
0.56410398	-8.66358565
0.57143000	-6.88255009
0.57875603	-5.38183624
0.58608206	-2.02295283
0.59340808	-0.21898703
0.60073411	-3.67555099
0.60806013	-6.05912346
0.61538616	-6.42040605
0.62271218	-8.24874907
0.63003821	-7.59614876
0.63736424	-4.63199422
0.64469026	-2.68633286
0.65201629	-1.93973272
0.65934231	-3.38425680
0.66666834	-5.84657423
0.67399436	-7.95405430
0.68132039	-7.50573292
0.68864642	-6.43293283
0.69597244	-5.46122629
0.70329847	-1.57603715
0.71062449	0.00000000
0.71795052	-4.06219818
0.72527654	-6.37626507
0.73260257	-7.14101717
0.73992860	-7.96844043
0.74725462	-7.98599801
0.75458065	-6.05217066
0.76190667	-2.74429997
0.76923270	-3.22657864
0.77655872	-4.88002373
0.78388475	-7.20082052
0.79121078	-9.25414660
0.79853680	-8.28606727
0.80586283	-7.01143572
0.81318885	-6.01272405
0.82051488	-3.21597142
0.82784090	-2.27985512
0.83516693	-5.12614532
0.84249296	-7.82105948
0.84981898	-8.50924290
0.85714501	-8.90313583
0.86447103	-8.78836801
0.87179706	-5.98786294
0.87912308	-3.96860869
0.88644911	-5.26527019
0.89377514	-6.91254325
0.90110116	-8.82445417
0.90842719	-10.71895963
0.91575321	-10.14751435
0.92307924	-8.28732132
0.93040526	-6.63982026
0.93773129	-4.86161236
0.94505732	-5.30686908
0.95238334	-7.94509209
0.95970937	-10.31694714
0.96703539	-10.70638078
0.97436142	-10.86412906
0.98168744	-11.25508694
0.98901347	-8.52345610
0.99633950	-7.27448123
1.00366552	-9.24223211
1.01099155	-11.16989690
1.01831757	-12.73244690
1.02564360	-12.96988277
1.03296962	-13.23806441
1.04029565	-11.04294798
1.04762168	-9.12503116
1.05494770	-8.42375501
1.06227373	-9.14116037
1.06959975	-12.32265288
1.07692578	-14.04661266
1.08425180	-14.00167432
1.09157783	-14.06294571
1.09890385	-15.91818455
1.10622988	-11.69970332
1.11355591	-11.55814791
1.12088193	-13.69606906
1.12820796	-15.35342935
1.13553398	-15.82952156
1.14286001	-16.37652281
1.15018603	-15.70045745
1.15751206	-14.31900947
1.16483809	-15.24652626
1.17216411	-13.45742382
1.17949014	-14.68659958
1.18681616	-15.75015025
1.19414219	-17.59049272
1.20146821	-17.37354654
1.20879424	-17.16533675
1.21612027	-15.23786232
1.22344629	-14.77688745
1.23077232	-16.85852822
1.23809834	-18.74047873
1.24542437	-20.06107210
1.25275039	-19.96180092
1.26007642	-20.18283720
1.26740245	-18.69840598
1.27472847	-16.56736135
1.28205450	-16.75368852
1.28938052	-18.83326135
1.29670655	-20.53693223
1.30403257	-21.15399546
1.31135860	-21.47447118
1.31868463	-20.80031875
1.32601065	-19.25104016
1.33333668	-19.80586320
1.34066270	-20.51492688
1.34798873	-22.74081410
1.35531475	-24.92784218
1.36264078	-25.45537367
1.36996681	-24.84042296
1.37729283	-23.03078090
1.38461886	-22.70702476
1.39194488	-22.07665306
1.39927091	-23.63198827
1.40659693	-26.28388838
1.41392296	-28.62366711
1.42124899	-26.77252210
1.42857501	-25.98300198
1.43590104	-24.28737921
1.44322706	-24.10671809
1.45055309	-25.84004187
1.45787911	-28.17861761
1.46520514	-29.55209197
1.47253117	-30.50116635
1.47985719	-30.92802599
1.48718322	-28.86984249
1.49450924	-28.30263618
1.50183527	-28.53740032
1.50916129	-29.43146398
1.51648732	-31.30923815
1.52381335	-32.46445557
1.53113937	-31.97837036
1.53846540	-30.59468528
1.54579142	-30.38282231
1.55311745	-30.95458608
1.56044347	-32.33786017
1.56776950	-33.99787675
1.57509553	-36.08925386
1.58242155	-36.78744359
1.58974758	-36.51588512
1.59707360	-36.04586055
1.60439963	-36.68442663
1.61172565	-36.98312645
1.61905168	-37.90721712
1.62637771	-37.87162669
1.63370373	-37.69796002
1.64102976	-37.41980520
1.64835578	-37.13067634
1.65568181	-36.62250733
1.66300783	-40.65568606
1.67033386	-45.16953845
1.67765989	-44.94917864
1.68498591	-42.23865021
1.69231194	-41.08713601
1.69963796	-40.12777228
1.70696399	-40.24930301
1.71429001	-43.23469145
1.72161604	-49.07174412
1.72894207	-44.39193836
1.73626809	-44.12773102
1.74359412	-43.32425076
1.75092014	-41.78297235
