# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -620.50000000 ps, Average over 5000 waveforms. Timestamp: 2023-05-25T15:13:42
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-620.48260975	0.00000000
-620.44927671	0.00000003
-620.41594366	0.00000011
-620.38261062	0.00000027
-620.34927757	0.00000042
-620.31594453	0.00000067
-620.28261148	0.00000085
-620.24927844	0.00000103
-620.21594539	0.00000106
-620.18261235	0.00000130
-620.14927930	0.00000138
-620.11594626	0.00000044
-620.08261321	0.00000065
-620.04928017	0.00000030
-620.01594712	-0.00000019
-619.98261408	-0.00000241
-619.94928103	-0.00000273
-619.91594799	-0.00000422
-619.88261494	-0.00000523
-619.84928190	-0.00000720
-619.81594885	-0.00000833
-619.78261581	-0.00001014
-619.74928276	-0.00001181
-619.71594972	-0.00001257
-619.68261668	-0.00001355
-619.64928363	-0.00001265
-619.61595059	-0.00001062
-619.58261754	-0.00001283
-619.54928450	-0.00000942
-619.51595145	-0.00000816
-619.48261841	-0.00000239
-619.44928536	-0.00000230
-619.41595232	0.00000266
-619.38261927	0.00000657
-619.34928623	0.00000992
-619.31595318	0.00001744
-619.28262014	0.00002459
-619.24928709	0.00003461
-619.21595405	0.00004061
-619.18262100	0.00005479
-619.14928796	0.00006205
-619.11595491	0.00006971
-619.08262187	0.00008057
-619.04928882	0.00008717
-619.01595578	0.00010070
-618.98262273	0.00011063
-618.94928969	0.00011991
-618.91595664	0.00013078
-618.88262360	0.00015175
-618.84929055	0.00015869
-618.81595751	0.00016893
-618.78262446	0.00017067
-618.74929142	0.00017695
-618.71595837	0.00018581
-618.68262533	0.00019085
-618.64929228	0.00020438
-618.61595924	0.00019878
-618.58262619	0.00021046
-618.54929315	0.00021705
-618.51596010	0.00019092
-618.48262706	0.00020620
-618.44929401	0.00019394
-618.41596097	0.00018654
-618.38262792	0.00017591
-618.34929488	0.00014853
-618.31596183	0.00013840
-618.28262879	0.00012268
-618.24929574	0.00009970
-618.21596270	0.00007124
-618.18262965	0.00002925
-618.14929661	0.00001164
-618.11596356	-0.00001006
-618.08263052	-0.00003244
-618.04929747	-0.00006738
-618.01596443	-0.00011390
-617.98263138	-0.00010555
-617.94929834	-0.00014271
-617.91596529	-0.00019637
-617.88263225	-0.00020363
-617.84929920	-0.00024665
-617.81596616	-0.00024590
-617.78263311	-0.00026324
-617.74930007	-0.00029408
-617.71596702	-0.00031254
-617.68263398	-0.00032084
-617.64930093	-0.00031419
-617.61596789	-0.00036012
-617.58263484	-0.00034697
-617.54930180	-0.00035683
-617.51596875	-0.00037435
-617.48263571	-0.00037432
-617.44930266	-0.00035332
-617.41596962	-0.00035942
-617.38263657	-0.00034013
-617.34930353	-0.00031568
-617.31597048	-0.00028619
-617.28263744	-0.00027204
-617.24930439	-0.00027411
-617.21597135	-0.00022582
-617.18263831	-0.00020718
-617.14930526	-0.00018190
-617.11597222	-0.00014331
-617.08263917	-0.00009879
-617.04930613	-0.00007152
-617.01597308	-0.00003058
-616.98264004	-0.00002257
-616.94930699	0.00004735
-616.91597395	0.00003707
-616.88264090	0.00004779
-616.84930786	0.00007302
-616.81597481	0.00004534
-616.78264177	0.00008087
-616.74930872	0.00011016
-616.71597568	0.00010132
-616.68264263	0.00007688
-616.64930959	0.00008797
-616.61597654	0.00012898
-616.58264350	0.00008344
-616.54931045	0.00007215
-616.51597741	0.00012387
-616.48264436	0.00012943
-616.44931132	0.00015156
-616.41597827	0.00011274
-616.38264523	0.00010830
-616.34931218	0.00009927
-616.31597914	0.00008434
-616.28264609	0.00005169
-616.24931305	0.00008104
-616.21598000	0.00004878
-616.18264696	0.00004847
-616.14931391	0.00001363
-616.11598087	0.00001670
-616.08264782	-0.00001004
-616.04931478	-0.00005541
-616.01598173	-0.00008785
-615.98264869	-0.00008703
-615.94931564	-0.00008942
-615.91598260	-0.00012448
-615.88264955	-0.00017490
-615.84931651	-0.00011411
-615.81598346	-0.00015857
-615.78265042	-0.00017531
-615.74931737	-0.00019562
-615.71598433	-0.00018430
-615.68265128	-0.00017866
-615.64931824	-0.00018091
-615.61598519	-0.00020805
-615.58265215	-0.00023008
-615.54931910	-0.00020906
-615.51598606	-0.00025139
-615.48265301	-0.00028937
-615.44931997	-0.00030056
-615.41598692	-0.00029406
-615.38265388	-0.00028397
-615.34932083	-0.00032111
-615.31598779	-0.00030725
-615.28265474	-0.00028569
-615.24932170	-0.00030749
-615.21598865	-0.00028138
-615.18265561	-0.00033146
-615.14932256	-0.00031970
-615.11598952	-0.00027926
-615.08265647	-0.00029194
-615.04932343	-0.00028089
-615.01599038	-0.00020468
-614.98265734	-0.00019526
-614.94932429	-0.00014443
-614.91599125	-0.00011468
-614.88265820	-0.00006480
-614.84932516	-0.00000381
-614.81599211	0.00004265
-614.78265907	0.00007265
-614.74932602	0.00012345
-614.71599298	0.00018495
-614.68265994	0.00026107
-614.64932689	0.00040358
-614.61599385	0.00050121
-614.58266080	0.00063473
-614.54932776	0.00076300
-614.51599471	0.00089729
-614.48266167	0.00101836
-614.44932862	0.00116458
-614.41599558	0.00135915
-614.38266253	0.00155484
-614.34932949	0.00180071
-614.31599644	0.00200330
-614.28266340	0.00227900
-614.24933035	0.00256035
-614.21599731	0.00286810
-614.18266426	0.00317039
-614.14933122	0.00345312
-614.11599817	0.00379078
-614.08266513	0.00414006
-614.04933208	0.00442247
-614.01599904	0.00466412
-613.98266599	0.00484828
-613.94933295	0.00488874
-613.91599990	0.00477724
-613.88266686	0.00445055
-613.84933381	0.00384280
-613.81600077	0.00285487
-613.78266772	0.00143297
-613.74933468	-0.00055800
-613.71600163	-0.00311688
-613.68266859	-0.00628281
-613.64933554	-0.01002664
-613.61600250	-0.01429976
-613.58266945	-0.01875974
-613.54933641	-0.02330956
-613.51600336	-0.02761113
-613.48267032	-0.03113583
-613.44933727	-0.03359022
-613.41600423	-0.03467942
-613.38267118	-0.03421158
-613.34933814	-0.03199038
-613.31600509	-0.02824812
-613.28267205	-0.02314752
-613.24933900	-0.01706296
-613.21600596	-0.01031328
-613.18267291	-0.00321815
-613.14933987	0.00386942
-613.11600682	0.01077474
-613.08267378	0.01710380
-613.04934073	0.02247733
-613.01600769	0.02661121
-612.98267464	0.02905069
-612.94934160	0.02952835
-612.91600855	0.02823472
-612.88267551	0.02524170
-612.84934246	0.02112741
-612.81600942	0.01631233
-612.78267637	0.01113794
-612.74934333	0.00604241
-612.71601028	0.00127177
-612.68267724	-0.00291770
-612.64934419	-0.00617211
-612.61601115	-0.00817677
-612.58267810	-0.00884329
-612.54934506	-0.00824387
-612.51601201	-0.00658303
-612.48267897	-0.00443252
-612.44934592	-0.00219897
-612.41601288	-0.00023915
-612.38267983	0.00133189
-612.34934679	0.00241290
-612.31601374	0.00311083
-612.28268070	0.00343127
-612.24934765	0.00322549
-612.21601461	0.00273065
-612.18268157	0.00178510
-612.14934852	0.00065269
-612.11601548	-0.00055370
-612.08268243	-0.00171381
-612.04934939	-0.00262037
-612.01601634	-0.00335197
-611.98268330	-0.00376313
-611.94935025	-0.00391607
-611.91601721	-0.00389230
-611.88268416	-0.00368736
-611.84935112	-0.00336653
-611.81601807	-0.00291622
-611.78268503	-0.00242294
-611.74935198	-0.00185385
-611.71601894	-0.00131597
-611.68268589	-0.00077882
-611.64935285	-0.00042103
-611.61601980	-0.00004815
-611.58268676	0.00008838
-611.54935371	0.00010789
-611.51602067	0.00000466
-611.48268762	-0.00022900
-611.44935458	-0.00056214
-611.41602153	-0.00095932
-611.38268849	-0.00138610
-611.34935544	-0.00172264
-611.31602240	-0.00200578
-611.28268935	-0.00221045
-611.24935631	-0.00233435
-611.21602326	-0.00235070
-611.18269022	-0.00226355
-611.14935717	-0.00204164
-611.11602413	-0.00176630
-611.08269108	-0.00145722
-611.04935804	-0.00110158
-611.01602499	-0.00075468
-610.98269195	-0.00041072
-610.94935890	-0.00015829
-610.91602586	-0.00002610
-610.88269281	0.00001590
-610.84935977	-0.00011468
-610.81602672	-0.00033500
-610.78269368	-0.00065936
-610.74936063	-0.00102194
-610.71602759	-0.00146722
-610.68269454	-0.00193834
-610.64936150	-0.00243382
-610.61602845	-0.00299217
-610.58269541	-0.00355872
-610.54936236	-0.00402309
-610.51602932	-0.00447395
-610.48269627	-0.00478777
-610.44936323	-0.00494583
-610.41603018	-0.00498984
-610.38269714	-0.00489514
-610.34936409	-0.00465018
-610.31603105	-0.00421355
