# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -620.50000000 ps, Average over 5000 waveforms. Timestamp: 2023-05-25T15:13:42
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.62230426
0.00732607	-13.83909908
0.01465214	-16.87345563
0.02197821	-15.79435524
0.02930428	-17.71042630
0.03663035	-17.00313783
0.04395642	-18.11225446
0.05128249	-17.56134900
0.05860857	-17.01424387
0.06593464	-17.22805370
0.07326071	-16.74968964
0.08058678	-16.58261231
0.08791285	-16.35757861
0.09523892	-15.67110508
0.10256499	-15.80646873
0.10989106	-17.07474722
0.11721713	-16.15764839
0.12454320	-16.02441489
0.13186927	-16.50405913
0.13919534	-15.51417847
0.14652141	-14.64943796
0.15384748	-14.81295628
0.16117356	-13.21797051
0.16849963	-11.49247452
0.17582570	-11.50858956
0.18315177	-12.79488911
0.19047784	-12.89930978
0.19780391	-12.30403008
0.20512998	-13.13253812
0.21245605	-13.36289804
0.21978212	-12.06712358
0.22710819	-10.99022907
0.23443426	-10.44074636
0.24176033	-9.06274294
0.24908640	-7.58957016
0.25641247	-8.56914858
0.26373855	-9.23710897
0.27106462	-9.80473388
0.27839069	-10.68030694
0.28571676	-11.72749022
0.29304283	-11.22186827
0.30036890	-10.76614741
0.30769497	-10.38550363
0.31502104	-9.40193933
0.32234711	-7.74987278
0.32967318	-6.06488193
0.33699925	-6.25015618
0.34432532	-6.74767788
0.35165139	-7.33315936
0.35897746	-8.61581167
0.36630354	-9.26942328
0.37362961	-9.32537535
0.38095568	-9.50693767
0.38828175	-8.83379356
0.39560782	-7.97415852
0.40293389	-6.99660927
0.41025996	-5.63265297
0.41758603	-4.76077502
0.42491210	-4.97998716
0.43223817	-6.04083179
0.43956424	-7.04118093
0.44689031	-7.61489087
0.45421638	-7.69685977
0.46154245	-7.81443817
0.46886853	-7.44057665
0.47619460	-6.38125564
0.48352067	-5.35245238
0.49084674	-4.07376584
0.49817281	-2.83465075
0.50549888	-3.11767690
0.51282495	-3.84104493
0.52015102	-5.27675055
0.52747709	-6.45229761
0.53480316	-6.64431823
0.54212923	-7.04320253
0.54945530	-6.69444502
0.55678137	-6.61380198
0.56410744	-5.05926292
0.57143352	-3.15279451
0.57875959	-1.47198851
0.58608566	-1.10902266
0.59341173	-1.49744074
0.60073780	-2.89228999
0.60806387	-4.33252402
0.61538994	-4.92101911
0.62271601	-5.83873189
0.63004208	-5.75400256
0.63736815	-5.39036530
0.64469422	-4.97469106
0.65202029	-3.42373375
0.65934636	-2.15829210
0.66667243	-1.10772719
0.67399851	-1.09817714
0.68132458	-2.38029114
0.68865065	-3.42321256
0.69597672	-4.33995036
0.70330279	-4.87514260
0.71062886	-4.89396106
0.71795493	-4.81993978
0.72528100	-4.10399665
0.73260707	-3.29352347
0.73993314	-2.08839796
0.74725921	-1.20833124
0.75458528	-1.60273104
0.76191135	-1.83019777
0.76923742	-3.52085636
0.77656350	-4.34343916
0.78388957	-5.21173737
0.79121564	-5.46637779
0.79854171	-5.13503825
0.80586778	-4.75316814
0.81319385	-3.63320528
0.82051992	-2.29618707
0.82784599	-1.05278152
0.83517206	0.00000000
0.84249813	-0.62704231
0.84982420	-2.11946565
0.85715027	-3.33207732
0.86447634	-4.69590410
0.87180241	-5.20404790
0.87912849	-5.44863774
0.88645456	-5.41700608
0.89378063	-4.54054034
0.90110670	-3.59856491
0.90843277	-2.16967173
0.91575884	-0.72959142
0.92308491	-0.70917084
0.93041098	-1.55063894
0.93773705	-2.77156176
0.94506312	-4.12523050
0.95238919	-4.55169143
0.95971526	-5.13921493
0.96704133	-5.19175055
0.97436740	-4.67646856
0.98169348	-4.51804524
0.98901955	-3.36246739
0.99634562	-2.29767698
1.00367169	-1.60067190
1.01099776	-2.18886253
1.01832383	-4.05465413
1.02564990	-4.62091542
1.03297597	-5.91518951
1.04030204	-5.93802476
1.04762811	-5.80920194
1.05495418	-5.64228927
1.06228025	-4.36765645
1.06960632	-3.55982822
1.07693239	-2.11187160
1.08425847	-1.23693924
1.09158454	-2.49788441
1.09891061	-6.56216128
1.10623668	-5.29003557
1.11356275	-7.13353579
1.12088882	-6.88119913
1.12821489	-7.13975471
1.13554096	-6.86916351
1.14286703	-6.16296333
1.15019310	-5.58583420
1.15751917	-4.83460984
1.16484524	-5.91065684
1.17217131	-1.96926309
1.17949738	-2.35808394
1.18682346	-3.50414924
1.19414953	-5.02316547
1.20147560	-6.03722848
1.20880167	-7.77126879
1.21612774	-7.19662798
1.22345381	-7.04715831
1.23077988	-7.25197012
1.23810595	-5.31070709
1.24543202	-4.07202593
1.25275809	-2.98189960
1.26008416	-3.51009423
1.26741023	-4.56208310
1.27473630	-5.84939376
1.28206237	-6.83172433
1.28938845	-7.13767403
1.29671452	-7.51656952
1.30404059	-7.10127152
1.31136666	-6.51821582
1.31869273	-5.87818382
1.32601880	-4.33314768
1.33334487	-3.73658461
1.34067094	-3.46653315
1.34799701	-5.08200418
1.35532308	-6.80812375
1.36264915	-7.93877260
1.36997522	-9.32568028
1.37730129	-8.99373069
1.38462736	-9.38052075
1.39195344	-8.28384365
1.39927951	-7.43715761
1.40660558	-7.05302195
1.41393165	-6.93265226
1.42125772	-3.81686278
1.42858379	-4.23528446
1.43590986	-5.52020418
1.44323593	-7.41021247
1.45056200	-8.47074165
1.45788807	-9.56569339
1.46521414	-10.08968216
1.47254021	-9.93134016
1.47986628	-9.73770703
1.48719235	-8.30190647
1.49451843	-7.06708205
1.50184450	-5.69493287
1.50917057	-5.53061149
1.51649664	-6.65013809
1.52382271	-7.85635752
1.53114878	-9.13095035
1.53847485	-9.78099913
1.54580092	-10.36099572
1.55312699	-10.37197962
1.56045306	-10.33853438
1.56777913	-9.55306309
1.57510520	-8.93279997
1.58243127	-7.78229945
1.58975734	-7.84556810
1.59708342	-9.25674845
1.60440949	-11.87361359
1.61173556	-11.82710994
1.61906163	-12.54419185
1.62638770	-12.66183276
1.63371377	-12.82685910
1.64103984	-12.25056841
1.64836591	-11.74831619
1.65569198	-11.77901081
1.66301805	-14.06010333
1.67034412	-17.14671592
1.67767019	-12.14590488
1.68499626	-10.79274641
1.69232233	-12.53785403
1.69964840	-14.04464339
1.70697448	-15.39248439
1.71430055	-19.87494076
1.72162662	-19.81207410
1.72895269	-14.68719251
1.73627876	-13.15941888
1.74360483	-11.35955321
1.75093090	-9.95810694
1.75825697	-9.84151842
1.76558304	-11.26132228
1.77290911	-12.27683969
1.78023518	-13.83410620
1.78756125	-14.90317643
1.79488732	-16.81721016
1.80221339	-16.90560027
1.80953947	-15.84867905
1.81686554	-15.45057300
1.82419161	-14.43776776
1.83151768	-13.28791932
1.83884375	-12.69407882
1.84616982	-13.10949275
1.85349589	-14.70943060
1.86082196	-15.96156377
1.86814803	-19.71900149
1.87547410	-17.83877647
1.88280017	-17.26696960
1.89012624	-16.96689484
1.89745231	-16.40213228
1.90477838	-15.77528422
1.91210446	-14.78286101
1.91943053	-16.07233804
1.92675660	-15.13936838
1.93408267	-15.65191978
1.94140874	-17.30163655
1.94873481	-18.64719531
1.95606088	-19.22751098
1.96338695	-19.72771632
1.97071302	-19.34345031
1.97803909	-18.69062722
