# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -624.80000000 ps, Average over 2000 waveforms. Timestamp: 2023-05-25T15:24:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-624.74927637	0.00000000
-624.71594333	0.00000003
-624.68261028	0.00000014
-624.64927724	0.00000028
-624.61594420	0.00000041
-624.58261115	0.00000077
-624.54927811	0.00000045
-624.51594506	0.00000071
-624.48261202	0.00000061
-624.44927897	0.00000063
-624.41594593	0.00000020
-624.38261288	-0.00000087
-624.34927984	-0.00000097
-624.31594679	-0.00000166
-624.28261375	-0.00000269
-624.24928070	-0.00000294
-624.21594766	-0.00000472
-624.18261461	-0.00000412
-624.14928157	-0.00000630
-624.11594852	-0.00000705
-624.08261548	-0.00000542
-624.04928243	-0.00000964
-624.01594939	-0.00000777
-623.98261634	-0.00000902
-623.94928330	-0.00000735
-623.91595025	-0.00000837
-623.88261721	-0.00000774
-623.84928416	-0.00000317
-623.81595112	-0.00000046
-623.78261807	0.00000078
-623.74928503	0.00000768
-623.71595198	0.00001154
-623.68261894	0.00001939
-623.64928589	0.00001530
-623.61595285	0.00002764
-623.58261980	0.00003332
-623.54928676	0.00004139
-623.51595371	0.00004996
-623.48262067	0.00006403
-623.44928762	0.00006772
-623.41595458	0.00008068
-623.38262153	0.00009399
-623.34928849	0.00010192
-623.31595544	0.00011186
-623.28262240	0.00012829
-623.24928935	0.00015238
-623.21595631	0.00016833
-623.18262326	0.00017402
-623.14929022	0.00019660
-623.11595717	0.00020686
-623.08262413	0.00022008
-623.04929108	0.00024908
-623.01595804	0.00024917
-622.98262499	0.00026204
-622.94929195	0.00026830
-622.91595890	0.00028429
-622.88262586	0.00027577
-622.84929281	0.00029092
-622.81595977	0.00030850
-622.78262672	0.00030514
-622.74929368	0.00027292
-622.71596063	0.00028289
-622.68262759	0.00025830
-622.64929454	0.00024780
-622.61596150	0.00021249
-622.58262845	0.00024024
-622.54929541	0.00016533
-622.51596236	0.00014453
-622.48262932	0.00010333
-622.44929627	0.00005491
-622.41596323	0.00001657
-622.38263018	-0.00000729
-622.34929714	-0.00005516
-622.31596410	-0.00011576
-622.28263105	-0.00014637
-622.24929801	-0.00017752
-622.21596496	-0.00022469
-622.18263192	-0.00028015
-622.14929887	-0.00027948
-622.11596583	-0.00028338
-622.08263278	-0.00032410
-622.04929974	-0.00039558
-622.01596669	-0.00039207
-621.98263365	-0.00040563
-621.94930060	-0.00043549
-621.91596756	-0.00043451
-621.88263451	-0.00045964
-621.84930147	-0.00044149
-621.81596842	-0.00044349
-621.78263538	-0.00049386
-621.74930233	-0.00052642
-621.71596929	-0.00049715
-621.68263624	-0.00048238
-621.64930320	-0.00049802
-621.61597015	-0.00048366
-621.58263711	-0.00048252
-621.54930406	-0.00044041
-621.51597102	-0.00045451
-621.48263797	-0.00044120
-621.44930493	-0.00043873
-621.41597188	-0.00038268
-621.38263884	-0.00030065
-621.34930579	-0.00031987
-621.31597275	-0.00026029
-621.28263970	-0.00021092
-621.24930666	-0.00022846
-621.21597361	-0.00018474
-621.18264057	-0.00015470
-621.14930752	-0.00011834
-621.11597448	-0.00009621
-621.08264143	-0.00001604
-621.04930839	-0.00003276
-621.01597534	-0.00004596
-620.98264230	-0.00001271
-620.94930925	0.00004976
-620.91597621	0.00002461
-620.88264316	-0.00000588
-620.84931012	0.00001497
-620.81597707	0.00004710
-620.78264403	0.00008813
-620.74931098	0.00002982
-620.71597794	0.00004432
-620.68264489	0.00010938
-620.64931185	0.00011260
-620.61597880	0.00006447
-620.58264576	0.00006762
-620.54931271	0.00006966
-620.51597967	0.00002760
-620.48264662	-0.00001168
-620.44931358	-0.00002199
-620.41598053	0.00004334
-620.38264749	-0.00002462
-620.34931444	-0.00005772
-620.31598140	-0.00007665
-620.28264835	-0.00009497
-620.24931531	-0.00017138
-620.21598226	-0.00016263
-620.18264922	-0.00015247
-620.14931617	-0.00022608
-620.11598313	-0.00020274
-620.08265008	-0.00023543
-620.04931704	-0.00029566
-620.01598399	-0.00031549
-619.98265095	-0.00036914
-619.94931791	-0.00039522
-619.91598486	-0.00038605
-619.88265182	-0.00043049
-619.84931877	-0.00051756
-619.81598573	-0.00048248
-619.78265268	-0.00057539
-619.74931964	-0.00058089
-619.71598659	-0.00061634
-619.68265355	-0.00061010
-619.64932050	-0.00065997
-619.61598746	-0.00061409
-619.58265441	-0.00068234
-619.54932137	-0.00066593
-619.51598832	-0.00069446
-619.48265528	-0.00065874
-619.44932223	-0.00060954
-619.41598919	-0.00056496
-619.38265614	-0.00055696
-619.34932310	-0.00053259
-619.31599005	-0.00049913
-619.28265701	-0.00041727
-619.24932396	-0.00041518
-619.21599092	-0.00033899
-619.18265787	-0.00027120
-619.14932483	-0.00019220
-619.11599178	-0.00012337
-619.08265874	0.00000715
-619.04932569	0.00003764
-619.01599265	0.00017112
-618.98265960	0.00030715
-618.94932656	0.00045883
-618.91599351	0.00052941
-618.88266047	0.00072523
-618.84932742	0.00086080
-618.81599438	0.00098245
-618.78266133	0.00116248
-618.74932829	0.00138777
-618.71599524	0.00160033
-618.68266220	0.00181892
-618.64932915	0.00212587
-618.61599611	0.00235452
-618.58266306	0.00274998
-618.54933002	0.00311731
-618.51599697	0.00351489
-618.48266393	0.00395471
-618.44933088	0.00435419
-618.41599784	0.00470879
-618.38266479	0.00522623
-618.34933175	0.00567592
-618.31599870	0.00603205
-618.28266566	0.00640774
-618.24933261	0.00659245
-618.21599957	0.00659114
-618.18266652	0.00631472
-618.14933348	0.00569589
-618.11600043	0.00457908
-618.08266739	0.00297541
-618.04933434	0.00057695
-618.01600130	-0.00262855
-617.98266825	-0.00669129
-617.94933521	-0.01158321
-617.91600216	-0.01736872
-617.88266912	-0.02354448
-617.84933607	-0.03009129
-617.81600303	-0.03653274
-617.78266998	-0.04220671
-617.74933694	-0.04676292
-617.71600389	-0.04950589
-617.68267085	-0.05009512
-617.64933781	-0.04833567
-617.61600476	-0.04414893
-617.58267172	-0.03790651
-617.54933867	-0.02997337
-617.51600563	-0.02080189
-617.48267258	-0.01094628
-617.44933954	-0.00069444
-617.41600649	0.00944554
-617.38267345	0.01906435
-617.34934040	0.02772343
-617.31600736	0.03482344
-617.28267431	0.03972806
-617.24934127	0.04213075
-617.21600822	0.04173345
-617.18267518	0.03881264
-617.14934213	0.03375178
-617.11600909	0.02723917
-617.08267604	0.02006409
-617.04934300	0.01264689
-617.01600995	0.00548407
-616.98267691	-0.00105570
-616.94934386	-0.00651459
-616.91601082	-0.01044631
-616.88267777	-0.01256096
-616.84934473	-0.01276184
-616.81601168	-0.01125444
-616.78267864	-0.00853255
-616.74934559	-0.00535052
