# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -624.80000000 ps, Average over 2000 waveforms. Timestamp: 2023-05-25T15:24:51
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-19.33990522
0.00732607	-11.28116321
0.01465214	-13.94751187
0.02197821	-12.37674577
0.02930428	-13.98167045
0.03663035	-13.09214884
0.04395642	-14.13979878
0.05128249	-13.74634766
0.05860857	-13.62683673
0.06593464	-14.25348469
0.07326071	-13.98486882
0.08058678	-14.07323087
0.08791285	-14.07657410
0.09523892	-13.41151138
0.10256499	-12.87916083
0.10989106	-13.74600541
0.11721713	-12.33732670
0.12454320	-11.79251753
0.13186927	-12.40544684
0.13919534	-11.49602988
0.14652141	-11.22361551
0.15384748	-11.94396441
0.16117356	-11.20347559
0.16849963	-10.34833761
0.17582570	-10.01020092
0.18315177	-10.41275639
0.19047784	-9.75512969
0.19780391	-8.31350503
0.20512998	-8.74904268
0.21245605	-8.85489900
0.21978212	-7.74721815
0.22710819	-7.29308323
0.23443426	-7.62514746
0.24176033	-7.35859341
0.24908640	-6.77362355
0.25641247	-7.53763440
0.26373855	-7.31311259
0.27106462	-6.80399617
0.27839069	-6.83715472
0.28571676	-7.32569445
0.29304283	-6.61755541
0.30036890	-6.31562029
0.30769497	-6.39320228
0.31502104	-6.24845104
0.32234711	-5.70572897
0.32967318	-5.20909383
0.33699925	-5.64065874
0.34432532	-5.35487092
0.35165139	-4.76892955
0.35897746	-4.99084477
0.36630354	-4.93479203
0.37362961	-4.64156195
0.38095568	-4.85233838
0.38828175	-4.56239426
0.39560782	-4.48360822
0.40293389	-4.59700144
0.41025996	-4.47944507
0.41758603	-4.36610631
0.42491210	-4.15129947
0.43223817	-4.00366259
0.43956424	-3.81930379
0.44689031	-3.49456784
0.45421638	-3.04510071
0.46154245	-3.03666298
0.46886853	-2.90719722
0.47619460	-2.49725007
0.48352067	-2.52258339
0.49084674	-2.54181086
0.49817281	-2.41146288
0.50549888	-2.72834247
0.51282495	-2.40646421
0.52015102	-2.50588989
0.52747709	-2.64887812
0.53480316	-2.12030155
0.54212923	-2.25366389
0.54945530	-2.02352137
0.55678137	-2.37359531
0.56410744	-1.75094815
0.57143352	-1.11400065
0.57875959	-0.78794231
0.58608566	-0.99476163
0.59341173	-0.64240232
0.60073780	-0.69672327
0.60806387	-0.88168972
0.61538994	-0.60847360
0.62271601	-1.08128615
0.63004208	-0.95131487
0.63736815	-0.98941377
0.64469422	-1.32116632
0.65202029	-0.93494226
0.65934636	-1.03550449
0.66667243	-0.97335401
0.67399851	-0.73263297
0.68132458	-0.77815142
0.68865065	-0.45593652
0.69597672	-0.32321139
0.70330279	-0.23685161
0.71062886	-0.01760677
0.71795493	-0.19810747
0.72528100	-0.08362214
0.73260707	-0.32395911
0.73993314	-0.48718644
0.74725921	-0.80703800
0.75458528	-1.50498037
0.76191135	-0.83100243
0.76923742	-1.07973771
0.77656350	-0.75109978
0.78388957	-0.76695554
0.79121564	-0.65496463
0.79854171	-0.36874001
