# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -800.00000000 ps, Average over 1000 waveforms. Timestamp: 2023-04-21T10:19:54
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-799.95240803	0.00000000
-799.91907467	0.00000000
-799.88574131	0.00000000
-799.85240795	0.00000000
-799.81907460	0.00000000
-799.78574124	0.00000001
-799.75240788	0.00000001
-799.71907452	0.00000001
-799.68574116	0.00000000
-799.65240780	0.00000000
-799.61907444	0.00000000
-799.58574108	0.00000000
-799.55240772	0.00000002
-799.51907436	-0.00000002
-799.48574100	-0.00000000
-799.45240764	-0.00000002
-799.41907428	-0.00000002
-799.38574092	-0.00000001
-799.35240756	0.00000004
-799.31907421	-0.00000005
-799.28574085	-0.00000008
-799.25240749	-0.00000007
-799.21907413	-0.00000006
-799.18574077	-0.00000009
-799.15240741	-0.00000006
-799.11907405	-0.00000003
-799.08574069	0.00000003
-799.05240733	-0.00000009
-799.01907397	-0.00000003
-798.98574061	-0.00000001
-798.95240725	-0.00000009
-798.91907389	0.00000008
-798.88574053	0.00000003
-798.85240717	-0.00000006
-798.81907382	-0.00000000
-798.78574046	0.00000005
-798.75240710	-0.00000005
-798.71907374	0.00000011
-798.68574038	0.00000023
-798.65240702	0.00000023
-798.61907366	0.00000051
-798.58574030	0.00000017
-798.55240694	0.00000025
-798.51907358	0.00000087
-798.48574022	0.00000061
-798.45240686	0.00000059
-798.41907350	0.00000050
-798.38574014	0.00000072
-798.35240678	0.00000108
-798.31907342	0.00000105
-798.28574007	0.00000103
-798.25240671	0.00000095
-798.21907335	0.00000083
-798.18573999	0.00000089
-798.15240663	0.00000178
-798.11907327	0.00000132
-798.08573991	0.00000131
-798.05240655	0.00000191
-798.01907319	0.00000176
-797.98573983	0.00000232
-797.95240647	0.00000273
-797.91907311	0.00000228
-797.88573975	0.00000177
-797.85240639	0.00000241
-797.81907303	0.00000228
-797.78573968	0.00000198
-797.75240632	0.00000291
-797.71907296	0.00000268
-797.68573960	0.00000329
-797.65240624	0.00000302
-797.61907288	0.00000277
-797.58573952	0.00000312
-797.55240616	0.00000345
-797.51907280	0.00000329
-797.48573944	0.00000414
-797.45240608	0.00000469
-797.41907272	0.00000478
-797.38573936	0.00000460
-797.35240600	0.00000457
-797.31907264	0.00000491
-797.28573929	0.00000497
-797.25240593	0.00000451
-797.21907257	0.00000578
-797.18573921	0.00000511
-797.15240585	0.00000511
-797.11907249	0.00000478
-797.08573913	0.00000519
-797.05240577	0.00000663
-797.01907241	0.00000566
-796.98573905	0.00000641
-796.95240569	0.00000607
-796.91907233	0.00000696
-796.88573897	0.00000663
-796.85240561	0.00000751
-796.81907225	0.00000615
-796.78573890	0.00000754
-796.75240554	0.00000635
-796.71907218	0.00000761
-796.68573882	0.00000783
-796.65240546	0.00000821
-796.61907210	0.00000762
-796.58573874	0.00000669
-796.55240538	0.00000771
-796.51907202	0.00000889
-796.48573866	0.00000854
-796.45240530	0.00000859
-796.41907194	0.00000878
-796.38573858	0.00000974
-796.35240522	0.00000977
-796.31907186	0.00000863
-796.28573850	0.00000934
-796.25240515	0.00000703
-796.21907179	0.00000740
-796.18573843	0.00000939
-796.15240507	0.00000855
-796.11907171	0.00000697
-796.08573835	0.00000750
-796.05240499	0.00000828
-796.01907163	0.00000780
-795.98573827	0.00000725
-795.95240491	0.00000534
-795.91907155	0.00000630
-795.88573819	0.00000771
-795.85240483	0.00000596
-795.81907147	0.00000528
-795.78573811	0.00000258
-795.75240476	0.00000133
-795.71907140	0.00000315
-795.68573804	0.00000221
-795.65240468	0.00000123
-795.61907132	0.00000368
-795.58573796	0.00000115
-795.55240460	-0.00000108
-795.51907124	-0.00000054
-795.48573788	-0.00000110
-795.45240452	0.00000041
-795.41907116	-0.00000035
-795.38573780	-0.00000140
-795.35240444	0.00000011
-795.31907108	-0.00000175
-795.28573772	-0.00000168
-795.25240437	-0.00000172
-795.21907101	-0.00000095
-795.18573765	-0.00000340
-795.15240429	-0.00000572
-795.11907093	-0.00000510
