# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -800.00000000 ps, Average over 1000 waveforms. Timestamp: 2023-04-21T10:46:28
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-799.95241533	0.00000000
-799.91908197	0.00000000
-799.88574861	-0.00000000
-799.85241525	-0.00000000
-799.81908189	-0.00000000
-799.78574853	-0.00000001
-799.75241517	-0.00000000
-799.71908181	-0.00000001
-799.68574845	-0.00000001
-799.65241509	0.00000000
-799.61908173	-0.00000001
-799.58574837	-0.00000000
-799.55241501	-0.00000001
-799.51908165	-0.00000003
-799.48574829	-0.00000001
-799.45241493	-0.00000001
-799.41908157	-0.00000002
-799.38574821	-0.00000002
-799.35241485	-0.00000002
-799.31908149	-0.00000001
-799.28574813	-0.00000004
-799.25241477	0.00000009
-799.21908141	0.00000012
-799.18574805	0.00000008
-799.15241470	0.00000011
-799.11908134	0.00000008
-799.08574798	0.00000010
-799.05241462	0.00000023
-799.01908126	0.00000031
-798.98574790	0.00000033
-798.95241454	0.00000019
-798.91908118	0.00000023
-798.88574782	0.00000028
-798.85241446	0.00000049
-798.81908110	0.00000051
-798.78574774	0.00000044
-798.75241438	0.00000075
-798.71908102	0.00000065
-798.68574766	0.00000063
-798.65241430	0.00000088
-798.61908094	0.00000107
-798.58574758	0.00000117
-798.55241422	0.00000161
-798.51908086	0.00000165
-798.48574750	0.00000136
-798.45241414	0.00000186
-798.41908078	0.00000198
-798.38574742	0.00000192
-798.35241406	0.00000240
-798.31908070	0.00000279
-798.28574734	0.00000281
-798.25241398	0.00000329
-798.21908062	0.00000339
-798.18574726	0.00000319
-798.15241390	0.00000338
-798.11908054	0.00000382
-798.08574718	0.00000402
-798.05241382	0.00000429
-798.01908046	0.00000462
-797.98574710	0.00000451
-797.95241374	0.00000537
-797.91908038	0.00000563
-797.88574702	0.00000572
-797.85241366	0.00000542
-797.81908030	0.00000552
-797.78574694	0.00000591
-797.75241358	0.00000642
-797.71908022	0.00000658
-797.68574687	0.00000704
-797.65241351	0.00000689
-797.61908015	0.00000721
-797.58574679	0.00000775
-797.55241343	0.00000828
-797.51908007	0.00000822
-797.48574671	0.00000887
-797.45241335	0.00000868
-797.41907999	0.00000864
-797.38574663	0.00000915
-797.35241327	0.00000915
-797.31907991	0.00000931
-797.28574655	0.00000951
-797.25241319	0.00000922
-797.21907983	0.00000860
-797.18574647	0.00000880
-797.15241311	0.00000887
-797.11907975	0.00000840
-797.08574639	0.00000961
-797.05241303	0.00001029
-797.01907967	0.00001030
-796.98574631	0.00000938
-796.95241295	0.00000929
-796.91907959	0.00000954
-796.88574623	0.00001168
-796.85241287	0.00000997
-796.81907951	0.00001045
-796.78574615	0.00000969
-796.75241279	0.00000994
-796.71907943	0.00000961
-796.68574607	0.00000989
-796.65241271	0.00001051
-796.61907935	0.00000990
-796.58574599	0.00000983
-796.55241263	0.00000924
-796.51907927	0.00001101
-796.48574591	0.00000882
-796.45241255	0.00001118
-796.41907919	0.00000892
-796.38574583	0.00000929
-796.35241247	0.00000899
-796.31907911	0.00000828
-796.28574575	0.00001080
-796.25241239	0.00001015
-796.21907903	0.00001016
-796.18574568	0.00000898
-796.15241232	0.00000940
-796.11907896	0.00000935
-796.08574560	0.00001068
-796.05241224	0.00001019
-796.01907888	0.00001026
