# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -800.00000000 ps, Average over 1000 waveforms. Timestamp: 2023-04-21T10:54:12
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-799.95240887	0.00000000
-799.91907551	0.00000000
-799.88574215	0.00000000
-799.85240879	-0.00000000
-799.81907543	0.00000000
-799.78574207	-0.00000000
-799.75240871	-0.00000000
-799.71907535	-0.00000001
-799.68574199	-0.00000001
-799.65240863	-0.00000001
-799.61907527	-0.00000001
-799.58574191	-0.00000001
-799.55240855	-0.00000003
-799.51907519	-0.00000001
-799.48574183	-0.00000002
-799.45240847	-0.00000000
-799.41907511	-0.00000001
-799.38574175	-0.00000001
-799.35240840	-0.00000004
-799.31907504	0.00000001
-799.28574168	-0.00000001
-799.25240832	0.00000009
-799.21907496	0.00000003
-799.18574160	-0.00000002
-799.15240824	0.00000009
-799.11907488	0.00000010
-799.08574152	0.00000014
-799.05240816	0.00000028
-799.01907480	0.00000037
-798.98574144	0.00000047
-798.95240808	0.00000056
-798.91907472	0.00000057
-798.88574136	0.00000062
-798.85240800	0.00000061
-798.81907464	0.00000074
-798.78574128	0.00000073
-798.75240792	0.00000108
-798.71907456	0.00000125
-798.68574120	0.00000122
-798.65240784	0.00000167
-798.61907449	0.00000184
-798.58574113	0.00000169
-798.55240777	0.00000179
-798.51907441	0.00000225
-798.48574105	0.00000211
-798.45240769	0.00000244
-798.41907433	0.00000234
-798.38574097	0.00000290
-798.35240761	0.00000315
-798.31907425	0.00000286
-798.28574089	0.00000307
-798.25240753	0.00000332
-798.21907417	0.00000339
-798.18574081	0.00000335
-798.15240745	0.00000394
-798.11907409	0.00000402
-798.08574073	0.00000380
-798.05240737	0.00000424
-798.01907401	0.00000426
-797.98574065	0.00000484
-797.95240729	0.00000434
-797.91907393	0.00000457
-797.88574058	0.00000479
-797.85240722	0.00000553
-797.81907386	0.00000518
-797.78574050	0.00000552
-797.75240714	0.00000597
-797.71907378	0.00000651
-797.68574042	0.00000598
-797.65240706	0.00000708
-797.61907370	0.00000659
-797.58574034	0.00000701
-797.55240698	0.00000689
-797.51907362	0.00000711
-797.48574026	0.00000682
-797.45240690	0.00000805
-797.41907354	0.00000874
-797.38574018	0.00000927
-797.35240682	0.00000824
-797.31907346	0.00000803
-797.28574010	0.00000862
-797.25240674	0.00000815
-797.21907338	0.00000963
-797.18574003	0.00000990
-797.15240667	0.00000872
-797.11907331	0.00000893
-797.08573995	0.00000992
-797.05240659	0.00001045
-797.01907323	0.00000952
-796.98573987	0.00001037
-796.95240651	0.00000966
-796.91907315	0.00000999
-796.88573979	0.00001014
-796.85240643	0.00001149
-796.81907307	0.00000974
-796.78573971	0.00001127
-796.75240635	0.00001243
-796.71907299	0.00001296
-796.68573963	0.00001080
-796.65240627	0.00001132
-796.61907291	0.00001054
-796.58573955	0.00000990
-796.55240619	0.00001015
-796.51907283	0.00001125
-796.48573947	0.00001003
-796.45240612	0.00001006
-796.41907276	0.00001028
-796.38573940	0.00000894
-796.35240604	0.00000822
-796.31907268	0.00000703
-796.28573932	0.00000781
-796.25240596	0.00000723
-796.21907260	0.00000749
-796.18573924	0.00000610
-796.15240588	0.00000648
-796.11907252	0.00000638
-796.08573916	0.00000479
-796.05240580	0.00000446
-796.01907244	0.00000392
-795.98573908	0.00000276
-795.95240572	0.00000661
-795.91907236	0.00000688
-795.88573900	0.00000562
-795.85240564	0.00000594
-795.81907228	0.00000987
-795.78573892	0.00000952
-795.75240557	0.00000950
-795.71907221	0.00001106
-795.68573885	0.00001231
-795.65240549	0.00001351
-795.61907213	0.00001271
-795.58573877	0.00001327
-795.55240541	0.00001208
-795.51907205	0.00001358
-795.48573869	0.00001828
-795.45240533	0.00001682
-795.41907197	0.00002030
-795.38573861	0.00001623
-795.35240525	0.00002083
-795.31907189	0.00001985
-795.28573853	0.00002070
-795.25240517	0.00002264
-795.21907181	0.00002438
-795.18573845	0.00002348
-795.15240509	0.00002854
-795.11907173	0.00002842
-795.08573837	0.00003008
-795.05240501	0.00003443
-795.01907166	0.00003478
-794.98573830	0.00003312
-794.95240494	0.00003971
-794.91907158	0.00003829
-794.88573822	0.00004147
-794.85240486	0.00004509
-794.81907150	0.00004663
-794.78573814	0.00004710
-794.75240478	0.00004577
-794.71907142	0.00004659
-794.68573806	0.00005245
-794.65240470	0.00005156
-794.61907134	0.00005439
-794.58573798	0.00005884
-794.55240462	0.00005888
-794.51907126	0.00006128
-794.48573790	0.00006270
-794.45240454	0.00006039
-794.41907118	0.00005953
-794.38573782	0.00006347
-794.35240446	0.00006057
-794.31907110	0.00006076
-794.28573775	0.00005988
-794.25240439	0.00005873
-794.21907103	0.00006148
-794.18573767	0.00005615
-794.15240431	0.00005644
-794.11907095	0.00004934
-794.08573759	0.00005058
-794.05240423	0.00005479
-794.01907087	0.00005866
-793.98573751	0.00005251
